disease,count
lyme disease.,1
tinea cruris,,1
aphthous stomatitis,1
learning disability.,1
otitis media;,1
acute monocytic leukemia,1
substance abuse,,1
exanthem,1
listeriosis,1
coccidioidomycosis,1
pyomyositis,1
mouth disease,,1
ascariasis,1
bacterial vaginosis,1
lung carcinoma,,1
denture stomatitis,1
cervicitis,1
chronic venous insufficiency,1
acute myeloid leukemia,1
chronic obstructive pulmonary disease,,1
rabies,1
toxic shock syndrome,1
erythema multiforme,1
dental caries,1
acute promyelocytic leukemia,1
oral submucous fibrosis,,1
gynecomastia,1
oropharyngeal cancer,1
actinic keratosis.,1
molluscum contagiosum,,1
chronic cystitis,1
hepatocellular carcinoma.,1
hepatocellular carcinoma,,1
retinitis,1
cutaneous leishmaniasis.,1
hypotrichosis,1
endometriosis,1
larynx cancer,,1
anxiety disorder,,1
premenstrual tension,,1
dry eye syndrome,,1
metabolic syndrome.,1
erectile dysfunction,1
oral candidiasis,,1
fibromyalgia,1
generalized anxiety disorder,1
mantle cell lymphoma,1
trichomoniasis,1
corneal disease,1
"athlete's foot",1
myeloid leukemia,,1
acanthosis nigricans,1
mastocytosis,1
androgenic alopecia,,1
lymphangitis,1
short bowel syndrome,,1
glaucoma,1
pulmonary hypertension,1
ophthalmoparesis,1
viral pneumonia,,1
keratomalacia,1
biliary atresia,,1
psoriatic arthritis.,1
viral disease,,1
psoriatic arthritis,,1
alcoholic cardiomyopathy.,1
myocarditis,1
sensorineural hearing loss,,1
atrophic gastritis,,1
peanut allergy.,1
psoriatic arthritis,1
carbuncle,1
keratoconjunctivitis,1
infectious disease.,1
mastocytoma,1
bladder cancer,,1
multiple sclerosis;,1
autoimmune hepatitis,1
urea cycle disorder.,1
kwashiorkor,1
palmoplantar keratoderma,1
trichotillomania,1
amelanotic melanoma,1
meningitis,1
neutral lipid storage disease,1
tinea capitis,,1
acute leukemia,1
aplastic anemia,1
nephropathy,1
heart disease;,1
polycythemia,1
tinea corporis,,1
mitochondrial myopathy,,1
seborrheic keratosis,1
malignant pleural mesothelioma.,1
post-traumatic stress disorder;,1
nasopharyngitis,1
pernicious anemia,,1
sexual dysfunction,,1
dengue fever,,1
coeliac disease,1
retinal detachment,,1
yellow fever.,1
rheumatic fever,,1
paronychia,1
obsessive-compulsive disorder,1
thrombophlebitis,1
trigeminal neuralgia;,1
hypoglycemia,1
seborrheic keratosis.,1
body dysmorphic disorder,1
central nervous system cancer,,1
colorectal cancer.,1
acute respiratory distress syndrome?,1
melioidosis,1
toxic shock syndrome.,1
rift valley fever,,1
trigeminal neuralgia,1
esophageal candidiasis,,1
peripheral neuropathy;,1
respiratory disease,,1
mitochondrial myopathy,1
autoimmune disease,,1
lupus erythematosus,,1
kidney failure,,1
ptosis,1
autoimmune disease;,1
interstitial lung disease.,1
chronic fatigue syndrome,,1
diabetic ketoacidosis,,1
periostitis,1
lung disease,,1
chronic lymphocytic leukemia,,1
osteonecrosis,1
lateral medullary syndrome;,1
rumination syndrome,,1
rumination syndrome.,1
photodermatitis,1
microcephaly,1
pelvic inflammatory disease,1
candidal vulvovaginitis,1
alcohol abuse.,1
granuloma inguinale,1
pityriasis rosea,1
parasitic disease.,1
japanese encephalitis,1
metabolic acidosis,,1
