Compound_identifier,original_name,cleaned_name,name_comments
C209,9-aristolen-1-alpha-ol,NA,NA
C210,9-decenol,NA,NA
C211,9-epi-caryophyllene,NA,NA
C212,9-octadecene,NA,NA
C213,abietatriene,NA,NA
C214,acetate,NA,NA
C215,acetic acid,NA,NA
C216,"acora-3,5-diene-11-ol",NA,NA
C217,acoradiene,NA,NA
C218,acorone,NA,NA
C219,aliphatic hydrocarbons,NA,NA
C220,alkane and alkene,NA,NA
C221,allo-ammadendrene,NA,NA
C222,allo-aromadandrene,NA,NA
C223,allo-aromadendrene,NA,NA
C224,allo-aromadendrene epoxide,NA,NA
C225,allo-ocimene,NA,NA
C226,alpha- humulene,NA,NA
C227,alpha-alaskene,NA,NA
C228,alpha-amorphene,NA,NA
C229,alpha-aromadendrene,NA,NA
C230,alpha-bergamotene,NA,NA
C231,alpha-bisabolene,NA,NA
C232,alpha-bisabolol,NA,NA
C233,alpha-bisabololoxide b,NA,NA
C234,alpha-bulnesene,NA,NA
C235,alpha-cadinene,NA,NA
C236,alpha-cadinol,NA,NA
C237,alpha-calacorene,NA,NA
C238,alpha-calacorene+n.i. m+220,NA,NA
C239,alpha-campholena,NA,NA
C240,alpha-campholenal,NA,NA
C241,alpha-campholenicaldehyde,NA,NA
C242,alpha-caryophyllene,NA,NA
C243,alpha-cedrene,NA,NA
C244,alpha-copaene,NA,NA
C245,alpha-copane,NA,NA
C246,alpha-cubebene,NA,NA
C247,alpha-curcumene,NA,NA
C248,alpha-dehydro-ar-himachalene,NA,NA
C249,alpha-eudesmol,NA,NA
C250,alpha-eudesmol acetate,NA,NA
C251,alpha-farnesene,NA,NA
C252,alpha-fenchene,NA,NA
C253,alpha-fenchol,NA,NA
C254,alpha-fenchyl acetate,NA,NA
C255,alpha-guaiene,NA,NA
C256,alpha-gurjunene,NA,NA
C257,alpha-humulene,NA,NA
C258,alpha-humulene+(z)-methyl isoeugenol,NA,NA
C259,alpha-ionone,NA,NA
C260,alpha-isocomene,NA,NA
C261,alpha-longipinene,NA,NA
C262,alpha-muurolene,NA,NA
C263,alpha-muurolol,NA,NA
C264,alpha-p-dimethylstyrene,NA,NA
C265,alpha-phellandrene,NA,NA
C266,alpha-phellandrene epoxide,NA,NA
C267,alpha-phellandrene-8-ol,NA,NA
C268,alpha-pinene,NA,NA
C269,alpha-pinene oxide isomer2,NA,NA
C270,alpha-santalene,NA,NA
C271,alpha-selina-11-en-4-ol,NA,NA
C272,alpha-selinene,NA,NA
C273,alpha-terpinene,NA,NA
C274,alpha-terpineol,NA,NA
C275,alpha-terpineol/borneol,NA,NA
C276,alpha-terpinyl acetate,NA,NA
C277,alpha-terpinyl formate,NA,NA
C278,alpha-thujene,NA,NA
C279,alpha-thujone,NA,NA
C280,alpha-trans-bergamotene,NA,NA
C281,alpha-trans-bergamotol,NA,NA
C282,alpha-ylangene,NA,NA
C283,alpha-zingiberene,NA,NA
C284,amyl alcohol,NA,NA
C285,amyl cinnamate,NA,NA
C286,apiole,NA,NA
C287,ar-curcumene,NA,NA
C288,aristolone,NA,NA
C289,aromadendrene,NA,NA
C290,aromadendrene oxide,NA,NA
C291,artemisia alcohol,NA,NA
C292,artemisia ketone,NA,NA
C293,artemisiaacetate,NA,NA
C294,ar-tumerone,NA,NA
C295,ar-turmerol,NA,NA
C296,atlantone,NA,NA
C297,azulene,NA,NA
C298,benzaldehyde,NA,NA
C299,benzene acetaldehyde,NA,NA
C300,benzenepropanal,NA,NA
C301,benzocyclobutane,NA,NA
C302,benzyl alcohol,NA,NA
C303,benzyl benzoate,NA,NA
C304,benzyl butyrate,NA,NA
C305,benzyl isovalerate,NA,NA
C306,benzyl nonanoate,NA,NA
C307,benzyl salicylate,NA,NA
C308,bergamale,NA,NA
C309,bergamotene,NA,NA
C310,bergamotol acetate,NA,NA
C311,bergapten,NA,NA
C312,beta- caryophyllene,NA,NA
C313,beta-acoradiene,NA,NA
C314,beta-atlantol,NA,NA
C315,beta-bisabolene,NA,NA
C316,beta-bisabolol,NA,NA
C317,beta-bourbonene,NA,NA
C318,beta-cadinene,NA,NA
C319,beta-caryophyllene,NA,NA
C320,beta-caryophyllene alcohol,NA,NA
C321,beta-caryophyllene oxide,NA,NA
C322,beta-cedren-9-one,NA,NA
C323,beta-cedrene,NA,NA
C324,beta-cedreneepoxide,NA,NA
C325,beta-copaen-4-alpha-ol,NA,NA
C326,beta-copaene,NA,NA
C327,beta-cubebene,NA,NA
C328,beta-curcumine,NA,NA
C329,beta-cyclocitral,NA,NA
C330,beta-cymene,NA,NA
C331,beta-cyperone,NA,NA
C332,beta-damascenone,NA,NA
C333,beta-dihydroagarofuran,NA,NA
C334,beta-dodecalactone,NA,NA
C335,beta-elemene,NA,NA
C336,beta-eudesmol,NA,NA
C337,beta-farnesene,NA,NA
C338,beta-fenchol,NA,NA
C339,beta-fenchone,NA,NA
C340,beta-guaiene,NA,NA
C341,beta-gurjunene,NA,NA
C342,beta-himachalene,NA,NA
C343,beta-humulene,NA,NA
C344,beta-ionone,NA,NA
C345,beta-myrcene,NA,NA
C346,beta-phellandrene,NA,NA
C347,beta-phellandrene+limonene,NA,NA
C348,beta-phenyl-ethyl acetate,NA,NA
C349,beta-pinene,NA,NA
C350,beta-pinene0oxide,NA,NA
C351,beta-sanatalene,NA,NA
C352,beta-santalene,NA,NA
C353,beta-selinene,NA,NA
C354,beta-sesquiphellandrene,NA,NA
C355,beta-terpinene,NA,NA
C356,beta-thujone,NA,NA
C357,beta-ylangene,NA,NA
C358,bicycloelemene,NA,NA
C359,bicyclogermacrene,NA,NA
C360,bicyclovetivenol,NA,NA
C361,borneol,NA,NA
C362,bornyl acetate,NA,NA
C363,bornyl formate,NA,NA
C364,bulnesol,NA,NA
C365,butyl benzoate,NA,NA
C366,cadalene,NA,NA
C367,"cadina-1,4-diene",NA,NA
C368,"cadina-1,4-diene+alpha-calacorene",NA,NA
C369,"cadina-4,1(10)-dien-8 beta-ol",NA,NA
C370,"cadin-alpha-1,4-diene",NA,NA
C371,cadinol,NA,NA
C372,calacorene,NA,NA
C373,calamenene,NA,NA
C374,calamusenone,NA,NA
C375,calarene,NA,NA
C376,camphene,NA,NA
C377,camphenehydrate,NA,NA
C378,camphor,NA,NA
C379,canfene,NA,NA
C380,caranyl acetate ii,NA,NA
C381,caratoly,NA,NA
C382,carophyllene oxide,NA,NA
C383,carotol,NA,NA
C384,carvacrol,NA,NA
C385,carveol,NA,NA
C386,carvone,NA,NA
C387,"caryophylla-2(12),6-dien-5alpha-ol (=caryophyllenol i)",NA,NA
C388,"caryophylla-2(12),6-dien-5-beta-ol",NA,NA
C389,"caryophylla-2(12),6-diene-5-beta-ol",NA,NA
C390,"caryophylla-4(14),8(15)-diene-5-alpha-ol",NA,NA
C391,"caryophylla-alpha-4(14),8(15)-diene-5-beta-ol",NA,NA
C392,caryophylladienol,NA,NA
C393,caryophyllen-8-ol,NA,NA
C394,caryophyllene,NA,NA
C395,caryophyllene oxide,NA,NA
C396,caryophyllenol-i,NA,NA
C397,caryophyllenol-ii,NA,NA
C398,caryophyllenoxide,NA,NA
C399,caryophyllenyl alcohol,NA,NA
C400,cedr-8(15)-en-9-ol,NA,NA
C401,cedren-8-en-9-alpha-ol,NA,NA
C402,cedrol,NA,NA
C403,chamazulene,NA,NA
C404,chrysanthenone,NA,NA
C405,cinnamyl isovalerate,NA,NA
C406,cis-3-hexenol,NA,NA
C407,cis-alpha-bergamotene,NA,NA
C408,cis-arteannuic alcohol,NA,NA
C409,cis-beta-guaiene,NA,NA
C410,cis-beta-ocimene,NA,NA
C411,cis-beta-terpineol,NA,NA
C412,cis-beta-terpineold,NA,NA
C413,cis-calamene,NA,NA
C414,cis-calamenene,NA,NA
C415,cis-carveol,NA,NA
C416,cis-carvylacetate,NA,NA
C417,cis-carvylpropionate,NA,NA
C418,cis-chrysanthenol,NA,NA
C419,cis-chrysanthenylacetate,NA,NA
C420,cis-chrysanthenylformate,NA,NA
C421,cis-dihydrocarvone,NA,NA
C422,cis-epoxy-ocimene,NA,NA
C423,cis-farnesol,NA,NA
C424,cis-geraniol,NA,NA
C425,cis-jasmone,NA,NA
C426,cis-limoneneoxide,NA,NA
C427,cis-linalooloxide,NA,NA
C428,cis-linalooloxide (furanoid),NA,NA
C429,"cis-mentha-1(7),8-dien-2-ol",NA,NA
C430,cis-muurol-5-en-4-betalpha-ol,NA,NA
C431,"cis-muurola-3,5-diene",NA,NA
C432,"cis-muurola-4(15),5-diene",NA,NA
C433,cis-ocimene,NA,NA
C434,cis-pelemenone,NA,NA
C435,cis-pinocamphone,NA,NA
C436,cis-piperitol,NA,NA
C437,cis-p-menth-2-en-1-ol,NA,NA
C438,"cis-p-mentha-1(7),8-dien-2-ol",NA,NA
C439,"cis-p-mentha-1,8-dien-6-ol",NA,NA
C440,"cis-p-mentha-2,8-dien-1-ol",NA,NA
C441,cis-sabinene hydrate,NA,NA
C442,cis-sabinene hydrate acetate,NA,NA
C443,cis-sabinol,NA,NA
C444,cis-verbenol,NA,NA
C445,cis-verbenyl acetate,NA,NA
C446,citralc,NA,NA
C447,citronellal,NA,NA
C448,citronellic acid,NA,NA
C449,citronellol,NA,NA
C450,citronellyl acetate,NA,NA
C451,citronellyl butyrate,NA,NA
C452,clovenol,NA,NA
C453,cnidilide,NA,NA
C454,coumarin,NA,NA
C455,cryptone,NA,NA
C456,cubebol,NA,NA
C457,cubenen-11-ol,NA,NA
C458,cubenol,NA,NA
C459,cumin alcohol,NA,NA
C460,cumin aldehyde,NA,NA
C461,cuminal,NA,NA
C462,cuparene,NA,NA
C463,curzerene,NA,NA
C464,curzerenone,NA,NA
C465,cycloheptatriene,NA,NA
C466,cyclohexane,NA,NA
C467,cyclohexanone,NA,NA
C468,cyclosativene,NA,NA
C469,Cymene-8-ol,NA,NA
C470,Cyperene,NA,NA
C471,daucene,NA,NA
C472,davanone,NA,NA
C473,decanal,NA,NA
C474,decane,NA,NA
C475,decanoic acid,NA,NA
C476,decanol,NA,NA
C477,decenal,NA,NA
C478,decylacetate,NA,NA
C479,"dehydro-1,8-cineole",NA,NA
C480,dehydroisocalamendiol,NA,NA
C481,dehydro-p-cymene,NA,NA
C482,dehydro-sabinaketone,NA,NA
C483,dehydro-sabinene,NA,NA
C484,Dehydrotremetone,NA,NA
C485,delta-2-carene,NA,NA
C486,delta-3-carene,NA,NA
C487,delta-cadinene,NA,NA
C488,delta-cadinol,NA,NA
C489,delta-cardinene,NA,NA
C490,delta-cymene,NA,NA
C491,delta-elemene,NA,NA
C492,delta-muurolene,NA,NA
C493,delta-pinene,NA,NA
C494,delta-selinene,NA,NA
C495,delta-terpineol,NA,NA
C496,dendrolasin,NA,NA
C497,devanone,NA,NA
C498,di-epi-alpha-cedrene,NA,NA
C499,dihydro tagetone,NA,NA
C500,dihydrocarvone,NA,NA
C501,dihydrochalcone isomer,NA,NA
C502,dihydroedulan,NA,NA
C503,dihydroencecaline,NA,NA
C504,dihydroisochromolaenin,NA,NA
C505,dill apiole,NA,NA
C506,dillapiole,NA,NA
C507,dimethoxyencecalin,NA,NA
C508,dimyrcene ii-a,NA,NA
C509,diterpenes,NA,NA
C510,docosane,NA,NA
C511,dodecanal,NA,NA
C512,dodecane,NA,NA
C513,dodecanoic acid,NA,NA
C514,dodecanol,NA,NA
C515,dodecenyl acetate,NA,NA
C516,e-2-undecenol,NA,NA
C517,eicosane,NA,NA
C518,elemicin,NA,NA
C519,elemol,NA,NA
C520,elemol/hedycaryol,NA,NA
C521,elsholtzia ketone,NA,NA
C522,epi-13-manoyl oxide,NA,NA
C523,epi-1-cubenol,NA,NA
C524,epi-alpha-bisabolol,NA,NA
C525,epi-alpha-cadinol,NA,NA
C526,epi-alpha-muurolol,NA,NA
C527,epi-beta-santalene,NA,NA
C528,epi-bicyclosesquiphellandrene,NA,NA
C529,epi-cubebol,NA,NA
C530,epi-cubenol,NA,NA
C531,epi-globulol,NA,NA
C532,epizonarene,NA,NA
C533,epi-zonarene,NA,NA
C534,epoxy-allo-aromadendrene,NA,NA
C535,"eremophila-1(10),8,1-triene",NA,NA
C536,ergost-5-en-3beta-ol,NA,NA
C537,ethanol,NA,NA
C538,ethyl decanoate,NA,NA
C539,ethyl dodecanoate,NA,NA
C540,ethyl dodecenoate,NA,NA
C541,ethyl hexadecanoate,NA,NA
C542,ethyl hexanoate,NA,NA
C543,ethyl hydroquinone,NA,NA
C544,ethyl isopentanoate,NA,NA
C545,ethyl linoleate,NA,NA
C546,ethyl nicotinate,NA,NA
C547,ethyl oleate,NA,NA
C548,ethyl palmitate,NA,NA
C549,ethyl tetradecanoate,NA,NA
C550,ethyl-9-hexadecenoated,NA,NA
C551,ethylacetate,NA,NA
C552,ethylbenzene,NA,NA
C553,ethylbenzoate,NA,NA
C554,eucalyptol,NA,NA
C555,"eudesma-4(15),7-dien-4-beta-ol",NA,NA
C556,eudesmol,NA,NA
C557,eugenol,NA,NA
C558,exo-2-hydroxycineoleacetate,NA,NA
C559,exo-fenchyl acetate,NA,NA
C560,falcarinol,NA,NA
C561,farnesol,NA,NA
C562,farnesyl acetone,NA,NA
C563,fenchene,NA,NA
C564,fenchol,NA,NA
C565,fenchone,NA,NA
C566,furanoid,NA,NA
C567,furapelargone a,NA,NA
C568,furfural,NA,NA
C569,gamma-amorphene,NA,NA
C570,gamma-cadinene,NA,NA
C571,gamma-curcumene,NA,NA
C572,gamma-dehydro-ar-himachalene,NA,NA
C573,gamma-elemene,NA,NA
C574,gamma-epi-eudesmol,NA,NA
C575,gamma-eudesmol,NA,NA
C576,gamma-gurjunene,NA,NA
C577,gamma-muurolene,NA,NA
C578,gamma-patchoulene,NA,NA
C579,gamma-selinene,NA,NA
C580,gamma-sudesmol,NA,NA
C581,gamma-terpinene,NA,NA
C582,gamma-terpineol,NA,NA
C583,garanate,NA,NA
C584,geijerene,NA,NA
C585,geranial,NA,NA
C586,geraniol,NA,NA
C587,geraniol (e),NA,NA
C588,geranyl 2-methylbutyrate,NA,NA
C589,geranyl acetate,NA,NA
C590,geranyl acetone,NA,NA
C591,geranyl butyrate,NA,NA
C592,geranyl formate,NA,NA
C593,geranyl heptanoate,NA,NA
C594,geranyl isobutyrate,NA,NA
C595,geranyl propionate,NA,NA
C596,geranyl tiglate,NA,NA
C597,geranyl-2-methylbutyrate,NA,NA
C598,germacrene a,NA,NA
C599,germacrene b,NA,NA
C600,germacrene d,NA,NA
C601,germacrene d 4-ol,NA,NA
C602,germacrene d-4-alpha-ol,NA,NA
C603,germacrene d-4-ol,NA,NA
C604,germacrene0d,NA,NA
C605,germacrene-b,NA,NA
C606,germacrene-d,NA,NA
C607,germacrene-d-4-ol,NA,NA
C608,globulol,NA,NA
C609,globulol+unknown,NA,NA
C610,gossonorol,NA,NA
C611,"guaia-6,9-diene",NA,NA
C612,guaiazulene,NA,NA
C613,guaiol,NA,NA
C614,guaiol isomer,NA,NA
C615,"guaiol isomer f,g",NA,NA
C616,hedycaryol,NA,NA
C617,helifolenol b,NA,NA
C618,heneicosane,NA,NA
C619,heptacosane,NA,NA
C620,heptadecanal,NA,NA
C621,heptadecane,NA,NA
C622,heptadecene,NA,NA
C623,heptan-2-ol,NA,NA
C624,heptanal,NA,NA
C625,hexacosane,NA,NA
C626,hexadecane,NA,NA
C627,hexadecanoic acid,NA,NA
C628,hexadecanoic0acid,NA,NA
C629,hexadecanol,NA,NA
C630,hexadecyl acetate,NA,NA
C631,hexahydrofarnesyl acetone,NA,NA
C632,hexahydrofarnesylacetone,NA,NA
C633,hexanal,NA,NA
C634,hexanoic acid,NA,NA
C635,hexanol,NA,NA
C636,hexenal,NA,NA
C637,hexyl acetate,NA,NA
C638,hexyl butyrate,NA,NA
C639,hexyl hexanoate,NA,NA
C640,hexyl isovalerate,NA,NA
C641,hexyl octanoate,NA,NA
C642,hexyl tiglate,NA,NA
C643,hexyl valerate,NA,NA
C644,hexyl-2-methyl butyrate,NA,NA
C645,himachalol,NA,NA
C646,hinesol,NA,NA
C647,humulene,NA,NA
C648,humulene epoxide ii,NA,NA
C649,humulene epoxide iii,NA,NA
C650,humulene epoxide ll,NA,NA
C651,humulene epoxide-ii,NA,NA
C652,humulene epoxide-iii,NA,NA
C653,humulene oxide i,NA,NA
C654,humulene oxide ii,NA,NA
C655,indole,NA,NA
C656,isoamyl hexanoate,NA,NA
C657,isoamyl isovalerate,NA,NA
C658,isoamyl isovlerate,NA,NA
C659,isoamyl-2-methyl butyrate,NA,NA
C660,isobazzanene,NA,NA
C661,isoborneol,NA,NA
C662,isobornyl acetate,NA,NA
C663,isobornyl formate,NA,NA
C664,isobornyl formate,NA,NA
C665,isobornyl propionate,NA,NA
C666,isobornylformate,NA,NA
C667,isobutylphenylacetate,NA,NA
C668,isocaryophyllene,NA,NA
C669,isocaryophyllene oxide,NA,NA
C670,isocomene,NA,NA
C671,isoeogenol,NA,NA
C672,isokaurene,NA,NA
C673,isoledene,NA,NA
C674,isomenthol,NA,NA
C675,iso-menthol,NA,NA
C676,isomenthone,NA,NA
C677,iso-menthone,NA,NA
C678,isopentanol,NA,NA
C679,isophytol+phytol,NA,NA
C680,isopinocamphone,NA,NA
C681,isopiperitenone,NA,NA
C682,isopropyl isobutyrate,NA,NA
C683,isopulegol,NA,NA
C684,isopulegyl acetate,NA,NA
C685,isospathulenol,NA,NA
C686,isosylvestrene,NA,NA
C687,isoterpinolene,NA,NA
C688,isovaleric acid,NA,NA
C689,italicene epoxide,NA,NA
C690,junipercamphor,NA,NA
C691,kessane,NA,NA
C692,Khusinol,NA,NA
C693,lavandulyl acetate,NA,NA
C694,lavandulyl isobutyrate,NA,NA
C695,lavandulyl isovalerate,NA,NA
C696,ledene,NA,NA
C697,ledol,NA,NA
C698,limonene,NA,NA
C699,limonene+beta-phellandrene,NA,NA
C700,limonene-4-ol,NA,NA
C701,linaiooi,NA,NA
C702,linalool,NA,NA
C703,linalool oxide,NA,NA
C704,linalool oxide (furanoid),NA,NA
C705,linalool propanoate,NA,NA
C706,linalyl acetate,NA,NA
C707,linalyl isobutyrate,NA,NA
C708,linalyl propionate,NA,NA
C709,linoleic acid,NA,NA
C710,l-linalool,NA,NA
C711,longiciclene,NA,NA
C712,longifolenaldehyde,NA,NA
