"","compound_identifier","original_name.x","cleaned_name.x","name_comments.x","compound_identifier_new","original_name.y","cleaned_name.y","name_comments.y"
"64","1058C","(e,e)-2,4-nonadienal",NA,NA,"1058C","delta-camphenone","",NA
"65","1059C","(e,e)-2,4-octadienal",NA,NA,"1059C","trans-verbenyl acetate","",NA
"66","105C","10-epi- gamma-eudesmol",NA,NA,"105C","anisyl isobutyrate","",NA
"67","1060C","(e,e)-2,6-farnesol",NA,NA,"1060C","cis-roseoxide","",NA
"68","1061C","(e,e)-2,6-farnesyl acetate",NA,NA,"1061C","1-undecene","",NA
"69","1062C","(e,e)-3,5-octadien-2-one",NA,NA,"1062C","linalyl isovalerate","",NA
"70","1063C","(e,e)-3,6-nonadienol",NA,NA,"1063C","8-hydroxycarvone","",NA
"71","1064C","(e,e)-4-octadienal",NA,NA,"1064C","cis-beta-ocimene","",NA
"72","1065C","(e,e)-aalpha-farnesene",NA,NA,"1065C","fokienol","",NA
"73","1066C","(e,e)-alloocimene",NA,NA,"1066C","phenyl propanoids","",NA
"74","1067C","(e,e)-alpha-farnesene + beta-bisabolene",NA,NA,"1067C","trans-beta-ocimene","",NA
"75","1068C","(e,e)-alpha-farnesene f",NA,NA,"1068C","trans-nerolidol","",NA
"76","1069C","(e,e)-alpha-farnesol",NA,NA,"1069C","butyric","",NA
"77","106C","10-epi-alpha-cadinol",NA,NA,"106C","beta-elemene","",NA
"78","1070C","(e,e)-alpha-ionone",NA,NA,"1070C","cis-chrysanthenylactate","",NA
"79","1071C","(e,e)-beta-farnesene",NA,NA,"1071C","cuminal","",NA
"80","1072C","(e,e)-beta-ionone",NA,NA,"1072C","(e)-methyl cinnamate","",NA
"81","1073C","(e,e)-decadienal",NA,NA,"1073C","2,3-dihydro-2-octyl-5-methylfuran-3-one","",NA
"82","1074C","(e,e)-delta-ocimene",NA,NA,"1074C","2,4-dimethylthiophene","",NA
"83","1075C","(e,e)-dodecadienal",NA,NA,"1075C","dimethyl disulfide","",NA
"84","1076C","(e,e)-e-farnesol",NA,NA,"1076C","dimethyl tetrasulfide","",NA
"85","1077C","(e,e)-farnesal",NA,NA,"1077C","dimethyl trisulfide","",NA
"86","1078C","(e,e)-farnesol dimethyl for acetophenone",NA,NA,"1078C","dipropyl disulfide","",NA
"87","1079C","(e,e)-farnesyl acetate",NA,NA,"1079C","dipropyl pentasulfide","",NA
"88","107C","10-epi-gamma eudesmol",NA,NA,"107C","bicyclogermacrene","",NA
"89","1080C","(e,e)-farnesyl acetone",NA,NA,"1080C","dipropyl tetrasulfide","",NA
"90","1081C","(e,e)-farnesyl acetone f",NA,NA,"1081C","dipropyl trisulfide","",NA
"91","1082C","(e,e)-geranyl linalool",NA,NA,"1082C","(e)-1-phenyl propyl tetrasulfide","",NA
"92","1083C","(e,e)-germacrone",NA,NA,"1083C","(e)-1-propenyl methyl trisulfide","",NA
"93","1084C","(e,e)-methyl-10,11-epoxyfarnesoate",NA,NA,"1084C","(e)-1-propenyl propyl disulfide","",NA
"94","1085C","(e,e)-methyl-farnesoate",NA,NA,"1085C","(e)-1-propenyl propyl pentasulfide","",NA
"95","1086C","(e,e)-ocimene",NA,NA,"1086C","(e)-1-propenyl propyl trisulfide","",NA
"96","1087C","(e,e)-pseudoionone",NA,NA,"1087C","methyl-2-propenyl disulfide","",NA
"97","1088C","(e,z)-2-4-decadienal",NA,NA,"1088C","methyl pentyltetrasulfide","",NA
"98","1089C","(e,z)-2,3-nonadienal",NA,NA,"1089C","methyl propyldisulfide","",NA
"99","108C","10-epi-gamma-eudesmol",NA,NA,"108C","chrysanthenone","",NA
"100","1090C","(e,z)-2,4-decadienal +2-nonenyl acetate",NA,NA,"1090C","palmitic acid","",NA
"101","1091C","(e,z)-2,4-heptadienai",NA,NA,"1091C","propyl-2-propenyl tetrasulfide","",NA
"102","1092C","(e,z)-2,4-heptadienal",NA,NA,"1092C","propyl-2-propenyl trisulfide","",NA
"103","1093C","(e,z)-2,6-decadienal",NA,NA,"1093C","propyl disulfide","",NA
"104","1094C","(e,z)-2,6-nonadienal",NA,NA,"1094C","(z)-1-propenyl methyl trisulfide","",NA
"105","1095C","(e,z)-2,6-nonadienol",NA,NA,"1095C","(z)-1-propenyl propyl pentasulfide","",NA
"106","1096C","(e,z)-2,8nonadienal",NA,NA,"1096C","(z)-1-propenyl propyl trisulfide","",NA
"107","1097C","(e,z)-3-5-octadien-2-one",NA,NA,"1097C","(z)-1-prpenyl propyl tetrasulfide","",NA
"108","1098C","(e,z)-3,6-nonadienol",NA,NA,"1098C","1-octen-3-yl acetate","",NA
"109","1099C","(e,z)-allo-ocimene",NA,NA,"1099C","3-octanone","",NA
"110","109C","10-hydroxy cadin-4-ene-3-one",NA,NA,"109C","cuminyl acetate","",NA
"111","10C","(e)-2-heptenal",NA,NA,"10C","aromadendrene","",NA
"112","1100C","(e,z)-alpha-farnesene",NA,NA,"1100C","alpha-campholenicaldehyde","",NA
"113","1101C","(e,z)-decadienal",NA,NA,"1101C","anisaldehyde","",NA
"114","1102C","(e,z)-farnesal",NA,NA,"1102C","(e)-alpha-bergamotene","",NA
"115","1103C","(e,z)-farnesol",NA,NA,"1103C","delta-cadinol","",NA
"116","1104C","(e,z)-hecadecenal",NA,NA,"1104C","cis-sabinyl acetate","",NA
"117","1105C","(e,z)-hexenal",NA,NA,"1105C","beta-patchoulene","",NA
"118","1106C","(e,z)-matricaria ester+alpha-muurolene",NA,NA,"1106C","gurjunene","",NA
"119","1107C","(e,z)-nonadienal",NA,NA,"1107C","(z,e)-farnesol","",NA
"120","1108C","(e,z)-undeca-1,3,5-triene",NA,NA,"1108C","(z)-methyl cinnamate","",NA
"121","1109C","(o+p)-cymene",NA,NA,"1109C","beta-fenchol","",NA
"122","110C","13-tetradecanolide",NA,NA,"110C","(e)-2-hexenal","",NA
"123","1110C","(z-)-gamma-bisabolene",NA,NA,"1110C","1-p-mentha-en-4-ol","",NA
"124","1111C","(z)-(2-hydroxy-2-isopropyl-5-methyl)-cyclohexanol",NA,NA,"1111C","beta-himachalene","",NA
"125","1112C","(z)-1-(2',4',5'-trimethoxy phenyl)-butadiene",NA,NA,"1112C","germacrene a","",NA
"126","1113C","(z)-1-(3',4'-dimethoxyphenyl)-butadiene",NA,NA,"1113C","7-epi-alpha-selinene","",NA
"127","1114C","(z)-1-propenyl-2,3,4,5-tetramethoxybenzene",NA,NA,"1114C","o-mentha-1,4,8-trien","",NA
"128","1115C","(z)-1-propenyl methyl trisulfide",NA,NA,"1115C","p-cymene-2-ol","",NA
"129","1116C","(z)-1-propenyl propyl pentasulfide",NA,NA,"1116C","bornyl benzoate","",NA
"130","1117C","(z)-1-propenyl propyl tetrasulfide",NA,NA,"1117C","(e)-beta-terpineol","",NA
"131","1118C","(z)-1-propenyl propyl trisulfide",NA,NA,"1118C","fenchyl acetate","",NA
"132","1119C","(z)-1-propenyl sec-butyl disulfide",NA,NA,"1119C","methyl cinnamate","",NA
"133","111C","14-hydroxy-9-epi-beta-caryophyllene",NA,NA,"111C","(e)-beta-damascenone","",NA
"134","1120C","(z)-1-prpenyl propyl tetrasulfide",NA,NA,"1120C","methyl isobutyl ketone","",NA
"135","1121C","(z)-1,1-diethoxyhex-2-ene",NA,NA,"1121C","amyl acetate","",NA
"136","1122C","(Z)-14-Hydroxy-caryophyllene",NA,NA,"1122C","exo-fenchol","",NA
"137","1123C","(z)-2-decanal",NA,NA,"1123C","2-nonanol","",NA
"138","1124C","(z)-2-decenal",NA,NA,"1124C","2-pentanone","",NA
"139","1125C","(z)-2-decenol",NA,NA,"1125C","3-methyl-2-butanol","",NA
"140","1126C","(z)-2-dodecene",NA,NA,"1126C","3-methyl-5-butyl-2-(3h)-furanone","",NA
"141","1127C","(z)-2-eicosene",NA,NA,"1127C","3-methylbutyric acid","",NA
"142","1128C","(z)-2-ethylhexyl-methoxycinnamate",NA,NA,"1128C","abietal","",NA
"143","1129C","(z)-2-hepten-4-one",NA,NA,"1129C","acetaldehyde","",NA
"144","112C","14-hydroxy-alpha-muurolene",NA,NA,"112C","gamma-dehydro-ar-himachalene","",NA
"145","1130C","(z)-2-heptenal",NA,NA,"1130C","acetic acid","",NA
"146","1131C","(z)-2-hexenal",NA,NA,"1131C","elimicin","",NA
"147","1132C","(z)-2-hexenol",NA,NA,"1132C","(e)-methyl isoeugenol","",NA
"148","1133C","(z)-2-hexenylbenzoate",NA,NA,"1133C","ethanol","",NA
"149","1134C","(z)-2-hexenylisovalerate",NA,NA,"1134C","ethyl-3-hydroxyhexanoate","",NA
"150","1135C","(z)-2-methyl-3-octen-5-yne",NA,NA,"1135C","ethyl-3-methyl butyrate","",NA
"151","1136C","(z)-2-methylbutyrate",NA,NA,"1136C","heptyl hexanoate","",NA
"152","1137C","(z)-2-nonan-4-one",NA,NA,"1137C","kaur-16-one","",NA
"153","1138C","(z)-2-nonenal",NA,NA,"1138C","manoyl oxide","",NA
"154","1139C","(z)-2-octenal",NA,NA,"1139C","methyl-2-hydroxy-3-methyl valerate","",NA
"155","113C","14-hydroxy-beta-caryophyllene",NA,NA,"113C","geranyl isobutyrate","",NA
"156","1140C","(z)-2-p-menthen-1-ol",NA,NA,"1140C","methyl-2-hydroxy-4-methyl valerate","",NA
"157","1141C","(z)-2-pentenol",NA,NA,"1141C","methyl-3-hydroxy decanoate","",NA
"158","1142C","(z)-2-pentenylacetate",NA,NA,"1142C","methyl-3-hydroxy hexadecanoate","",NA
"159","1143C","(z)-2-propenal",NA,NA,"1143C","methyl-3-hydroxy tetradecanoate","",NA
"160","1144C","(z)-2-undecene",NA,NA,"1144C","methyl acetate","",NA
"161","1145C","(z)-3-butylidenephthalide",NA,NA,"1145C","methyl (e)-2-octenoate","",NA
"162","1146C","(z)-3-cambrene a",NA,NA,"1146C","methyl (z)-4-octenoate","",NA
"163","1147C","(z)-3-dodecenoic acid",NA,NA,"1147C","selin-11-en-4-alpha-ol","",NA
"164","1148C","(z)-3-ethyl-1,5-octadiene",NA,NA,"1148C","thuj-2-en-4-ol","",NA
"165","1149C","(z)-3-heptenoic acid",NA,NA,"1149C","(z)-methyl jasmonate","",NA
"166","114C","1-amyloxy-1-ethoxy ethane",NA,NA,"114C","germacrene d","",NA
"167","1150C","(z)-3-hexadecane",NA,NA,"1150C","3-methyl-2-octene","",NA
"168","1151C","(z)-3-hexanal",NA,NA,"1151C","(e)-3-butylidene phthalide","",NA
"169","1152C","(z)-3-hexanol",NA,NA,"1152C","(e)-ligustilide","",NA
"170","1153C","(z)-3-hexanyl acetate",NA,NA,"1153C","(z)-3-butylidenephthalide","",NA
"171","1154C","(z)-3-hexanyl benzoate",NA,NA,"1154C","3-methyl oct-2-ene","",NA
"172","1155C","(z)-3-hexen-1-ol",NA,NA,"1155C","cis-anethole","",NA
"173","1156C","(z)-3-hexene-1-ol",NA,NA,"1156C","2-phenylethyl-2-rnethylbutyrate","",NA
"174","1157C","(z)-3-hexenoic acid",NA,NA,"1157C","6-methyl-3,5-heptadien-2-one","",NA
"175","1158C","(z)-3-hexenyl-2-methylbutyrate",NA,NA,"1158C","beta-eudesrnol","",NA
"176","1159C","(z)-3-hexenyl-3-methylbutyrate",NA,NA,"1159C","caryophylla-2(12),6(13)-diene-5-one","",NA
"177","115C","1-epi-cubenol",NA,NA,"115C","heptanal","",NA
"178","1160C","(z)-3-hexenyl 2-butenoate",NA,NA,"1160C","caryophylla-2(12),6-diene-5-one","",NA
"179","1161C","(z)-3-hexenyl 2-methylbutanoate",NA,NA,"1161C","caryophyllenol-ii","",NA
"180","1162C","(z)-3-hexenyl acetate",NA,NA,"1162C","cis-2,7-dimethyl-4-octen-2,7-diol","",NA
"181","1163C","(z)-3-hexenyl angelate",NA,NA,"1163C","dihydroachillene","",NA
"182","1164C","(z)-3-hexenyl angelate+methyl naphthalene",NA,NA,"1164C","heptadecanol","",NA
"183","1165C","(z)-3-hexenyl butanoate",NA,NA,"1165C","bulnesol","",NA
"184","1166C","(z)-3-hexenyl butyrate",NA,NA,"1166C","cis-pinocarvylacetate","",NA
"185","1167C","(z)-3-hexenyl isobutanoate",NA,NA,"1167C","pinoocamphone","",NA
"186","1168C","(z)-3-hexenyl isobutyrate",NA,NA,"1168C","3-butylphthalide","",NA
"187","1169C","(z)-3-hexenyl isocalerate",NA,NA,"1169C","dihydro-agarofuran","",NA
"188","116C","1-ethyl-2-phenylcycropropane",NA,NA,"116C","hexanal","",NA
"189","1170C","(z)-3-hexenyl isovalerate",NA,NA,"1170C","gamma-selinene","",NA
"190","1171C","(z)-3-hexenyl isovalreate",NA,NA,"1171C","pentyl cyclohexalpha-l,3-diene","",NA
"191","1172C","(z)-3-hexenyl octanoate",NA,NA,"1172C","sedanenolide","",NA
"192","1173C","(z)-3-hexenyl phenylacetate",NA,NA,"1173C","sedanolide","",NA
"193","1174C","(z)-3-hexenyl propanoate",NA,NA,"1174C","trans-limonene oxide","",NA
"194","1175C","(z)-3-hexenyl valerate",NA,NA,"1175C","valerophenone","",NA
"195","1176C","(z)-3-hexenylÂ isovalerate",NA,NA,"1176C","dihydroagarofuran","",NA
"196","1177C","(z)-3-hexyl butyrate",NA,NA,"1177C","pentyl cyclohexa-1,3-dien","",NA
"197","1178C","(z)-3-nonenol",NA,NA,"1178C","(e)-nerolidiol","",NA
"198","1179C","(z)-3-octenoic acid",NA,NA,"1179C","isomethanone","",NA
"199","117C","1-hexadecanol",NA,NA,"117C","hexanol","",NA
"200","1180C","(z)-3-octenol",NA,NA,"1180C","neo-menthol","",NA
"201","1181C","(z)-3-tridecane",NA,NA,"1181C","pulegone","",NA
"202","1182C","(z)-3,5-nonadiyne-7-ene",NA,NA,"1182C","(z)-3-hexenyl isovalreate","",NA
"203","1183C","(z)-3,7-dimethyl-2,7-octadien-1,6-diol",NA,NA,"1183C","cis-dihydrocarvone","",NA
"204","1184C","(z)-4-decanal",NA,NA,"1184C","dill ether","",NA
"205","1185C","(z)-4-decenal",NA,NA,"1185C","docosene","",NA
"206","1186C","(z)-4-decenol",NA,NA,"1186C","p-menth-1-en-9-ol","",NA
"207","1187C","(z)-4-heptenal",NA,NA,"1187C","toluene","",NA
"208","1188C","(z)-4-heptenoic acid",NA,NA,"1188C","thujanol","",NA
"209","1189C","(z)-4-heptenol",NA,NA,"1189C","(e)-2-decenol","",NA
"210","118C","1-hexadecene",NA,NA,"118C","humulene epoxide i","",NA
"211","1190C","(z)-4-octenol",NA,NA,"1190C","(e)-2-decenyl acetate","",NA
"212","1191C","(z)-4-octenyl-2-methylbutyrate",NA,NA,"1191C","(e)-2-dodecenol","",NA
"213","1192C","(z)-4-octenyl 2-methyl butyrate",NA,NA,"1192C","(e)-2-tetradecenol","",NA
"214","1193C","(z)-4-octenyl 3-methyl butyrate + phenyl ethyl butyrate",NA,NA,"1193C","(z)-caryophyllene oxide","",NA
"215","1194C","(z)-4-octenyl acetate",NA,NA,"1194C","2,5-hexanedione","",NA
"216","1195C","(z)-4-octenyl butyrate",NA,NA,"1195C","2-methylbutanol","",NA
"217","1196C","(z)-4-octenyl hexanoate",NA,NA,"1196C","acetophenone","",NA
"218","1197C","(z)-4-octenyl isobutyrate",NA,NA,"1197C","alpha-calocorene","",NA
"219","1198C","(z)-4-octenyl pentanoate",NA,NA,"1198C","lavender lactone","",NA
"220","1199C","(z)-5-decenyl acetate",NA,NA,"1199C","fragranol","",NA
"221","119C","1-h-indole",NA,NA,"119C","isobornyl propionate","",NA
"222","11C","(e)-2-hexenal",NA,NA,"11C","beta-cadinene","",NA
"223","1200C","(z)-5-heptenoic acid",NA,NA,"1200C","mytenol","",NA
"224","1201C","(z)-5-nonadecene",NA,NA,"1201C","nerol oxide","",NA
"225","1202C","(z)-5-octenoic acid",NA,NA,"1202C","allo-aromadendrened","",NA
"226","1203C","(z)-6-decenylacetate",NA,NA,"1203C","alpha-bisabololoxide b","",NA
"227","1204C","(z)-6-dodecen-g-lactone",NA,NA,"1204C","ar-turmerol","",NA
"228","1205C","(z)-6-methyl-3,5-heptadien-2-one",NA,NA,"1205C","beta-cubebened","",NA
"229","1206C","(z)-6-octadecenoic acid",NA,NA,"1206C","capillined","",NA
"230","1207C","(z)-6-pentadecen-2-one",NA,NA,"1207C","cis-beta-terpineold","",NA
"231","1208C","(z)-6,10-dimethyl-5-9-undecadien-2-one",NA,NA,"1208C","cyperened","",NA
"232","1209C","(z)-7-dodecenol",NA,NA,"1209C","ethyl (e)-cinnamate","",NA
"233","120C","1-methyl-4-heptenol",NA,NA,"120C","methyl eugenol","",NA
"234","1210C","(z)-9-hexadecenol",NA,NA,"1210C","humulene epoxide i d,e","",NA
"235","1211C","(z)-9-methyloctadecanoate",NA,NA,"1211C","isoborneold","",NA
"236","1212C","(z)-9-octadecenamide",NA,NA,"1212C","viridiflorold","",NA
"237","1213C","(z)-9-octadecenoic acid",NA,NA,"1213C","1,2,3-trimethylbenzene","",NA
"238","1214C","(z)-9-tetradecenal",NA,NA,"1214C","1,3,5-trimethylbenzene","",NA
"239","1215C","(z)-9-tricosane",NA,NA,"1215C","beta-chamigrene","",NA
"240","1216C","(z)-abienol",NA,NA,"1216C","beta-copaen-4-alpha-ol","",NA
"241","1217C","(z)-alpha-atlantone",NA,NA,"1217C","camphora","",NA
"242","1218C","(z)-alpha-bergamotene",NA,NA,"1218C","cumin alcohola","",NA
"243","1219C","(z)-alpha-bisabolene oxide",NA,NA,"1219C","(e)-jasmone","",NA
"244","121C","1-nonen-3-ol",NA,NA,"121C","methyl-p-anisate","",NA
"245","1220C","(z)-alpha-cadinol",NA,NA,"1220C","lyratyl acetate","",NA
"246","1221C","(z)-alpha-ionone",NA,NA,"1221C","lyratyl propionate","",NA
"247","1222C","(z)-alpha-ocimene",NA,NA,"1222C","o-isopropenyl toluene","",NA
"248","1223C","(z)-alpha-trans-bergamatol",NA,NA,"1223C","santalinatriene","",NA
"249","1224C","(z)-alpha-trans-bergamotal acetate",NA,NA,"1224C","santalinylacetate","",NA
"250","1225C","(z)-alpha-trans-bergamotene",NA,NA,"1225C","thuj- 3 -en 10-al","",NA
"251","1226C","(z)-alpha-trans-bergamotol acetate",NA,NA,"1226C","thuja 2,4 (10)-diene","",NA
"252","1227C","(z)-asarone",NA,NA,"1227C","viridiflorolf","",NA
"253","1228C","(z)-b-ocimene",NA,NA,"1228C","benzyl tiglate","",NA
"254","1229C","(z)-beta- ocimene",NA,NA,"1229C","caryophyllene acetate","",NA
"255","122C","1-octadecene",NA,NA,"122C","neryl isobutyrate","",NA
"256","1230C","(z)-beta- terpineol",NA,NA,"1230C","dihydromyrcenol","",NA
"257","1231C","(z)-beta-bisabolene",NA,NA,"1231C","(e)-beta-ionone+beta-selinene","",NA
"258","1232C","(z)-beta-caryophyllene",NA,NA,"1232C","gamma-himachalene","",NA
"259","1233C","(z)-beta-curcumen-12-ol",NA,NA,"1233C","m-mentha-1(7),8-diene","",NA
"260","1234C","(z)-beta-damascenone",NA,NA,"1234C","2,5-diethenyl-2-methyltetrahydrofuran","",NA
"261","1235C","(z)-beta-damascone",NA,NA,"1235C","3,7-dimethyl-l,5,7-octatrien-3-ol","",NA
"262","1236C","(z)-beta-famesene",NA,NA,"1236C","5,5-dimethyl-2(5h)-furanone","",NA
"263","1237C","(z)-beta-guaiene",NA,NA,"1237C","cis-arbusculone","",NA
"264","1238C","(z)-beta-ionone",NA,NA,"1238C","davanaether","",NA
"265","1239C","(z)-beta-ocimene (m)",NA,NA,"1239C","davanone-2-ol-beta","",NA
"266","123C","1-octanol",NA,NA,"123C","neryl propionate","",NA
"267","1240C","(z)-beta-ocimene epoxide",NA,NA,"1240C","ethyl tiglate","",NA
"268","1241C","(z)-beta-ocimene+gamma-terpinene",NA,NA,"1241C","isochrysanthenone","",NA
"269","1242C","(z)-beta-santalene",NA,NA,"1242C","nor-davanone","",NA
"270","1243C","(z)-beta-santalol",NA,NA,"1243C","terpinolene+trans-linalooloxide (furanoid)","",NA
"271","1244C","(z)-beta-santalol acetate",NA,NA,"1244C","trans-arbusculone","",NA
"272","1245C","(z)-beta-santalyl acetate",NA,NA,"1245C","6,11-oxido acor-4-ene","",NA
"273","1246C","(z)-beta-terpineol",NA,NA,"1246C","alpha-cubebeno","",NA
"274","1247C","(z)-beta -ocimene",NA,NA,"1247C","artemiseole","",NA
"275","1248C","(z)-butylidene phthalide",NA,NA,"1248C","beta-curcumene","",NA
"276","1249C","(z)-cadina-1,4-diene",NA,NA,"1249C","beta-gujunene","",NA
"277","124C","1-octen-3-ol",NA,NA,"124C","p-cymenene","",NA
"278","1250C","(z)-calacorene",NA,NA,"1250C","beta-maaliene","",NA
"279","1251C","(z)-calamenene",NA,NA,"1251C","cis-calamene","",NA
"280","1252C","(z)-cariophylene",NA,NA,"1252C","cis-p-menthen-1-ol","",NA
"281","1253C","(z)-carveol",NA,NA,"1253C","(e)-2-hexanal","",NA
"282","1254C","(z)-carvylÂ acetate",NA,NA,"1254C","(e)-3-hexanol","",NA
"283","1255C","(z)-caryophyllene",NA,NA,"1255C","(e)-phytol","",NA
"284","1256C","(z)-caryophyllene oxide",NA,NA,"1256C","isobornyl formate","",NA
"285","1257C","(z)-cinnamaldehyde",NA,NA,"1257C","isopiperitone","",NA
"286","1258C","(z)-cinnamyl alcohol",NA,NA,"1258C","menthofuran","",NA
"287","1259C","(z)-cinnamyl tiglate",NA,NA,"1259C","trans-myrtanol","",NA
"288","125C","1-pentadecene",NA,NA,"125C","trans-carvyl acetate","",NA
"289","1260C","(z)-citral",NA,NA,"1260C","13-tetradecanolide","",NA
"290","1261C","(z)-dehydro-apofarnesol",NA,NA,"1261C","1,7-di-epi-beta-cedrene","",NA
"291","1262C","(z)-dihydrocarvone",NA,NA,"1262C","alpha-neoclovene","",NA
"292","1263C","(z)-dimethoxy citral",NA,NA,"1263C","alpha-patchoulene","",NA
