compound_identifier,EssOilDB_entry,,original_name,cleaned_name,name_comments,compound_id
87C,"1, 10-epi-cubenol",,"1, 10-epi-cubenol",NA,NA,
88C,"1,10-diepicubenol",,"1,10-diepicubenol",NA,NA,
89C,"1,10-di-epi-cubenol",,"1,10-di-epi-cubenol",NA,NA,
90C,"1,10-epi-cubenol",,"1,10-epi-cubenol",NA,NA,
91C,"1,2,3,4-Tetrahydro-1,5,7-trimethyl naphthalene",,"1,2,3,4-Tetrahydro-1,5,7-trimethyl naphthalene",NA,NA,
92C,"1,2-benzenedicarboxylic acid",,"1,2-benzenedicarboxylic acid",NA,NA,
93C,"1,2-dimethylbenzene",,"1,2-dimethylbenzene",NA,NA,
94C,"1,3-(e),5(z)-octatriene",,"1,3-(e),5(z)-octatriene",NA,NA,
95C,"1,3,8-alpha-epi-cubenol",,"1,3,8-alpha-epi-cubenol",NA,NA,
96C,"1,3,8-p-menthatriene",,"1,3,8-p-menthatriene",NA,NA,
97C,"1,3-elemadien-6-ol",,"1,3-elemadien-6-ol",NA,NA,
98C,"1,4-cadinadienea",,"1,4-cadinadienea",NA,NA,
99C,"1,5-epoxy-salvial(4)14-ene",,"1,5-epoxy-salvial(4)14-ene",NA,NA,
100C,"1,5-epoxy-salvial-4(14)-ene",,"1,5-epoxy-salvial-4(14)-ene",NA,NA,
101C,"1,8 cineole",,"1,8 cineole",NA,NA,
102C,"1,8-cineol",,"1,8-cineol",NA,NA,
103C,"1,8-cineole",,"1,8-cineole",NA,NA,
104C,"1,8-cineole + limonene",,"1,8-cineole + limonene",NA,NA,
105C,10-epi- gamma-eudesmol,,10-epi- gamma-eudesmol,NA,NA,
106C,10-epi-alpha-cadinol,,10-epi-alpha-cadinol,NA,NA,
107C,10-epi-gamma eudesmol,,10-epi-gamma eudesmol,NA,NA,
108C,10-epi-gamma-eudesmol,,10-epi-gamma-eudesmol,NA,NA,
109C,10-hydroxy cadin-4-ene-3-one,,10-hydroxy cadin-4-ene-3-one,NA,NA,
110C,13-tetradecanolide,,13-tetradecanolide,NA,NA,
111C,14-hydroxy-9-epi-beta-caryophyllene,,14-hydroxy-9-epi-beta-caryophyllene,NA,NA,
112C,14-hydroxy-alpha-muurolene,,14-hydroxy-alpha-muurolene,NA,NA,
113C,14-hydroxy-beta-caryophyllene,,14-hydroxy-beta-caryophyllene,NA,NA,
114C,1-amyloxy-1-ethoxy ethane,,1-amyloxy-1-ethoxy ethane,NA,NA,
115C,1-epi-cubenol,,1-epi-cubenol,NA,NA,
116C,1-ethyl-2-phenylcycropropane,,1-ethyl-2-phenylcycropropane,NA,NA,
117C,1-hexadecanol,,1-hexadecanol,NA,NA,
118C,1-hexadecene,,1-hexadecene,NA,NA,
119C,1-h-indole,,1-h-indole,NA,NA,
120C,1-methyl-4-heptenol,,1-methyl-4-heptenol,NA,NA,
121C,1-nonen-3-ol,,1-nonen-3-ol,NA,NA,
122C,1-octadecene,,1-octadecene,NA,NA,
123C,1-octanol,,1-octanol,NA,NA,
124C,1-octen-3-ol,,1-octen-3-ol,NA,NA,
125C,1-pentadecene,,1-pentadecene,NA,NA,
126C,1-phenylethanol,,1-phenylethanol,NA,NA,
127C,1-undecene,,1-undecene,NA,NA,
128C,2(e)-hexenal,,2(e)-hexenal,NA,NA,
129C,"2,3,4-trimethylbenzaldehyde",,"2,3,4-trimethylbenzaldehyde",NA,NA,
130C,"2,4,5-trimethylbenzaldehyde",,"2,4,5-trimethylbenzaldehyde",NA,NA,
131C,"2,4,6-trimethylbenzene",,"2,4,6-trimethylbenzene",NA,NA,
132C,"2,4-dimethylphenol",,"2,4-dimethylphenol",NA,NA,
133C,"2,6-dimethyl-1,3(e),s(z),7-octatetraene",,"2,6-dimethyl-1,3(e),s(z),7-octatetraene",NA,NA,
134C,"2,6-dimethyl-1,7-octadiene-3,6-diol",,"2,6-dimethyl-1,7-octadiene-3,6-diol",NA,NA,
135C,"2,6-dimethyl-3(e),5(e),7-octatrien-2-ol",,"2,6-dimethyl-3(e),5(e),7-octatrien-2-ol",NA,NA,
136C,22-beta-hydroxyoleanonic acid,,22-beta-hydroxyoleanonic acid,NA,NA,
137C,2-butanol,,2-butanol,NA,NA,
138C,2-decanone,,2-decanone,NA,NA,
139C,2-dodecanone,,2-dodecanone,NA,NA,
140C,2-dodecenal,,2-dodecenal,NA,NA,
141C,2-ethyl-6-methylpyrazine,,2-ethyl-6-methylpyrazine,NA,NA,
142C,2-heptadecanone,,2-heptadecanone,NA,NA,
143C,2-heptanol,,2-heptanol,NA,NA,
144C,2-methoxy-3-(1-methylpropyl)-pyrazine,,2-methoxy-3-(1-methylpropyl)-pyrazine,NA,NA,
145C,"2-methyl-6-methylene-3,7-octadien-2-ol",,"2-methyl-6-methylene-3,7-octadien-2-ol",NA,NA,
146C,2-methylbutanol,,2-methylbutanol,NA,NA,
147C,2-methylbutylisobutyrate,,2-methylbutylisobutyrate,NA,NA,
148C,2-methylbutyltiglate,,2-methylbutyltiglate,NA,NA,
149C,2-methylpropan-1-ol,,2-methylpropan-1-ol,NA,NA,
150C,2-methyltiobenzotiazol,,2-methyltiobenzotiazol,NA,NA,
151C,2-nitroethanol,,2-nitroethanol,NA,NA,
152C,2-nonanone,,2-nonanone,NA,NA,
153C,2-octanone,,2-octanone,NA,NA,
154C,2-pentylfuran,,2-pentylfuran,NA,NA,
155C,2-phenethyl alcohol,,2-phenethyl alcohol,NA,NA,
156C,2-phenylethanol,,2-phenylethanol,NA,NA,
157C,2-phenylethylacetate,,2-phenylethylacetate,NA,NA,
158C,2-phenylethylisovalerate,,2-phenylethylisovalerate,NA,NA,
159C,2-phenylethylpropionate,,2-phenylethylpropionate,NA,NA,
160C,2-tridecanone,,2-tridecanone,NA,NA,
161C,2-tridecanonene,,2-tridecanonene,NA,NA,
162C,2-undecanone,,2-undecanone,NA,NA,
163C,"3,4-dimethyl-1,5-heptadiene",,"3,4-dimethyl-1,5-heptadiene",NA,NA,
164C,"3,4-dimethyl-5-pentylidene-2(5h)-furanone",,"3,4-dimethyl-5-pentylidene-2(5h)-furanone",NA,NA,
165C,3-carene,,3-carene,NA,NA,
166C,"3-ethyl-3,5-dimethylpyrazine",,"3-ethyl-3,5-dimethylpyrazine",NA,NA,
167C,3-heptanone,,3-heptanone,NA,NA,
168C,3-hepten-2-one,,3-hepten-2-one,NA,NA,
169C,3-hexenol,,3-hexenol,NA,NA,
170C,3-hydroxy-2-butanone,,3-hydroxy-2-butanone,NA,NA,
171C,3-methylbutanal,,3-methylbutanal,NA,NA,
172C,3-methylbutyl hexanoate,,3-methylbutyl hexanoate,NA,NA,
173C,3-methylthiopropanal,,3-methylthiopropanal,NA,NA,
174C,3-octanol,,3-octanol,NA,NA,
175C,3-octanone,,3-octanone,NA,NA,
176C,3-octyl acetate,,3-octyl acetate,NA,NA,
177C,3-phenylpropanal,,3-phenylpropanal,NA,NA,
178C,3-thujene,,3-thujene,NA,NA,
179C,3-thujopsanone,,3-thujopsanone,NA,NA,
180C,"4,3,4-trimetylbenzaldehyde",,"4,3,4-trimetylbenzaldehyde",NA,NA,
181C,"4a-beta,7-alpha,7a-beta-nepetalactone",,"4a-beta,7-alpha,7a-beta-nepetalactone",NA,NA,
182C,4-hydroxy-2-methyl acetophenone,,4-hydroxy-2-methyl acetophenone,NA,NA,
183C,4-isopropyl phenol,,4-isopropyl phenol,NA,NA,
184C,"4-isopropyl-6-methyl-1,2,3,4-tetrahydronaphthalen-1-one",,"4-isopropyl-6-methyl-1,2,3,4-tetrahydronaphthalen-1-one",NA,NA,
185C,4-methylene-isophorone,,4-methylene-isophorone,NA,NA,
186C,4-methylpentylisothiocynate,,4-methylpentylisothiocynate,NA,NA,
187C,4-methylthiobutyl isothiocynate,,4-methylthiobutyl isothiocynate,NA,NA,
188C,4-terpineol,,4-terpineol,NA,NA,
189C,4-vinyl-2-methoxyphenol,,4-vinyl-2-methoxyphenol,NA,NA,
190C,"5-(3-furyl),2-methyl-1-penten-3-ol",,"5-(3-furyl),2-methyl-1-penten-3-ol",NA,NA,
191C,5-epi-paradisiol,,5-epi-paradisiol,NA,NA,
192C,5-methyl-3-heptanone,,5-methyl-3-heptanone,NA,NA,
193C,5-undecanole,,5-undecanole,NA,NA,
194C,"6,10,14-trimethylpentadecan-2-one",,"6,10,14-trimethylpentadecan-2-one",NA,NA,
195C,"6-alpha-hydroxygermacra-1(10),4-diene",,"6-alpha-hydroxygermacra-1(10),4-diene",NA,NA,
196C,"6-hydroxy-2,2,6-trimethyl-cyclohexanone",,"6-hydroxy-2,2,6-trimethyl-cyclohexanone",NA,NA,
197C,6-hydroxycarvotanacetone,,6-hydroxycarvotanacetone,NA,NA,
198C,"6-methyl-3,5-heptadien-2-one",,"6-methyl-3,5-heptadien-2-one",NA,NA,
199C,6-methyl-5-hepten-2-ol,,6-methyl-5-hepten-2-ol,NA,NA,
200C,6-methyl-5-hepten-2-one,,6-methyl-5-hepten-2-one,NA,NA,
201C,"6-metyl-3,5-heptadien-2-one",,"6-metyl-3,5-heptadien-2-one",NA,NA,
202C,6-pentyl-alpha-pyrone,,6-pentyl-alpha-pyrone,NA,NA,
203C,"7alphah,10deltah-cadina-1(6),4-diene",,"7alphah,10deltah-cadina-1(6),4-diene",NA,NA,
204C,7-alpha-h-silphiperphol-5-ene,,7-alpha-h-silphiperphol-5-ene,NA,NA,
205C,7-epi-alpha-selinene,,7-epi-alpha-selinene,NA,NA,
206C,7-isobutyryloxythymolisobutyrate,,7-isobutyryloxythymolisobutyrate,NA,NA,
207C,8-hydroxy bicyclogermacrene*,,8-hydroxy bicyclogermacrene*,NA,NA,
208C,"9,12-octadecadienoic acid",,"9,12-octadecadienoic acid",NA,NA,
209C,9-aristolen-1-alpha-ol,,9-aristolen-1-alpha-ol,NA,NA,
210C,9-decenol,,9-decenol,NA,NA,
211C,9-epi-caryophyllene,,9-epi-caryophyllene,NA,NA,
212C,9-octadecene,,9-octadecene,NA,NA,
213C,abietatriene,,abietatriene,NA,NA,
214C,acetate,,acetate,NA,NA,
215C,acetic acid,,acetic acid,NA,NA,
216C,"acora-3,5-diene-11-ol",,"acora-3,5-diene-11-ol",NA,NA,
217C,acoradiene,,acoradiene,NA,NA,
218C,acorone,,acorone,NA,NA,
219C,aliphatic hydrocarbons,,aliphatic hydrocarbons,NA,NA,
220C,alkane and alkene,,alkane and alkene,NA,NA,
221C,allo-ammadendrene,,allo-ammadendrene,NA,NA,
222C,allo-aromadandrene,,allo-aromadandrene,NA,NA,
223C,allo-aromadendrene,,allo-aromadendrene,NA,NA,
224C,allo-aromadendrene epoxide,,allo-aromadendrene epoxide,NA,NA,
225C,allo-ocimene,,allo-ocimene,NA,NA,
226C,alpha- humulene,,alpha- humulene,NA,NA,
227C,alpha-alaskene,,alpha-alaskene,NA,NA,
228C,alpha-amorphene,,alpha-amorphene,NA,NA,
229C,alpha-aromadendrene,,alpha-aromadendrene,NA,NA,
230C,alpha-bergamotene,,alpha-bergamotene,NA,NA,
231C,alpha-bisabolene,,alpha-bisabolene,NA,NA,
232C,alpha-bisabolol,,alpha-bisabolol,NA,NA,
233C,alpha-bisabololoxide b,,alpha-bisabololoxide b,NA,NA,
234C,alpha-bulnesene,,alpha-bulnesene,NA,NA,
235C,alpha-cadinene,,alpha-cadinene,NA,NA,
236C,alpha-cadinol,,alpha-cadinol,NA,NA,
237C,alpha-calacorene,,alpha-calacorene,NA,NA,
238C,alpha-calacorene+n.i. m+220,,alpha-calacorene+n.i. m+220,NA,NA,
239C,alpha-campholena,,alpha-campholena,NA,NA,
240C,alpha-campholenal,,alpha-campholenal,NA,NA,
241C,alpha-campholenicaldehyde,,alpha-campholenicaldehyde,NA,NA,
242C,alpha-caryophyllene,,alpha-caryophyllene,NA,NA,
243C,alpha-cedrene,,alpha-cedrene,NA,NA,
244C,alpha-copaene,,alpha-copaene,NA,NA,
245C,alpha-copane,,alpha-copane,NA,NA,
246C,alpha-cubebene,,alpha-cubebene,NA,NA,
247C,alpha-curcumene,,alpha-curcumene,NA,NA,
248C,alpha-dehydro-ar-himachalene,,alpha-dehydro-ar-himachalene,NA,NA,
249C,alpha-eudesmol,,alpha-eudesmol,NA,NA,
250C,alpha-eudesmol acetate,,alpha-eudesmol acetate,NA,NA,
251C,alpha-farnesene,,alpha-farnesene,NA,NA,
252C,alpha-fenchene,,alpha-fenchene,NA,NA,
253C,alpha-fenchol,,alpha-fenchol,NA,NA,
254C,alpha-fenchyl acetate,,alpha-fenchyl acetate,NA,NA,
255C,alpha-guaiene,,alpha-guaiene,NA,NA,
256C,alpha-gurjunene,,alpha-gurjunene,NA,NA,
257C,alpha-humulene,,alpha-humulene,NA,NA,
258C,alpha-humulene+(z)-methyl isoeugenol,,alpha-humulene+(z)-methyl isoeugenol,NA,NA,
259C,alpha-ionone,,alpha-ionone,NA,NA,
260C,alpha-isocomene,,alpha-isocomene,NA,NA,
261C,alpha-longipinene,,alpha-longipinene,NA,NA,
262C,alpha-muurolene,,alpha-muurolene,NA,NA,
263C,alpha-muurolol,,alpha-muurolol,NA,NA,
264C,alpha-p-dimethylstyrene,,alpha-p-dimethylstyrene,NA,NA,
265C,alpha-phellandrene,,alpha-phellandrene,NA,NA,
266C,alpha-phellandrene epoxide,,alpha-phellandrene epoxide,NA,NA,
267C,alpha-phellandrene-8-ol,,alpha-phellandrene-8-ol,NA,NA,
268C,alpha-pinene,,alpha-pinene,NA,NA,
269C,alpha-pinene oxide isomer2,,alpha-pinene oxide isomer2,NA,NA,
270C,alpha-santalene,,alpha-santalene,NA,NA,
271C,alpha-selina-11-en-4-ol,,alpha-selina-11-en-4-ol,NA,NA,
272C,alpha-selinene,,alpha-selinene,NA,NA,
273C,alpha-terpinene,,alpha-terpinene,NA,NA,
274C,alpha-terpineol,,alpha-terpineol,NA,NA,
275C,alpha-terpineol/borneol,,alpha-terpineol/borneol,NA,NA,
276C,alpha-terpinyl acetate,,alpha-terpinyl acetate,NA,NA,
277C,alpha-terpinyl formate,,alpha-terpinyl formate,NA,NA,
278C,alpha-thujene,,alpha-thujene,NA,NA,
279C,alpha-thujone,,alpha-thujone,NA,NA,
280C,alpha-trans-bergamotene,,alpha-trans-bergamotene,NA,NA,
281C,alpha-trans-bergamotol,,alpha-trans-bergamotol,NA,NA,
282C,alpha-ylangene,,alpha-ylangene,NA,NA,
283C,alpha-zingiberene,,alpha-zingiberene,NA,NA,
284C,amyl alcohol,,amyl alcohol,NA,NA,
285C,amyl cinnamate,,amyl cinnamate,NA,NA,
286C,apiole,,apiole,NA,NA,
287C,ar-curcumene,,ar-curcumene,NA,NA,
288C,aristolone,,aristolone,NA,NA,
289C,aromadendrene,,aromadendrene,NA,NA,
290C,aromadendrene oxide,,aromadendrene oxide,NA,NA,
291C,artemisia alcohol,,artemisia alcohol,NA,NA,
292C,artemisia ketone,,artemisia ketone,NA,NA,
293C,artemisiaacetate,,artemisiaacetate,NA,NA,
294C,ar-tumerone,,ar-tumerone,NA,NA,
295C,ar-turmerol,,ar-turmerol,NA,NA,
296C,atlantone,,atlantone,NA,NA,
297C,azulene,,azulene,NA,NA,
298C,benzaldehyde,,benzaldehyde,NA,NA,
299C,benzene acetaldehyde,,benzene acetaldehyde,NA,NA,
300C,benzenepropanal,,benzenepropanal,NA,NA,
301C,benzocyclobutane,,benzocyclobutane,NA,NA,
302C,benzyl alcohol,,benzyl alcohol,NA,NA,
303C,benzyl benzoate,,benzyl benzoate,NA,NA,
304C,benzyl butyrate,,benzyl butyrate,NA,NA,
305C,benzyl isovalerate,,benzyl isovalerate,NA,NA,
306C,benzyl nonanoate,,benzyl nonanoate,NA,NA,
307C,benzyl salicylate,,benzyl salicylate,NA,NA,
308C,bergamale,,bergamale,NA,NA,
309C,bergamotene,,bergamotene,NA,NA,
310C,bergamotol acetate,,bergamotol acetate,NA,NA,
311C,bergapten,,bergapten,NA,NA,
312C,beta- caryophyllene,,beta- caryophyllene,NA,NA,
313C,beta-acoradiene,,beta-acoradiene,NA,NA,
314C,beta-atlantol,,beta-atlantol,NA,NA,
315C,beta-bisabolene,,beta-bisabolene,NA,NA,
316C,beta-bisabolol,,beta-bisabolol,NA,NA,
317C,beta-bourbonene,,beta-bourbonene,NA,NA,
318C,beta-cadinene,,beta-cadinene,NA,NA,
319C,beta-caryophyllene,,beta-caryophyllene,NA,NA,
320C,beta-caryophyllene alcohol,,beta-caryophyllene alcohol,NA,NA,
321C,beta-caryophyllene oxide,,beta-caryophyllene oxide,NA,NA,
322C,beta-cedren-9-one,,beta-cedren-9-one,NA,NA,
323C,beta-cedrene,,beta-cedrene,NA,NA,
324C,beta-cedreneepoxide,,beta-cedreneepoxide,NA,NA,
325C,beta-copaen-4-alpha-ol,,beta-copaen-4-alpha-ol,NA,NA,
326C,beta-copaene,,beta-copaene,NA,NA,
327C,beta-cubebene,,beta-cubebene,NA,NA,
328C,beta-curcumine,,beta-curcumine,NA,NA,
329C,beta-cyclocitral,,beta-cyclocitral,NA,NA,
330C,beta-cymene,,beta-cymene,NA,NA,
331C,beta-cyperone,,beta-cyperone,NA,NA,
332C,beta-damascenone,,beta-damascenone,NA,NA,
333C,beta-dihydroagarofuran,,beta-dihydroagarofuran,NA,NA,
334C,beta-dodecalactone,,beta-dodecalactone,NA,NA,
335C,beta-elemene,,beta-elemene,NA,NA,
336C,beta-eudesmol,,beta-eudesmol,NA,NA,
337C,beta-farnesene,,beta-farnesene,NA,NA,
338C,beta-fenchol,,beta-fenchol,NA,NA,
339C,beta-fenchone,,beta-fenchone,NA,NA,
340C,beta-guaiene,,beta-guaiene,NA,NA,
341C,beta-gurjunene,,beta-gurjunene,NA,NA,
342C,beta-himachalene,,beta-himachalene,NA,NA,
343C,beta-humulene,,beta-humulene,NA,NA,
344C,beta-ionone,,beta-ionone,NA,NA,
345C,beta-myrcene,,beta-myrcene,NA,NA,
346C,beta-phellandrene,,beta-phellandrene,NA,NA,
347C,beta-phellandrene+limonene,,beta-phellandrene+limonene,NA,NA,
348C,beta-phenyl-ethyl acetate,,beta-phenyl-ethyl acetate,NA,NA,
349C,beta-pinene,,beta-pinene,NA,NA,
350C,beta-pinene0oxide,,beta-pinene0oxide,NA,NA,
351C,beta-sanatalene,,beta-sanatalene,NA,NA,
352C,beta-santalene,,beta-santalene,NA,NA,
353C,beta-selinene,,beta-selinene,NA,NA,
354C,beta-sesquiphellandrene,,beta-sesquiphellandrene,NA,NA,
355C,beta-terpinene,,beta-terpinene,NA,NA,
356C,beta-thujone,,beta-thujone,NA,NA,
357C,beta-ylangene,,beta-ylangene,NA,NA,
358C,bicycloelemene,,bicycloelemene,NA,NA,
359C,bicyclogermacrene,,bicyclogermacrene,NA,NA,
360C,bicyclovetivenol,,bicyclovetivenol,NA,NA,
361C,borneol,,borneol,NA,NA,
362C,bornyl acetate,,bornyl acetate,NA,NA,
363C,bornyl formate,,bornyl formate,NA,NA,
364C,bulnesol,,bulnesol,NA,NA,
365C,butyl benzoate,,butyl benzoate,NA,NA,
366C,cadalene,,cadalene,NA,NA,
367C,"cadina-1,4-diene",,"cadina-1,4-diene",NA,NA,
368C,"cadina-1,4-diene+alpha-calacorene",,"cadina-1,4-diene+alpha-calacorene",NA,NA,
369C,"cadina-4,1(10)-dien-8 beta-ol",,"cadina-4,1(10)-dien-8 beta-ol",NA,NA,
370C,"cadin-alpha-1,4-diene",,"cadin-alpha-1,4-diene",NA,NA,
371C,cadinol,,cadinol,NA,NA,
372C,calacorene,,calacorene,NA,NA,
373C,calamenene,,calamenene,NA,NA,
374C,calamusenone,,calamusenone,NA,NA,
375C,calarene,,calarene,NA,NA,
376C,camphene,,camphene,NA,NA,
377C,camphenehydrate,,camphenehydrate,NA,NA,
378C,camphor,,camphor,NA,NA,
379C,canfene,,canfene,NA,NA,
380C,caranyl acetate ii,,caranyl acetate ii,NA,NA,
381C,caratoly,,caratoly,NA,NA,
382C,carophyllene oxide,,carophyllene oxide,NA,NA,
383C,carotol,,carotol,NA,NA,
384C,carvacrol,,carvacrol,NA,NA,
385C,carveol,,carveol,NA,NA,
386C,carvone,,carvone,NA,NA,
387C,"caryophylla-2(12),6-dien-5alpha-ol (=caryophyllenol i)",,"caryophylla-2(12),6-dien-5alpha-ol (=caryophyllenol i)",NA,NA,
388C,"caryophylla-2(12),6-dien-5-beta-ol",,"caryophylla-2(12),6-dien-5-beta-ol",NA,NA,
389C,"caryophylla-2(12),6-diene-5-beta-ol",,"caryophylla-2(12),6-diene-5-beta-ol",NA,NA,
390C,"caryophylla-4(14),8(15)-diene-5-alpha-ol",,"caryophylla-4(14),8(15)-diene-5-alpha-ol",NA,NA,
391C,"caryophylla-alpha-4(14),8(15)-diene-5-beta-ol",,"caryophylla-alpha-4(14),8(15)-diene-5-beta-ol",NA,NA,
392C,caryophylladienol,,caryophylladienol,NA,NA,
393C,caryophyllen-8-ol,,caryophyllen-8-ol,NA,NA,
394C,caryophyllene,,caryophyllene,NA,NA,
395C,caryophyllene oxide,,caryophyllene oxide,NA,NA,
396C,caryophyllenol-i,,caryophyllenol-i,NA,NA,
397C,caryophyllenol-ii,,caryophyllenol-ii,NA,NA,
398C,caryophyllenoxide,,caryophyllenoxide,NA,NA,
399C,caryophyllenyl alcohol,,caryophyllenyl alcohol,NA,NA,
