compound_identifier,original_name,cleaned_name,IUPAC name,name_comments
61C,(z)-alpha-trans-bergamotol,(Z)-.alpha.-trans-Bergamotol,"(Z)-5-(2,6-dimethyl-6-bicyclo[3.1.1]hept-2-enyl)-2-methylpent-2-en-1-ol",notationCorrection/capsLetter
62C,(z)-anethole,,,
63C,(z)-beta-farnesene,,,
64C,(z)-beta-ocimene,,,
65C,(z)-chrysanthenyl acetate,,,
66C,(z)-cinnamyl acetate,(Z)-Cinnamyl Acetate,[(Z)-3-phenylprop-2-enyl] acetate,capsLetter
67C,(z)-epoxy-ocimene,(Z)-epoxyocimene,,extraHyphen
68C,(z)-gamma-bisabolene,,,
69C,(z)-isosafrole,,,
70C,(z)-ligustilide,(Z)-Ligustilide,"(3Z)-3-butylidene-4,5-dihydro-2-benzofuran-1-one",cpsLetter
71C,(z)-methyl isoeugenol,(Z)-methyl Isoeugenol,"1,2-dimethoxy-4-[(Z)-prop-1-enyl]benzene",capsLetter
72C,(z)-myroxide,(Z)-Myroxide,"2,2-dimethyl-3-[(2Z)-3-methylpenta-2,4-dienyl]oxirane",capsLetter
73C,(z)-nerolidol,,,
74C,(z)-nuciferal,,,
75C,(z)-nuciferol,,,
76C,(z)-p-menth-2-en-1-ol,(Z)-p-Menth-2-en-1-ol,"(1S,4S)-1-methyl-4-propan-2-ylcyclohex-2-en-1-ol",capsLetter
77C,(z)-p-ocimene,,,
78C,(z)-tagetenone,,,
79C,(z)-tagetone,,,
80C,(z)-trans-alpha-bergamotol,,,
81C,(Z)-Verbenol,,,
82C,"(z,e)-alpha-farnesene",,,
83C,"(z,z)-alpha-farnesene",,,
84C,"(z,z)-octadeca-9,12-dienoic acid",,,
85C,"1-(e,z)-3,5-undecatriene",,,
86C,1-(methyl)-naphthalene,,,
87C,"1, 10-epi-cubenol",,,
88C,"1,10-diepicubenol",,,
89C,"1,10-di-epi-cubenol",,,
90C,"1,10-epi-cubenol",,,
91C,"1,2,3,4-Tetrahydro-1,5,7-trimethyl naphthalene","1,2,3,4-Tetrahydro-1,5,7-trimethylnaphthalene","1,5,7-trimethyl-1,2,3,4-tetrahydronaphthalene",extraSpace
92C,"1,2-benzenedicarboxylic acid","1,2-benzenedicarboxylic Acid",phthalic acid,CapsLetter
93C,"1,2-dimethylbenzene","1,2-Dimethylbenzene","1,2-xylene",capsLetter
94C,"1,3-(e),5(z)-octatriene",,,
95C,"1,3,8-alpha-epi-cubenol",,,noSearch
96C,"1,3,8-p-menthatriene",,,
97C,"1,3-elemadien-6-ol",,,noSearch
98C,"1,4-cadinadienea",,,noSearch
99C,"1,5-epoxy-salvial(4)14-ene",,,
100C,"1,5-epoxy-salvial-4(14)-ene",,,
101C,"1,8 cineole","1,8-cineole","1,3,3-trimethyl-2-oxabicyclo[2.2.2]octane",mssingHyphen
102C,"1,8-cineol",,,missspelled
103C,"1,8-cineole",,,
104C,"1,8-cineole + limonene",,,
105C,10-epi- gamma-eudesmol,10-epi- gamma-eudesmol,"2-[(2R,4aS)-4a,8-dimethyl-2,3,4,5,6,7-hexahydro-1H-naphthalen-2-yl]propan-2-ol",extraSpace and Caps
106C,10-epi-alpha-cadinol,,,
107C,10-epi-gamma eudesmol,,,missingHyphen
108C,10-epi-gamma-eudesmol,,,
109C,10-hydroxy cadin-4-ene-3-one,,,noMatch
110C,13-tetradecanolide,,,
111C,14-hydroxy-9-epi-beta-caryophyllene,,,isomericNotation
112C,14-hydroxy-alpha-muurolene,,,
113C,14-hydroxy-beta-caryophyllene,,,
114C,1-amyloxy-1-ethoxy ethane,,,
115C,1-epi-cubenol,,,
116C,1-ethyl-2-phenylcycropropane,,,misspelled
117C,1-hexadecanol,,,
118C,1-hexadecene,,,
119C,1-h-indole,1-H-indole,,
120C,1-methyl-4-heptenol,,,
121C,1-nonen-3-ol,,,
122C,1-octadecene,,,
123C,1-octanol,,,
124C,1-octen-3-ol,,,
125C,1-pentadecene,,,
126C,1-phenylethanol,,,
127C,1-undecene,,,
128C,2(e)-hexenal,,,
129C,"2,3,4-trimethylbenzaldehyde",,,
130C,"2,4,5-trimethylbenzaldehyde",,,
131C,"2,4,6-trimethylbenzene",,,
132C,"2,4-dimethylphenol",,,
133C,"2,6-dimethyl-1,3(e),s(z),7-octatetraene",,,
134C,"2,6-dimethyl-1,7-octadiene-3,6-diol",,,
135C,"2,6-dimethyl-3(e),5(e),7-octatrien-2-ol",,,
136C,22-beta-hydroxyoleanonic acid,,,
137C,2-butanol,,,
138C,2-decanone,,,
139C,2-dodecanone,,,
140C,2-dodecenal,,,
141C,2-ethyl-6-methylpyrazine,,,
142C,2-heptadecanone,,,
143C,2-heptanol,,,
144C,2-methoxy-3-(1-methylpropyl)-pyrazine,,,
145C,"2-methyl-6-methylene-3,7-octadien-2-ol",,,
146C,2-methylbutanol,,,
147C,2-methylbutylisobutyrate,,,
148C,2-methylbutyltiglate,,,
149C,2-methylpropan-1-ol,,,
150C,2-methyltiobenzotiazol,,,
151C,2-nitroethanol,,,
152C,2-nonanone,,,
153C,2-octanone,,,
154C,2-pentylfuran,,,
155C,2-phenethyl alcohol,,,
156C,2-phenylethanol,,,
157C,2-phenylethylacetate,,,
158C,2-phenylethylisovalerate,,,
159C,2-phenylethylpropionate,,,
160C,2-tridecanone,,,
161C,2-tridecanonene,,,
162C,2-undecanone,,,
163C,"3,4-dimethyl-1,5-heptadiene",,,
164C,"3,4-dimethyl-5-pentylidene-2(5h)-furanone",,,
165C,3-carene,,,
166C,"3-ethyl-3,5-dimethylpyrazine",,,
167C,3-heptanone,,,
168C,3-hepten-2-one,,,
169C,3-hexenol,,,
170C,3-hydroxy-2-butanone,,,
171C,3-methylbutanal,,,
172C,3-methylbutyl hexanoate,,,
173C,3-methylthiopropanal,,,
174C,3-octanol,,,
175C,3-octanone,,,
176C,3-octyl acetate,,,
177C,3-phenylpropanal,,,
178C,3-thujene,,,
179C,3-thujopsanone,,,
180C,"4,3,4-trimetylbenzaldehyde",,,
181C,"4a-beta,7-alpha,7a-beta-nepetalactone",,,
182C,4-hydroxy-2-methyl acetophenone,,,
183C,4-isopropyl phenol,,,
184C,"4-isopropyl-6-methyl-1,2,3,4-tetrahydronaphthalen-1-one",,,
185C,4-methylene-isophorone,,,
186C,4-methylpentylisothiocynate,,,
187C,4-methylthiobutyl isothiocynate,,,
188C,4-terpineol,,,
189C,4-vinyl-2-methoxyphenol,,,
190C,"5-(3-furyl),2-methyl-1-penten-3-ol",,,
191C,5-epi-paradisiol,,,
192C,5-methyl-3-heptanone,,,
193C,5-undecanole,,,
194C,"6,10,14-trimethylpentadecan-2-one",,,
195C,"6-alpha-hydroxygermacra-1(10),4-diene",,,
196C,"6-hydroxy-2,2,6-trimethyl-cyclohexanone",,,
197C,6-hydroxycarvotanacetone,,,
198C,"6-methyl-3,5-heptadien-2-one",,,
199C,6-methyl-5-hepten-2-ol,,,
200C,6-methyl-5-hepten-2-one,,,
201C,"6-metyl-3,5-heptadien-2-one",,,
202C,6-pentyl-alpha-pyrone,,,
203C,"7alphah,10deltah-cadina-1(6),4-diene",,,
204C,7-alpha-h-silphiperphol-5-ene,,,
205C,7-epi-alpha-selinene,,,
206C,7-isobutyryloxythymolisobutyrate,,,
207C,8-hydroxy bicyclogermacrene*,,,
208C,"9,12-octadecadienoic acid",,,
209C,9-aristolen-1-alpha-ol,,,
210C,9-decenol,,,
211C,9-epi-caryophyllene,,,
212C,9-octadecene,,,
213C,abietatriene,,,
214C,acetate,,,
215C,acetic acid,,,
216C,"acora-3,5-diene-11-ol",,,
217C,acoradiene,,,
218C,acorone,,,
219C,aliphatic hydrocarbons,,,
220C,alkane and alkene,,,
221C,allo-ammadendrene,,,
222C,allo-aromadandrene,,,
223C,allo-aromadendrene,,,
224C,allo-aromadendrene epoxide,,,
225C,allo-ocimene,,,
226C,alpha- humulene,,,
227C,alpha-alaskene,,,
228C,alpha-amorphene,,,
229C,alpha-aromadendrene,,,
230C,alpha-bergamotene,,,
231C,alpha-bisabolene,,,
232C,alpha-bisabolol,,,
233C,alpha-bisabololoxide b,,,
234C,alpha-bulnesene,,,
235C,alpha-cadinene,,,
236C,alpha-cadinol,,,
237C,alpha-calacorene,,,
238C,alpha-calacorene+n.i. m+220,,,
239C,alpha-campholena,,,
240C,alpha-campholenal,,,
241C,alpha-campholenicaldehyde,,,
242C,alpha-caryophyllene,,,
243C,alpha-cedrene,,,
244C,alpha-copaene,,,
245C,alpha-copane,,,
246C,alpha-cubebene,,,
247C,alpha-curcumene,,,
248C,alpha-dehydro-ar-himachalene,,,
249C,alpha-eudesmol,,,
250C,alpha-eudesmol acetate,,,
251C,alpha-farnesene,,,
252C,alpha-fenchene,,,
253C,alpha-fenchol,,,
254C,alpha-fenchyl acetate,,,
255C,alpha-guaiene,,,
256C,alpha-gurjunene,,,
257C,alpha-humulene,,,
258C,alpha-humulene+(z)-methyl isoeugenol,,,
259C,alpha-ionone,,,
260C,alpha-isocomene,,,
261C,alpha-longipinene,,,
262C,alpha-muurolene,,,
263C,alpha-muurolol,,,
264C,alpha-p-dimethylstyrene,,,
265C,alpha-phellandrene,,,
266C,alpha-phellandrene epoxide,,,
267C,alpha-phellandrene-8-ol,,,
268C,alpha-pinene,,,
269C,alpha-pinene oxide isomer2,,,
270C,alpha-santalene,,,
271C,alpha-selina-11-en-4-ol,,,
272C,alpha-selinene,,,
273C,alpha-terpinene,,,
274C,alpha-terpineol,,,
275C,alpha-terpineol/borneol,,,
276C,alpha-terpinyl acetate,,,
277C,alpha-terpinyl formate,,,
278C,alpha-thujene,,,
279C,alpha-thujone,,,
280C,alpha-trans-bergamotene,,,
281C,alpha-trans-bergamotol,,,
282C,alpha-ylangene,,,
283C,alpha-zingiberene,,,
284C,amyl alcohol,,,
285C,amyl cinnamate,,,
286C,apiole,,,
287C,ar-curcumene,,,
288C,aristolone,,,
289C,aromadendrene,,,
290C,aromadendrene oxide,,,
291C,artemisia alcohol,,,
292C,artemisia ketone,,,
293C,artemisiaacetate,,,
294C,ar-tumerone,,,
295C,ar-turmerol,,,
296C,atlantone,,,
297C,azulene,,,
298C,benzaldehyde,,,
299C,benzene acetaldehyde,,,
300C,benzenepropanal,,,
301C,benzocyclobutane,,,
302C,benzyl alcohol,,,
303C,benzyl benzoate,,,
304C,benzyl butyrate,,,
305C,benzyl isovalerate,,,
306C,benzyl nonanoate,,,
307C,benzyl salicylate,,,
308C,bergamale,,,
309C,bergamotene,,,
310C,bergamotol acetate,,,
311C,bergapten,,,
312C,beta- caryophyllene,,,
313C,beta-acoradiene,,,
314C,beta-atlantol,,,
315C,beta-bisabolene,,,
316C,beta-bisabolol,,,
317C,beta-bourbonene,,,
318C,beta-cadinene,,,
319C,beta-caryophyllene,,,
320C,beta-caryophyllene alcohol,,,
321C,beta-caryophyllene oxide,,,
322C,beta-cedren-9-one,,,
323C,beta-cedrene,,,
324C,beta-cedreneepoxide,,,
325C,beta-copaen-4-alpha-ol,,,
326C,beta-copaene,,,
327C,beta-cubebene,,,
328C,beta-curcumine,,,
329C,beta-cyclocitral,,,
330C,beta-cymene,,,
331C,beta-cyperone,,,
332C,beta-damascenone,,,
333C,beta-dihydroagarofuran,,,
334C,beta-dodecalactone,,,
335C,beta-elemene,,,
336C,beta-eudesmol,,,
337C,beta-farnesene,,,
338C,beta-fenchol,,,
339C,beta-fenchone,,,
340C,beta-guaiene,,,
341C,beta-gurjunene,,,
342C,beta-himachalene,,,
343C,beta-humulene,,,
344C,beta-ionone,,,
345C,beta-myrcene,,,
346C,beta-phellandrene,,,
347C,beta-phellandrene+limonene,,,
348C,beta-phenyl-ethyl acetate,,,
349C,beta-pinene,,,
350C,beta-pinene0oxide,,,
351C,beta-sanatalene,,,
352C,beta-santalene,,,
353C,beta-selinene,,,
354C,beta-sesquiphellandrene,,,
355C,beta-terpinene,,,
356C,beta-thujone,,,
357C,beta-ylangene,,,
358C,bicycloelemene,,,
359C,bicyclogermacrene,,,
360C,bicyclovetivenol,,,
361C,borneol,,,
362C,bornyl acetate,,,
363C,bornyl formate,,,
364C,bulnesol,,,
365C,butyl benzoate,,,
366C,cadalene,,,
367C,"cadina-1,4-diene",,,
368C,"cadina-1,4-diene+alpha-calacorene",,,
369C,"cadina-4,1(10)-dien-8 beta-ol",,,
370C,"cadin-alpha-1,4-diene",,,
371C,cadinol,,,
372C,calacorene,,,
373C,calamenene,,,
374C,calamusenone,,,
375C,calarene,,,
376C,camphene,,,
377C,camphenehydrate,,,
378C,camphor,,,
379C,canfene,,,
380C,caranyl acetate ii,,,
381C,caratoly,,,
382C,carophyllene oxide,,,
383C,carotol,,,
384C,carvacrol,,,
385C,carveol,,,
386C,carvone,,,
387C,"caryophylla-2(12),6-dien-5alpha-ol (=caryophyllenol i)",,,
388C,"caryophylla-2(12),6-dien-5-beta-ol",,,
389C,"caryophylla-2(12),6-diene-5-beta-ol",,,
390C,"caryophylla-4(14),8(15)-diene-5-alpha-ol",,,
391C,"caryophylla-alpha-4(14),8(15)-diene-5-beta-ol",,,
392C,caryophylladienol,,,
393C,caryophyllen-8-ol,,,
394C,caryophyllene,,,
395C,caryophyllene oxide,,,
396C,caryophyllenol-i,,,
397C,caryophyllenol-ii,,,
398C,caryophyllenoxide,,,
399C,caryophyllenyl alcohol,,,
400C,cedr-8(15)-en-9-ol,,,
401C,cedren-8-en-9-alpha-ol,,,
402C,cedrol,,,
403C,chamazulene,,,
404C,chrysanthenone,,,
405C,cinnamyl isovalerate,,,
406C,cis-3-hexenol,,,
407C,cis-alpha-bergamotene,,,
408C,cis-arteannuic alcohol,,,
409C,cis-beta-guaiene,,,
410C,cis-beta-ocimene,,,
411C,cis-beta-terpineol,,,
412C,cis-beta-terpineold,,,
413C,cis-calamene,,,
414C,cis-calamenene,,,
415C,cis-carveol,,,
416C,cis-carvylacetate,,,
417C,cis-carvylpropionate,,,
418C,cis-chrysanthenol,,,
419C,cis-chrysanthenylacetate,,,
420C,cis-chrysanthenylformate,,,
421C,cis-dihydrocarvone,,,
422C,cis-epoxy-ocimene,,,
423C,cis-farnesol,,,
424C,cis-geraniol,,,
425C,cis-jasmone,,,
426C,cis-limoneneoxide,,,
427C,cis-linalooloxide,,,
428C,cis-linalooloxide (furanoid),,,
429C,"cis-mentha-1(7),8-dien-2-ol",,,
430C,cis-muurol-5-en-4-betalpha-ol,,,
431C,"cis-muurola-3,5-diene",,,
432C,"cis-muurola-4(15),5-diene",,,
433C,cis-ocimene,,,
434C,cis-pelemenone,,,
435C,cis-pinocamphone,,,
436C,cis-piperitol,,,
437C,cis-p-menth-2-en-1-ol,,,
438C,"cis-p-mentha-1(7),8-dien-2-ol",,,
439C,"cis-p-mentha-1,8-dien-6-ol",,,
440C,"cis-p-mentha-2,8-dien-1-ol",,,
441C,cis-sabinene hydrate,,,
442C,cis-sabinene hydrate acetate,,,
443C,cis-sabinol,,,
444C,cis-verbenol,,,
445C,cis-verbenyl acetate,,,
446C,citralc,,,
447C,citronellal,,,
448C,citronellic acid,,,
449C,citronellol,,,
450C,citronellyl acetate,,,
451C,citronellyl butyrate,,,
452C,clovenol,,,
453C,cnidilide,,,
454C,coumarin,,,
455C,cryptone,,,
456C,cubebol,,,
457C,cubenen-11-ol,,,
458C,cubenol,,,
459C,cumin alcohol,,,
460C,cumin aldehyde,,,
461C,cuminal,,,
462C,cuparene,,,
463C,curzerene,,,
464C,curzerenone,,,
465C,cycloheptatriene,,,
466C,cyclohexane,,,
467C,cyclohexanone,,,
468C,cyclosativene,,,
469C,Cymene-8-ol,,,
470C,Cyperene,,,
471C,daucene,,,
472C,davanone,,,
473C,decanal,,,
474C,decane,,,
475C,decanoic acid,,,
476C,decanol,,,
477C,decenal,,,
478C,decylacetate,,,
479C,"dehydro-1,8-cineole",,,
480C,dehydroisocalamendiol,,,
481C,dehydro-p-cymene,,,
482C,dehydro-sabinaketone,,,
483C,dehydro-sabinene,,,
484C,Dehydrotremetone,,,
485C,delta-2-carene,,,
486C,delta-3-carene,,,
487C,delta-cadinene,,,
488C,delta-cadinol,,,
489C,delta-cardinene,,,
490C,delta-cymene,,,
491C,delta-elemene,,,
492C,delta-muurolene,,,
493C,delta-pinene,,,
494C,delta-selinene,,,
495C,delta-terpineol,,,
496C,dendrolasin,,,
497C,devanone,,,
498C,di-epi-alpha-cedrene,,,
499C,dihydro tagetone,,,
500C,dihydrocarvone,,,
501C,dihydrochalcone isomer,,,
502C,dihydroedulan,,,
503C,dihydroencecaline,,,
504C,dihydroisochromolaenin,,,
505C,dill apiole,,,
506C,dillapiole,,,
507C,dimethoxyencecalin,,,
508C,dimyrcene ii-a,,,
509C,diterpenes,,,
510C,docosane,,,
511C,dodecanal,,,
512C,dodecane,,,
513C,dodecanoic acid,,,
514C,dodecanol,,,
515C,dodecenyl acetate,,,
516C,e-2-undecenol,,,
517C,eicosane,,,
518C,elemicin,,,
519C,elemol,,,
520C,elemol/hedycaryol,,,
521C,elsholtzia ketone,,,
522C,epi-13-manoyl oxide,,,
523C,epi-1-cubenol,,,
524C,epi-alpha-bisabolol,,,
525C,epi-alpha-cadinol,,,
526C,epi-alpha-muurolol,,,
527C,epi-beta-santalene,,,
528C,epi-bicyclosesquiphellandrene,,,
529C,epi-cubebol,,,
530C,epi-cubenol,,,
531C,epi-globulol,,,
532C,epizonarene,,,
533C,epi-zonarene,,,
534C,epoxy-allo-aromadendrene,,,
535C,"eremophila-1(10),8,1-triene",,,
536C,ergost-5-en-3beta-ol,,,
537C,ethanol,,,
538C,ethyl decanoate,,,
539C,ethyl dodecanoate,,,
540C,ethyl dodecenoate,,,
541C,ethyl hexadecanoate,,,
542C,ethyl hexanoate,,,
543C,ethyl hydroquinone,,,
544C,ethyl isopentanoate,,,
545C,ethyl linoleate,,,
546C,ethyl nicotinate,,,
547C,ethyl oleate,,,
548C,ethyl palmitate,,,
549C,ethyl tetradecanoate,,,
550C,ethyl-9-hexadecenoated,,,
551C,ethylacetate,,,
552C,ethylbenzene,,,
553C,ethylbenzoate,,,
554C,eucalyptol,,,
555C,"eudesma-4(15),7-dien-4-beta-ol",,,
556C,eudesmol,,,
557C,eugenol,,,
558C,exo-2-hydroxycineoleacetate,,,
559C,exo-fenchyl acetate,,,
560C,falcarinol,,,
561C,farnesol,,,
562C,farnesyl acetone,,,
563C,fenchene,,,
564C,fenchol,,,
565C,fenchone,,,
566C,furanoid,,,
567C,furapelargone a,,,
568C,furfural,,,
569C,gamma-amorphene,,,
570C,gamma-cadinene,,,
571C,gamma-curcumene,,,
572C,gamma-dehydro-ar-himachalene,,,
573C,gamma-elemene,,,
574C,gamma-epi-eudesmol,,,
575C,gamma-eudesmol,,,
576C,gamma-gurjunene,,,
577C,gamma-muurolene,,,
578C,gamma-patchoulene,,,
579C,gamma-selinene,,,
580C,gamma-sudesmol,,,
581C,gamma-terpinene,,,
582C,gamma-terpineol,,,
583C,garanate,,,
584C,geijerene,,,
585C,geranial,,,
586C,geraniol,,,
587C,geraniol (e),,,
588C,geranyl 2-methylbutyrate,,,
589C,geranyl acetate,,,
590C,geranyl acetone,,,
591C,geranyl butyrate,,,
592C,geranyl formate,,,
593C,geranyl heptanoate,,,
594C,geranyl isobutyrate,,,
595C,geranyl propionate,,,
596C,geranyl tiglate,,,
597C,geranyl-2-methylbutyrate,,,
598C,germacrene a,,,
599C,germacrene b,,,
600C,germacrene d,,,
601C,germacrene d 4-ol,,,
602C,germacrene d-4-alpha-ol,,,
603C,germacrene d-4-ol,,,
604C,germacrene0d,,,
605C,germacrene-b,,,
606C,germacrene-d,,,
607C,germacrene-d-4-ol,,,
608C,globulol,,,
609C,globulol+unknown,,,
610C,gossonorol,,,
611C,"guaia-6,9-diene",,,
612C,guaiazulene,,,
613C,guaiol,,,
614C,guaiol isomer,,,
615C,"guaiol isomer f,g",,,
616C,hedycaryol,,,
617C,helifolenol b,,,
618C,heneicosane,,,
619C,heptacosane,,,
620C,heptadecanal,,,
621C,heptadecane,,,
622C,heptadecene,,,
623C,heptan-2-ol,,,
624C,heptanal,,,
625C,hexacosane,,,
626C,hexadecane,,,
627C,hexadecanoic acid,,,
628C,hexadecanoic0acid,,,
629C,hexadecanol,,,
630C,hexadecyl acetate,,,
631C,hexahydrofarnesyl acetone,,,
632C,hexahydrofarnesylacetone,,,
633C,hexanal,,,
634C,hexanoic acid,,,
635C,hexanol,,,
636C,hexenal,,,
637C,hexyl acetate,,,
638C,hexyl butyrate,,,
639C,hexyl hexanoate,,,
640C,hexyl isovalerate,,,
641C,hexyl octanoate,,,
642C,hexyl tiglate,,,
643C,hexyl valerate,,,
644C,hexyl-2-methyl butyrate,,,
645C,himachalol,,,
646C,hinesol,,,
647C,humulene,,,
648C,humulene epoxide ii,,,
649C,humulene epoxide iii,,,
650C,humulene epoxide ll,,,
651C,humulene epoxide-ii,,,
652C,humulene epoxide-iii,,,
653C,humulene oxide i,,,
654C,humulene oxide ii,,,
655C,indole,,,
656C,isoamyl hexanoate,,,
657C,isoamyl isovalerate,,,
658C,isoamyl isovlerate,,,
