pid,pname (v 1.0),scientificName (gbif),Normalized name,Details,Error,kingdom,phylum,class,order,family,genus,species
16,Achillea biebersteinii,Achillea biebersteinii C.Afan.,Achillea biebersteinii,C. Afan.,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achillea,Achillea arabica
17,Achillea chrysocoma,Achillea chrysocoma Friv.,Achillea chrysocoma,Friv.,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achillea,Achillea chrysocoma
18,Achillea clavenae,Achillea clavennae L.,Achillea clavennae,L.,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achillea,Achillea clavennae
19,Achillea clypeolata,Achillea clypeolata Sibth. & Sm.,Achillea clypeolata,Sibth. & Sm.,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achillea,Achillea clypeolata
20,Achillea coarctata,Achillea coarctata Poir.,Achillea coarctata,Poir.,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achillea,Achillea coarctata
21,Achillea collina,Achillea collina Becker ex Rchb.,Achillea collina,Becker ex Rchb.,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achillea,Achillea collina
22,Achillea corabensis,Achillea corabensis (Heimerl) K.Micevski,Achillea corabensis,(Heimerl) K.Micevski,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achillea,Achillea pindicola
23,Achillea crithmifolia,Achillea crithmifolia Waldst. & Kit.,Achillea crithmifolia,Waldst. & Kit.,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achillea,Achillea crithmifolia
24,Achillea depressa,Achillea depressa Janka,Achillea depressa,Janka,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achillea,Achillea pseudopectinata
25,Achillea filipendulina,Achillea filipendulina Lam.,Achillea filipendulina,Lam.,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achillea,Achillea filipendulina
26,Achillea goniocephala,Achillea goniocephala Boiss. & Balansa,Achillea goniocephala,Boiss. & Balansa,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achillea,Achillea goniocephala
27,Achillea holosericea,Achillea holosericea Sibth. & Sm.,Achillea holosericea,Sibth. & Sm.,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achillea,Achillea holosericea
28,Achillea lingulata,Achillea lingulata Waldst. & Kit.,Achillea lingulata,Waldst. & Kit.,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achillea,Achillea lingulata
29,Achillea millefolium,Achillea millefolium Ledeb.,Achillea millefolium,Ledeb.,"This entry is same as the next entry. The only difference is an additional ""L."" in the latter",Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achillea,Achillea millefolium
30,Achillea millefolium L,Achillea millefolium L.,Achillea millefolium,L.,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achillea,Achillea millefolium
31,Achillea nobilis,Achillea nobilis L.,Achillea nobilis,L.,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achillea,Achillea nobilis
32,Achillea oligocephala,Achillea oligocephala DC.,Achillea oligocephala,DC.,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achillea,Achillea oligocephala
33,Achillea pseudoaleppica,Achillea pseudoaleppica Hausskn. ex Huber-Morath,Achillea pseudoaleppica,Hausskn. ex Huber-Morath,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achillea,Achillea pseudoaleppica
34,Achillea schischkinii,Achillea schischkinii D.Sosn.,Achillea schischkinii,D.Sosn.,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achillea,Achillea schischkinii
35,Achillea serbica,Achillea serbica Nym.,Achillea serbica,Nym.,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achillea,Achillea ageratifolia
36,Achillea sieheana,Achillea sieheana Stapf,Achillea sieheana,Stapf,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achillea,Achillea sieheana
37,Achillea stricta,Achillea stricta Schleich. ex Koch,Achillea stricta,Schleich. ex Koch,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achillea,Achillea distans
38,Achillea talagonica,Achillea talagonica Boiss.,Achillea talagonica,Boiss.,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achillea,Achillea talagonica
39,Achillea tanacetifolia,Achillea tanacetifolia All.,Achillea tanacetifolia,All.,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achillea,Achillea distans
40,Achillea tenuifolia,Achillea tenuifolia Lam.,Achillea tenuifolia,Lam.,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achillea,Achillea tenuifolia
41,Achillea vermicularis,Achillea vermicularis Trin.,Achillea vermicularis,Trin.,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achillea,Achillea vermicularis
42,Acinos hungaricus,Acinos hungaricus (Simonk.),Acinos hungaricus,(Simonk.),,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Clinopodium,Clinopodium alpinum
43,Acinos suaveolens,Acinos suaveolens (Sm.) G.Don,Acinos suaveolens,(Sm.) G.Don,,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Clinopodium,Clinopodium suaveolens
44,Actinidia chinensis,Actinidia chinensis Planch.,Actinidia chinensis,,Typographical error - Actinidia is the correct spelling,Plantae,Tracheophyta,Magnoliopsida,Ericales,Actinidiaceae,Actinidia,Actinidia chinensis
45,Acorus calamus,Acorus calamus L.,Acorus calamus,L.,,Plantae,Tracheophyta,Liliopsida,Acorales,Acoraceae,Acorus,Acorus calamus
46,Acorus calamusÂ L,Acorus calamus L.,Acorus calamus,L.,"This entry is same as the previous; the mentioned pfids were different. It was previously placed in the family Araceae. But, now, it is under Acoraceae. 13 is the wrong pfid.",Plantae,Tracheophyta,Liliopsida,Acorales,Acoraceae,Acorus,Acorus calamus
47,Aeollanthus myrianthus,Aeollanthus myrianthus Baker,Aeollanthus myrianthus,Baker,,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Aeollanthus,Aeollanthus myrianthus
48,Aeollanthus parvifolius,Aeollanthus parvifolius Benth.,Aeollanthus parvifolius,Benth.,,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Aeollanthus,Aeollanthus parvifolius
49,Aeollanthus pubescens,Aeollanthus pubescens Benth.,Aeollanthus pubescens,Benth.,,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Aeollanthus,Aeollanthus pubescens
50,Aeollanthus suaveolens,Aeollanthus suaveolens Mart. ex Spreng.,Aeollanthus suaveolens,Mart. ex Spreng.,,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Aeollanthus,Aeollanthus suaveolens
51,Aframomum citratum,Aframomum citratum K.Schum.,Aframomum citratum,K.Schum.,,Plantae,Tracheophyta,Liliopsida,Zingiberales,Zingiberaceae,Aframomum,Aframomum citratum
52,Aframomum corrorima,Aframomum corrorima (Braun) P.C.M.Jansen,Aframomum corrorima,(Braun) P.C.M.Jansen,,Plantae,Tracheophyta,Liliopsida,Zingiberales,Zingiberaceae,Aframomum,Aframomum corrorima
53,Aframomum exscapum,Aframomum exscapum (Sims) Hepper,Aframomum exscapum,(Sims) Hepper,,Plantae,Tracheophyta,Liliopsida,Zingiberales,Zingiberaceae,Aframomum,Aframomum exscapum
54,Aframomum hanburyl,Aframomum hanburyi K.Schum.,Aframomum hanburyi,K.Schum.,Typographical error in specific epithet,Plantae,Tracheophyta,Liliopsida,Zingiberales,Zingiberaceae,Aframomum,Aframomum angustifolium
55,Aframomum letestuanum,Aframomum letestuanum Gagnep.,Aframomum letestuanum,Gagnep.,,Plantae,Tracheophyta,Liliopsida,Zingiberales,Zingiberaceae,Aframomum,Aframomum letestuanum
56,Aframomum melegueta,Aframomum melegueta K.Schum.,Aframomum melegueta,K.Schum.,,Plantae,Tracheophyta,Liliopsida,Zingiberales,Zingiberaceae,Aframomum,Aframomum melegueta
57,Aframomum pruinosum,Aframomum pruinosum Gagnep.,Aframomum pruinosum,Gagnep.,,Plantae,Tracheophyta,Liliopsida,Zingiberales,Zingiberaceae,Aframomum,Aframomum pruinosum
58,Aframomum stipulatum,Aframomum stipulatum (Gagnep.) K.Schum.,Aframomum stipulatum,(Gagnep.) K.Schum.,,Plantae,Tracheophyta,Liliopsida,Zingiberales,Zingiberaceae,Aframomum,Aframomum alboviolaceum
59,Agastache foeniculum,Agastache foeniculum Kuntze,Agastache foeniculum,Kuntze,,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Agastache,Agastache foeniculum
60,Agastache scrophulariaefolia,Agastache scrophulariaefolius,Agastache scrophulariaefolius,,Typographical error in specific epithet,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Agastache,Agastache scrophulariaefolius
61,Agerantina havanensis,Ageratina havanensis (Kunth) R.M.King & H.Rob.,Ageratina havanensis,(Kunth) R.M.King & H.Rob.,Typographical Error,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Trixis,Trixis inula
62,Ageratum Conyzoides,Ageratum conyzoides L.,Ageratum conyzoides,L.,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Ageratum,Ageratum conyzoides
63,Ajuga austro-iranica,Ajuga austroiranica Rech.f.,Ajuga austro-iranica,Rech.f.,,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Ajuga,Ajuga austroiranica
64,Ajuga chamaecistus,Ajuga chamaecistus Ging. ex Benth.,Ajuga chamaecistus,Ging. ex Benth.,,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Ajuga,Ajuga chamaecistus
65,Ajuga chamaepitys,Ajuga chamaepitys (L.) Schreb.,Ajuga chamaepitys,(L.) Schreb.,,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Ajuga,Ajuga chamaepitys
66,Ajuga chamaepitys ssp. chamaepitys,Ajuga chamaepitys subsp. chamaepitys,Ajuga chamaepitys ,(subsp. Chamaepitys),,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Ajuga,Ajuga chamaepitys
67,Alchemilla alpina,Alchemilla alpina L.,Alchemilla alpina,L.,,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Alchemilla,Alchemilla alpina
68,Alkanna orientalis,Alkanna orientalis Boiss.,Alkanna orientalis,Boiss.,,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Alkanna,Alkanna orientalis
69,Allamanda cathartica,Allamanda cathartica L.,Allamanda cathartica,L.,,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Allamanda,Allamanda cathartica
70,Allium fistulosum,Allium fistulosum L.,Allium fistulosum,L.,,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Allium,Allium fistulosum
71,Allium sativum (L.),Allium sativum L.,Allium sativum,L.,,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Allium,Allium sativum
72,Alococarpum erianthum,Alococarpum erianthum (DC.) H.Riedl & Huber,Alococarpum erianthum,(DC.) H.Riedl & Huber,,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Prangos,Prangos eriantha
73,Aloysia gratissima,Aloysia gratissima (Gillies & Hook.) Tronc.,Aloysia gratissima,(Gillies & Hook.) Tronc.,,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Verbenaceae,Aloysia,Aloysia gratissima
74,Aloysia triphylla,Aloysia triphylla (L'Hér.) Britton,Aloysia triphylla,(L'Hér.) Britton,,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Verbenaceae,Aloysia,Aloysia citrodora
75,Alpinia calcarata,Alpinia calcarata Roscoe,Alpinia calcarata,Roscoe,,Plantae,Tracheophyta,Liliopsida,Zingiberales,Zingiberaceae,Alpinia,Alpinia calcarata
76,Alpinia galanga,Alpinia galanga Willd.,Alpinia galanga,Willd.,,Plantae,Tracheophyta,Liliopsida,Zingiberales,Zingiberaceae,Alpinia,Alpinia galanga
77,Alpinia laosensis,Alpinia laosensis Gagnep.,Alpinia laosensis,Gagnep.,,Plantae,Tracheophyta,Liliopsida,Zingiberales,Zingiberaceae,Alpinia,Alpinia conchigera
78,Alpinia malaccensis,Alpinia malaccensis Roscoe,Alpinia malaccensis,Roscoe,,Plantae,Tracheophyta,Liliopsida,Zingiberales,Zingiberaceae,Alpinia,Alpinia malaccensis
79,Alpinia nutans,Alpinia nutans Rosc.,Alpinia nutans,Rosc.,,Plantae,Tracheophyta,Liliopsida,Zingiberales,Zingiberaceae,Alpinia,Alpinia nutans
80,Alpinia purpurata,Alpinia purpurata K.Schum.,Alpinia purpurata,K.Schum.,,Plantae,Tracheophyta,Liliopsida,Zingiberales,Zingiberaceae,Alpinia,Alpinia purpurata
81,Alpinia purpurata (pink),Alpinia purpurata K.Schum.,Alpinia purpurata ,K.Schum. (pink),,Plantae,Tracheophyta,Liliopsida,Zingiberales,Zingiberaceae,Alpinia,Alpinia purpurata
82,Alpinia purpurata (red),Alpinia purpurata K.Schum.,Alpinia purpurata ,K.Schum. (red),,Plantae,Tracheophyta,Liliopsida,Zingiberales,Zingiberaceae,Alpinia,Alpinia purpurata
83,Alpinia smithiae,Alpinia smithiae M.Sabu & J.K.Mangaly,Alpinia smithiae,M.Sabu & J.K.Mangaly,,Plantae,Tracheophyta,Liliopsida,Zingiberales,Zingiberaceae,Alpinia,Alpinia smithiae
84,Alpinia zerumbet,Alpinia zerumbet (Pers.) B.L.Burtt & R.M.Sm.,Alpinia zerumbet,(Pers.) B.L.Burtt & R.M.Sm.,,Plantae,Tracheophyta,Liliopsida,Zingiberales,Zingiberaceae,Alpinia,Alpinia zerumbet
85,Ambrosia artemisiifolia,Ambrosia artemisiifolia L.,Ambrosia artemisiifolia,L.,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Ambrosia,Ambrosia artemisiifolia
86,Ambrosia hispida,Ambrosia hispida Pursh,Ambrosia hispida,Pursh,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Ambrosia,Ambrosia hispida
87,Ambrosia microcephala,Ambrosia microcephala DC.,Ambrosia microcephala,DC.,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Ambrosia,Ambrosia microcephala
88,Ammodaucus leucotrichus,Ammodaucus leucotrichus Coss.,Ammodaucus leucotrichus,Coss.,,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Ammodaucus,Ammodaucus leucotrichus
89,Ammoides atlantica,Ammoides atlantica H.Wolff,Ammoides atlantica,H.Wolff,,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Ammoides,Ammoides atlantica
90,Ammoides pusilla,Ammoides pusilla (Brot.) Breistr.,Ammoides pusilla,(Brot.) Breistr.,,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Ammoides,Ammoides pusilla
91,Amomum subulatum,Amomum subulatum Roxb.,Amomum subulatum,Roxb.,,Plantae,Tracheophyta,Liliopsida,Zingiberales,Zingiberaceae,Amomum,Amomum subulatum
92,Amoora rohituka,Amoora rohituka (Roxb.) Wight & Arn.,Amoora rohituka,(Roxb.) Wight & Arn.,,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,Aphanamixis,Aphanamixis polystachya
93,Amyris elimifera,Amyris elemifera L.,Amyris elemifera,L.,Typographical error in specific epithet,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Rutaceae,Amyris,Amyris elemifera
94,Anacardium humile,Anacardium humile St.Hil.,Anacardium humile,St.Hil.,,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,Anacardium,Anacardium humile
95,Anaphalis contorta,Anaphalis contorta Hook.f.,Anaphalis contorta,Hook.f.,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Anaphalis,Anaphalis contorta
96,Anemia tomentosa var. anthriscifolia,Anemia tomentosa var. anthriscifolia (Schrad.) Mickel,Anemia tomentosa ,var. anthriscifolia (Schrad.) Mickel,,Plantae,Tracheophyta,Polypodiopsida,Schizaeales,Anemiaceae,Anemia,Anemia tomentosa
97,Anethum graveolens,Anethum graveolens L.,Anethum graveolens,L.,,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Anethum,Anethum graveolens
98,Angelica acutiloba,Angelica acutiloba (Siebold & Zucc.) Kitag.,Angelica acutiloba,(Siebold & Zucc.) Kitag.,,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Angelica,Angelica acutiloba
99,Angelica archangelica,Angelica archangelica L.,Angelica archangelica,L.,,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Angelica,Angelica archangelica
100,Angelica glauca,Angelica glauca Edgew.,Angelica glauca,Edgew.,,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Angelica,Angelica glauca
101,Angelica sylvestris,Angelica sylvestris L.,Angelica sylvestris,L.,,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Angelica,Angelica sylvestris
102,Aniba riparia,Aniba riparia Mez,Aniba riparia,Mez,,Plantae,Tracheophyta,Magnoliopsida,Laurales,Lauraceae,Aniba,Aniba riparia
103,Aniba rosaeodora Ducke,Aniba rosaeodora Ducke,Aniba rosaeodora,Ducke,,Plantae,Tracheophyta,Magnoliopsida,Laurales,Lauraceae,Aniba,Aniba rosaeodora
104,Aniba terminalis,Aniba terminalis Ducke,Aniba terminalis,Ducke,,Plantae,Tracheophyta,Magnoliopsida,Laurales,Lauraceae,Aniba,Aniba terminalis
105,Annona cherimolia,Annona cherimolia Mill.,Annona cherimolia,Mill.,,Plantae,Tracheophyta,Magnoliopsida,Magnoliales,Annonaceae,Annona,Annona cherimolia
106,Annona glabra,Annona glabra L.,Annona glabra,L.,,Plantae,Tracheophyta,Magnoliopsida,Magnoliales,Annonaceae,Annona,Annona glabra
107,Annona montana,Annona montana Macfad. & R.E.Fr.,Annona montana,Macfad. & R.E.Fr.,,Plantae,Tracheophyta,Magnoliopsida,Magnoliales,Annonaceae,Annona,Annona montana
108,Annona reticulata L.,Annona reticulata L.,Annona reticulata,L.,,Plantae,Tracheophyta,Magnoliopsida,Magnoliales,Annonaceae,Annona,Annona reticulata
109,Anthemis altissima,Anthemis altissima L.,Anthemis altissima,L.,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cota,Cota altissima
110,Anthemis carpatica,Anthemis carpatica Willd.,Anthemis carpatica,Willd.,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Anthemis,Anthemis cretica
111,Anthemis montana,Anthemis montana W.D.J.Koch,Anthemis montana,W.D..J.Koch,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Anthemis,Anthemis montana
112,Anthemis talyshensis,Anthemis talyschensis A.Fedor.,Anthemis talyschensis,A.Fedor.,Typographical error in specific epithet,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cota,Cota talyschensis
113,Anthemis tinctoria L.,Anthemis tinctoria L.,Anthemis tinctoria,L.,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cota,Cota tinctoria
114,Anthemis triumfettii,Anthemis triumfettii (L.) DC.,Anthemis triumfettii,(L.) DC.,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cota,Cota triumfettii
115,Anthocleista vogelii,Anthocleista vogelii Planch.,Anthocleista vogelii,Planch.,,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Gentianaceae,Anthocleista,Anthocleista vogelii
116,Anthriscus cerefolium,Anthriscus cerefolium Hoffm.,Anthriscus cerefolium,Hoffm.,,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Anthriscus,Anthriscus cerefolium
117,Anvillea garcini,Anvillea garcinii DC.,Anvillea garcinii,DC.,Typographical error in specific epithet,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Anvillea,Anvillea garcinii
118,Apium graueolens,Apium graveolens L.,Apium graveolens,L.,Typographical Error and the right spelling already exists,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Apium,Apium graveolens
119,Apium graveolens,Apium graveolens L.,Apium graveolens,L.,,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Apium,Apium graveolens
120,Aquilaria agallocha,Aquilaria agallocha Roxb.,Aquilaria agallocha,Roxb.,,Plantae,Tracheophyta,Magnoliopsida,Malvales,Thymelaeaceae,Aquilaria,Aquilaria agallocha
121,Arabidopsis thaliana,Arabidopsis thaliana (L.) Heynh.,Arabidopsis thaliana,(L.) Heynh.,,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Arabidopsis,Arabidopsis thaliana
122,Argania spinosa,Argania spinosa (L.) Skeels,Argania spinosa,(L.) Skeels,,Plantae,Tracheophyta,Magnoliopsida,Ericales,Sapotaceae,Sideroxylon,Sideroxylon spinosum
123,Arnica montana,Arnica montana L.,Arnica montana,L.,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Arnica,Arnica montana
124,Artedia squamata,Artedia squamata L.,Artedia squamata,L.,,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Artedia,Artedia squamata
125,Artemesia lobelii,Artemisia lobelii All.,Artemisia lobelii,All.,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia,Artemisia alba
126,Artemesia roxburghiana var. purpurascens,Artemisia roxburghiana var. purpurascens (Jacquem. ex Bess.) Hook.fil.,Artemisia roxburghiana ,var. purpurascens (Jacquem. ex Bess.) Hook.fil.,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia,Artemisia roxburghiana
127,Artemisa haussknechtii,Artemisia haussknechtii Boiss.,Artemisia haussknechtii,Boiss.,Typographical error in genus,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia,Artemisia haussknechtii
128,Artemisia abrotanum,Artemisia abrotanum L.,Artemisia abrotanum,L.,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia,Artemisia abrotanum
129,Artemisia absinthium,Artemisia absinthium L.,Artemisia absinthium,L.,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia,Artemisia absinthium
130,Artemisia afra,Artemisia afra Jacq. ex Willd.,Artemisia afra,Jacq. ex Willd.,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia,Artemisia afra
131,Artemisia annua,Artemisia annua L.,Artemisia annua,L.,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia,Artemisia annua
132,Artemisia arborescens,Artemisia arborescens L.,Artemisia arborescens,L.,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia,Artemisia arborescens
133,Artemisia armeniaca,Artemisia armeniaca Lam.,Artemisia armeniaca,Lam.,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia,Artemisia armeniaca
134,Artemisia aucheri,Artemisia aucheri Boiss.,Artemisia aucheri,Boiss.,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Seriphidium,Seriphidium aucheri
135,Artemisia barrelieri,Artemisia barrelieri Bess.,Artemisia barrelieri,Bess.,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Seriphidium,Seriphidium barrelieri
136,Artemisia caerulescens ssp. caerulescens,Artemisia caerulescens subsp. caerulescens,Artemisia caerulescens, subsp. caerulescens,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Seriphidium,Seriphidium caerulescens
137,Artemisia caerulescens ssp. cretacea,Artemisia caerulescens subsp. cretacea (Fiori) A.J.B.Brilli-Cattarini & L.Gubellini,Artemisia caerulescens, subsp. Cretacea (Fiori) A.J.B.Brilli-Cattarini & L.Gubellini,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Seriphidium,Seriphidium caerulescens
138,Artemisia campestris,Artemisia campestris L.,Artemisia campestris,L.,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia,Artemisia campestris
139,Artemisia chamaemelifolia,Artemisia chamaemelifolia Vill.,Artemisia chamaemelifolia,Vill.,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia,Artemisia chamaemelifolia
