Compound_name,OPSIN_lookup_name,OPSIN_inchis,OPSIN_comments
(e)-alpha-bisabolene,(e)-alpha-bisabolene,,(e)-alpha-bisabolene is unparsable due to the following being uninterpretable: (e)-alpha-bisabolene The following was not parseable: abolene
(e)-alpha-ionone,(e)-alpha-ionone,,(e)-alpha-ionone is unparsable due to the following being uninterpretable: (e)-alpha-ionone The following was not parseable: ionone
(e)-anethole,(e)-anethole,"InChI=1/C10H12O/c1-3-4-9-5-7-10(11-2)8-6-9/h3-8H,1-2H3/b4-3+",
(e)-anethole+bornyl acetate,(e)-anethole+bornyl acetate,,(e)-anethole+bornyl acetate is unparsable due to the following being uninterpretable: +bornyl acetate The following was not parseable: +bornyl acetate
(e)-beta- ocimene,(e)-beta- ocimene,"InChI=1/C10H16/c1-5-10(4)8-6-7-9(2)3/h5,7-8H,1,6H2,2-4H3/b10-8+",
(e)-beta-farnesene,(e)-beta-farnesene,"InChI=1/C15H26/c1-6-14(4)10-8-12-15(5)11-7-9-13(2)3/h9,12H,4,6-8,10-11H2,1-3,5H3/b15-12+",
(e)-beta-ionone,(e)-beta-ionone,,(e)-beta-ionone is unparsable due to the following being uninterpretable: (e)-beta-ionone The following was not parseable: ionone
(e)-beta-ocimene,(e)-beta-ocimene,"InChI=1/C10H16/c1-5-10(4)8-6-7-9(2)3/h5,7-8H,1,6H2,2-4H3/b10-8+",
(e)-beta-terpineol,(e)-beta-terpineol,,(e)-beta-terpineol is unparsable due to the following being uninterpretable: (e)-beta-terpineol The following was not parseable: eol
(e)-caryophyllene,(e)-caryophyllene,,(e)-caryophyllene is unparsable due to the following being uninterpretable: (e)-caryophyllene The following was not parseable: yophyllene
(e)-cinnamaldehyde,(e)-cinnamaldehyde,InChI=1/C9H8O/c10-8-4-7-9-5-2-1-3-6-9/h1-8H/b7-4+,
(e)-cinnamyl acetate,(e)-cinnamyl acetate,"InChI=1/C11H12O2/c1-10(12)13-9-5-8-11-6-3-2-4-7-11/h2-8H,9H2,1H3/b8-5+",
(e)-cinnamyl valerate,(e)-cinnamyl valerate,"InChI=1/C14H18O2/c1-2-3-11-14(15)16-12-7-10-13-8-5-4-6-9-13/h4-10H,2-3,11-12H2,1H3/b10-7+",
(e)-citronellyl tiglate,(e)-citronellyl tiglate,"InChI=1/C15H26O2/c1-6-14(5)15(16)17-11-10-13(4)9-7-8-12(2)3/h6,8,13H,7,9-11H2,1-5H3/b14-6+",
(e)-foeniculin,(e)-foeniculin,,(e)-foeniculin is unparsable due to the following being uninterpretable: (e)-foeniculin The following was not parseable: foeniculin
(e)-gamma-bisabolene,(e)-gamma-bisabolene,,(e)-gamma-bisabolene is unparsable due to the following being uninterpretable: (e)-gamma-bisabolene The following was not parseable: abolene
(e)-geranyl acetone,(e)-geranyl acetone,"InChI=1/C13H22O/c1-11(2)7-5-8-12(3)9-6-10-13(4)14/h7,9H,5-6,8,10H2,1-4H3/b12-9+",
(e)-ligustilide,(e)-ligustilide,,(e)-ligustilide is unparsable due to the following being uninterpretable: (e)-ligustilide The following was not parseable: igustilide
(e)-methyl cinnamate,(e)-methyl cinnamate,"InChI=1/C10H10O2/c1-12-10(11)8-7-9-5-3-2-4-6-9/h2-8H,1H3/b8-7+",
(e)-methyl isoeugenol,(e)-methyl isoeugenol,"InChI=1/C11H14O2/c1-4-5-9-6-8(2)11(12)10(7-9)13-3/h4-7,12H,1-3H3/b5-4+",
(e)-nerolidol,(e)-nerolidol,"InChI=1/C15H26O/c1-6-15(5,16)12-8-11-14(4)10-7-9-13(2)3/h6,9,11,16H,1,7-8,10,12H2,2-5H3/b14-11+",
(e)-nerolidol acetate,(e)-nerolidol acetate,"InChI=1/C17H28O2/c1-7-17(6,19-16(5)18)13-9-12-15(4)11-8-10-14(2)3/h7,10,12H,1,8-9,11,13H2,2-6H3/b15-12+",
(e)-nuciferol,(e)-nuciferol,,(e)-nuciferol is unparsable due to the following being uninterpretable: (e)-nuciferol The following was not parseable: nuciferol
(e)-p-menth-2-en-1-ol,(e)-p-menth-2-en-1-ol,,"Could not find bond that: <stereoChemistry type=""EorZ"" value=""E"">e</stereoChemistry> was referring to"
(e)-sesquilavandulol,(e)-sesquilavandulol,,(e)-sesquilavandulol is unparsable due to the following being uninterpretable: (e)-sesquilavandulol The following was not parseable: sesquilavandulol
(e)-sesquilavandulylacetate,(e)-sesquilavandulylacetate,,(e)-sesquilavandulylacetate is unparsable due to the following being uninterpretable: (e)-sesquilavandulylacetate The following was not parseable: sesquilavandulylacetate
(e)-tagetenone,(e)-tagetenone,,(e)-tagetenone is unparsable due to the following being uninterpretable: (e)-tagetenone The following was not parseable: tagetenone
(e)-theaspirane,(e)-theaspirane,,(e)-theaspirane is unparsable due to the following being uninterpretable: (e)-theaspirane The following was not parseable: theaspirane
"(z,e)-alpha-farnesene","(z,e)-alpha-farnesene",,"(z,e)-alpha-farnesene'' is unparsable due to the following being uninterpretable: ''(z,e)-alpha-farnesene'' The following was not parseable: ''(z,e)-alpha-farnesene''"
"(z,z)-alpha-farnesene","(z,z)-alpha-farnesene",,"(z,z)-alpha-farnesene'' is unparsable due to the following being uninterpretable: ''(z,z)-alpha-farnesene'' The following was not parseable: ''(z,z)-alpha-farnesene''"
"(z,z)-octadeca-9,12-dienoic acid","(z,z)-octadeca-9,12-dienoic acid",,"(z,z)-octadeca-9,12-dienoic acid'' is unparsable due to the following being uninterpretable: ''(z,z)-octadeca-9,12-dienoic acid'' The following was not parseable: ''(z,z)-octadeca-9,12-dienoic acid''"
(z)-2-heptenylacetate,(z)-2-heptenylacetate,"InChI=1/C9H16O2/c1-2-3-4-5-6-7-8-9(10)11/h6-7H,2-5,8H2,1H3,(H,10,11)/p-1/b7-6-/fC9H15O2/q-1",
(z)-3-hexenal,(z)-3-hexenal,"InChI=1/C6H10O/c1-2-3-4-5-6-7/h3-4,6H,2,5H2,1H3/b4-3-",
(z)-3-hexenol,(z)-3-hexenol,"InChI=1/C6H12O/c1-2-3-4-5-6-7/h3-4,7H,2,5-6H2,1H3/b4-3-",
(z)-3-hexenyl benzoate,(z)-3-hexenyl benzoate,"InChI=1/C13H16O2/c1-2-3-4-8-11-15-13(14)12-9-6-5-7-10-12/h3-7,9-10H,2,8,11H2,1H3/b4-3-",
(z)-3-hexenyl hexanoate,(z)-3-hexenyl hexanoate,"InChI=1/C12H22O2/c1-3-5-7-9-11-14-12(13)10-8-6-4-2/h5,7H,3-4,6,8-11H2,1-2H3/b7-5-",
(z)-3-hexenyl tiglate,(z)-3-hexenyl tiglate,"InChI=1/C11H18O2/c1-4-6-7-8-9-13-11(12)10(3)5-2/h5-7H,4,8-9H2,1-3H3/b7-6-,10-5+",
(z)-9-hexadecenoic acid,(z)-9-hexadecenoic acid,"InChI=1/C16H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h7-8H,2-6,9-15H2,1H3,(H,17,18)/b8-7-/f/h17H",
(z)-alpha-bisabolene,(z)-alpha-bisabolene,,(z)-alpha-bisabolene is unparsable due to the following being uninterpretable: (z)-alpha-bisabolene The following was not parseable: abolene
(z)-alpha-santalol,(z)-alpha-santalol,,(z)-alpha-santalol is unparsable due to the following being uninterpretable: (z)-alpha-santalol The following was not parseable: santalol
(z)-alpha-trans-bergamotol,(z)-alpha-trans-bergamotol,,(z)-alpha-trans-bergamotol is unparsable due to the following being uninterpretable: (z)-alpha-trans-bergamotol The following was not parseable: bergamotol
(z)-anethole,(z)-anethole,"InChI=1/C10H12O/c1-3-4-9-5-7-10(11-2)8-6-9/h3-8H,1-2H3/b4-3-",
(z)-beta-farnesene,(z)-beta-farnesene,"InChI=1/C15H26/c1-6-14(4)10-8-12-15(5)11-7-9-13(2)3/h9,12H,4,6-8,10-11H2,1-3,5H3/b15-12-",
(z)-beta-ocimene,(z)-beta-ocimene,"InChI=1/C10H16/c1-5-10(4)8-6-7-9(2)3/h5,7-8H,1,6H2,2-4H3/b10-8-",
(z)-chrysanthenyl acetate,(z)-chrysanthenyl acetate,,(z)-chrysanthenyl acetate is unparsable due to the following being uninterpretable: (z)-chrysanthenyl acetate The following was not parseable: anthenyl acetate
(z)-cinnamyl acetate,(z)-cinnamyl acetate,"InChI=1/C11H12O2/c1-10(12)13-9-5-8-11-6-3-2-4-7-11/h2-8H,9H2,1H3/b8-5-",
(z)-epoxy-ocimene,(z)-epoxy-ocimene,,(z)-epoxy-ocimene is unparsable due to the following being uninterpretable: ocimene The following was not parseable: ocimene
(z)-gamma-bisabolene,(z)-gamma-bisabolene,,(z)-gamma-bisabolene is unparsable due to the following being uninterpretable: (z)-gamma-bisabolene The following was not parseable: abolene
(z)-isosafrole,(z)-isosafrole,"InChI=1/C10H10O2/c1-2-3-8-4-5-9-10(6-8)12-7-11-9/h2-6H,7H2,1H3/b3-2-",
(z)-ligustilide,(z)-ligustilide,,(z)-ligustilide is unparsable due to the following being uninterpretable: (z)-ligustilide The following was not parseable: igustilide
(z)-methyl isoeugenol,(z)-methyl isoeugenol,"InChI=1/C11H14O2/c1-4-5-9-6-8(2)11(12)10(7-9)13-3/h4-7,12H,1-3H3/b5-4-",
(z)-myroxide,(z)-myroxide,,(z)-myroxide is unparsable due to the following being uninterpretable: (z)-myroxide The following was not parseable: myroxide
(z)-nerolidol,(z)-nerolidol,"InChI=1/C15H26O/c1-6-15(5,16)12-8-11-14(4)10-7-9-13(2)3/h6,9,11,16H,1,7-8,10,12H2,2-5H3/b14-11-",
(z)-nuciferal,(z)-nuciferal,,(z)-nuciferal is unparsable due to the following being uninterpretable: (z)-nuciferal The following was not parseable: nuciferal
(z)-nuciferol,(z)-nuciferol,,(z)-nuciferol is unparsable due to the following being uninterpretable: (z)-nuciferol The following was not parseable: nuciferol
(z)-p-menth-2-en-1-ol,(z)-p-menth-2-en-1-ol,,"Could not find bond that: <stereoChemistry type=""EorZ"" value=""Z"">z</stereoChemistry> was referring to"
(z)-p-ocimene,(z)-p-ocimene,,(z)-p-ocimene is unparsable due to the following being uninterpretable: (z)-p-ocimene The following was not parseable: ocimene
(z)-tagetenone,(z)-tagetenone,,(z)-tagetenone is unparsable due to the following being uninterpretable: (z)-tagetenone The following was not parseable: tagetenone
(z)-tagetone,(z)-tagetone,,(z)-tagetone is unparsable due to the following being uninterpretable: (z)-tagetone The following was not parseable: tagetone
(z)-trans-alpha-bergamotol,(z)-trans-alpha-bergamotol,,(z)-trans-alpha-bergamotol is unparsable due to the following being uninterpretable: (z)-trans-alpha-bergamotol The following was not parseable: bergamotol
(Z)-Verbenol,(Z)-Verbenol,,(Z)-Verbenol is unparsable due to the following being uninterpretable: (Z)-Verbenol The following was not parseable: Verbenol
"1-(e,z)-3,5-undecatriene","1-(e,z)-3,5-undecatriene",,"1-(e,z)-3,5-undecatriene'' is unparsable due to the following being uninterpretable: ''1-(e,z)-3,5-undecatriene'' The following was not parseable: ''1-(e,z)-3,5-undecatriene''"
1-(methyl)-naphthalene,1-(methyl)-naphthalene,"InChI=1/C11H10/c1-9-5-4-7-10-6-2-3-8-11(9)10/h2-8H,1H3",
1-amyloxy-1-ethoxy ethane,1-amyloxy-1-ethoxy ethane,"InChI=1/C9H20O2/c1-4-6-7-8-11-9(3)10-5-2/h9H,4-8H2,1-3H3",
1-epi-cubenol,1-epi-cubenol,,1-epi-cubenol is unparsable due to the following being uninterpretable: 1-epi-cubenol The following was not parseable: pi-cubenol
1-ethyl-2-phenylcycropropane,1-ethyl-2-phenylcycropropane,,1-ethyl-2-phenylcycropropane is unparsable due to the following being uninterpretable: cycropropane The following was not parseable: cycropropane
1-h-indole,1-h-indole,,1-h-indole is unparsable due to the following being uninterpretable: 1-h-indole The following was not parseable: h-indole
1-hexadecanol,1-hexadecanol,"InChI=1/C16H34O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17/h17H,2-16H2,1H3",
1-hexadecene,1-hexadecene,"InChI=1/C16H32/c1-3-5-7-9-11-13-15-16-14-12-10-8-6-4-2/h3H,1,4-16H2,2H3",
1-methyl-4-heptenol,1-methyl-4-heptenol,"InChI=1/C8H16O/c1-3-4-5-6-7-8(2)9/h4-5,8-9H,3,6-7H2,1-2H3",
1-nonen-3-ol,1-nonen-3-ol,"InChI=1/C9H18O/c1-3-5-6-7-8-9(10)4-2/h4,9-10H,2-3,5-8H2,1H3",
1-octadecene,1-octadecene,"InChI=1/C18H36/c1-3-5-7-9-11-13-15-17-18-16-14-12-10-8-6-4-2/h3H,1,4-18H2,2H3",
1-octanol,1-octanol,"InChI=1/C8H18O/c1-2-3-4-5-6-7-8-9/h9H,2-8H2,1H3",
1-octen-3-ol,1-octen-3-ol,"InChI=1/C8H16O/c1-3-5-6-7-8(9)4-2/h4,8-9H,2-3,5-7H2,1H3",
1-pentadecene,1-pentadecene,"InChI=1/C15H30/c1-3-5-7-9-11-13-15-14-12-10-8-6-4-2/h3H,1,4-15H2,2H3",
1-phenylethanol,1-phenylethanol,"InChI=1/C8H10O/c1-7(9)8-5-3-2-4-6-8/h2-7,9H,1H3",
1-undecene,1-undecene,"InChI=1/C11H22/c1-3-5-7-9-11-10-8-6-4-2/h3H,1,4-11H2,2H3",
"1, 10-epi-cubenol","1, 10-epi-cubenol",,"1, 10-epi-cubenol'' is unparsable due to the following being uninterpretable: ''1, 10-epi-cubenol'' The following was not parseable: ''1, 10-epi-cubenol''"
"1,10-di-epi-cubenol","1,10-di-epi-cubenol",,"1,10-di-epi-cubenol'' is unparsable due to the following being uninterpretable: ''1,10-di-epi-cubenol'' The following was not parseable: ''1,10-di-epi-cubenol''"
"1,10-diepicubenol","1,10-diepicubenol",,"1,10-diepicubenol'' is unparsable due to the following being uninterpretable: ''1,10-diepicubenol'' The following was not parseable: ''1,10-diepicubenol''"
"1,10-epi-cubenol","1,10-epi-cubenol",,"1,10-epi-cubenol'' is unparsable due to the following being uninterpretable: ''1,10-epi-cubenol'' The following was not parseable: ''1,10-epi-cubenol''"
"1,2-benzenedicarboxylic acid","1,2-benzenedicarboxylic acid",,"1,2-benzenedicarboxylic acid'' is unparsable due to the following being uninterpretable: ''1,2-benzenedicarboxylic acid'' The following was not parseable: ''1,2-benzenedicarboxylic acid''"
"1,2-dimethylbenzene","1,2-dimethylbenzene",,"1,2-dimethylbenzene'' is unparsable due to the following being uninterpretable: ''1,2-dimethylbenzene'' The following was not parseable: ''1,2-dimethylbenzene''"
"1,2,3,4-Tetrahydro-1,5,7-trimethyl naphthalene","1,2,3,4-Tetrahydro-1,5,7-trimethyl naphthalene",,"1,2,3,4-Tetrahydro-1,5,7-trimethyl naphthalene'' is unparsable due to the following being uninterpretable: ''1,2,3,4-Tetrahydro-1,5,7-trimethyl naphthalene'' The following was not parseable: ''1,2,3,4-Tetrahydro-1,5,7-trimethyl naphthalene''"
"1,3-(e),5(z)-octatriene","1,3-(e),5(z)-octatriene",,"1,3-(e),5(z)-octatriene'' is unparsable due to the following being uninterpretable: ''1,3-(e),5(z)-octatriene'' The following was not parseable: ''1,3-(e),5(z)-octatriene''"
"1,3-elemadien-6-ol","1,3-elemadien-6-ol",,"1,3-elemadien-6-ol'' is unparsable due to the following being uninterpretable: ''1,3-elemadien-6-ol'' The following was not parseable: ''1,3-elemadien-6-ol''"
"1,3,8-alpha-epi-cubenol","1,3,8-alpha-epi-cubenol",,"1,3,8-alpha-epi-cubenol'' is unparsable due to the following being uninterpretable: ''1,3,8-alpha-epi-cubenol'' The following was not parseable: ''1,3,8-alpha-epi-cubenol''"
"1,3,8-p-menthatriene","1,3,8-p-menthatriene",,"1,3,8-p-menthatriene'' is unparsable due to the following being uninterpretable: ''1,3,8-p-menthatriene'' The following was not parseable: ''1,3,8-p-menthatriene''"
"1,4-cadinadienea","1,4-cadinadienea",,"1,4-cadinadienea'' is unparsable due to the following being uninterpretable: ''1,4-cadinadienea'' The following was not parseable: ''1,4-cadinadienea''"
"1,5-epoxy-salvial-4(14)-ene","1,5-epoxy-salvial-4(14)-ene",,"1,5-epoxy-salvial-4(14)-ene'' is unparsable due to the following being uninterpretable: ''1,5-epoxy-salvial-4(14)-ene'' The following was not parseable: ''1,5-epoxy-salvial-4(14)-ene''"
"1,5-epoxy-salvial(4)14-ene","1,5-epoxy-salvial(4)14-ene",,"1,5-epoxy-salvial(4)14-ene'' is unparsable due to the following being uninterpretable: ''1,5-epoxy-salvial(4)14-ene'' The following was not parseable: ''1,5-epoxy-salvial(4)14-ene''"
"1,8 cineole","1,8 cineole",,"1,8 cineole'' is unparsable due to the following being uninterpretable: ''1,8 cineole'' The following was not parseable: ''1,8 cineole''"
"1,8-cineol","1,8-cineol",,"1,8-cineol'' is unparsable due to the following being uninterpretable: ''1,8-cineol'' The following was not parseable: ''1,8-cineol''"
"1,8-cineole","1,8-cineole",,"1,8-cineole'' is unparsable due to the following being uninterpretable: ''1,8-cineole'' The following was not parseable: ''1,8-cineole''"
"1,8-cineole + limonene","1,8-cineole + limonene",,"1,8-cineole + limonene'' is unparsable due to the following being uninterpretable: ''1,8-cineole + limonene'' The following was not parseable: ''1,8-cineole + limonene''"
10-epi- gamma-eudesmol,10-epi- gamma-eudesmol,,10-epi- gamma-eudesmol is unparsable due to the following being uninterpretable: 10-epi- gamma-eudesmol The following was not parseable: pi- gamma-eudesmol
10-epi-alpha-cadinol,10-epi-alpha-cadinol,,10-epi-alpha-cadinol is unparsable due to the following being uninterpretable: 10-epi-alpha-cadinol The following was not parseable: pi-alpha-cadinol
10-epi-gamma eudesmol,10-epi-gamma eudesmol,,10-epi-gamma eudesmol is unparsable due to the following being uninterpretable: 10-epi-gamma eudesmol The following was not parseable: pi-gamma eudesmol
10-epi-gamma-eudesmol,10-epi-gamma-eudesmol,,10-epi-gamma-eudesmol is unparsable due to the following being uninterpretable: 10-epi-gamma-eudesmol The following was not parseable: pi-gamma-eudesmol
10-hydroxy cadin-4-ene-3-one,10-hydroxy cadin-4-ene-3-one,,10-hydroxy cadin-4-ene-3-one is unparsable due to the following being uninterpretable: cadin-4-ene-3-one The following was not parseable: cadin-4-ene-3-one
13-tetradecanolide,13-tetradecanolide,"InChI=1/C14H26O2/c1-13-11-9-7-5-3-2-4-6-8-10-12-14(15)16-13/h13H,2-12H2,1H3",
14-hydroxy-9-epi-beta-caryophyllene,14-hydroxy-9-epi-beta-caryophyllene,,14-hydroxy-9-epi-beta-caryophyllene is unparsable due to the following being uninterpretable: 9-epi-beta-caryophyllene The following was not parseable: pi-beta-caryophyllene
14-hydroxy-alpha-muurolene,14-hydroxy-alpha-muurolene,,14-hydroxy-alpha-muurolene is unparsable due to the following being uninterpretable: alpha-muurolene The following was not parseable: muurolene
14-hydroxy-beta-caryophyllene,14-hydroxy-beta-caryophyllene,,14-hydroxy-beta-caryophyllene is unparsable due to the following being uninterpretable: beta-caryophyllene The following was not parseable: yophyllene
2-butanol,2-butanol,"InChI=1/C4H10O/c1-3-4(2)5/h4-5H,3H2,1-2H3",
2-decanone,2-decanone,"InChI=1/C10H20O/c1-3-4-5-6-7-8-9-10(2)11/h3-9H2,1-2H3",
2-dodecanone,2-dodecanone,"InChI=1/C12H24O/c1-3-4-5-6-7-8-9-10-11-12(2)13/h3-11H2,1-2H3",
2-dodecenal,2-dodecenal,"InChI=1/C12H22O/c1-2-3-4-5-6-7-8-9-10-11-12-13/h10-12H,2-9H2,1H3",
2-ethyl-6-methylpyrazine,2-ethyl-6-methylpyrazine,"InChI=1/C7H10N2/c1-3-7-5-8-4-6(2)9-7/h4-5H,3H2,1-2H3",
2-heptadecanone,2-heptadecanone,"InChI=1/C17H34O/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17(2)18/h3-16H2,1-2H3",
2-heptanol,2-heptanol,"InChI=1/C7H16O/c1-3-4-5-6-7(2)8/h7-8H,3-6H2,1-2H3",
2-methoxy-3-(1-methylpropyl)-pyrazine,2-methoxy-3-(1-methylpropyl)-pyrazine,"InChI=1/C9H14N2O/c1-4-7(2)8-9(12-3)11-6-5-10-8/h5-7H,4H2,1-3H3",
"2-methyl-6-methylene-3,7-octadien-2-ol","2-methyl-6-methylene-3,7-octadien-2-ol",,"2-methyl-6-methylene-3,7-octadien-2-ol'' is unparsable due to the following being uninterpretable: ''2-methyl-6-methylene-3,7-octadien-2-ol'' The following was not parseable: ''2-methyl-6-methylene-3,7-octadien-2-ol''"
2-methylbutanol,2-methylbutanol,"InChI=1/C5H12O/c1-3-5(2)4-6/h5-6H,3-4H2,1-2H3",
2-methylbutylisobutyrate,2-methylbutylisobutyrate,"InChI=1/C9H18O2/c1-5-8(4)6-11-9(10)7(2)3/h7-8H,5-6H2,1-4H3",
2-methylbutyltiglate,2-methylbutyltiglate,"InChI=1/C10H18O2/c1-5-8(3)7-12-10(11)9(4)6-2/h6,8H,5,7H2,1-4H3/b9-6+",
2-methylpropan-1-ol,2-methylpropan-1-ol,"InChI=1/C4H10O/c1-4(2)3-5/h4-5H,3H2,1-2H3",
2-methyltiobenzotiazol,2-methyltiobenzotiazol,,2-methyltiobenzotiazol is unparsable due to the following being uninterpretable: tiobenzotiazol The following was not parseable: tiobenzotiazol
2-nitroethanol,2-nitroethanol,"InChI=1/C2H5NO3/c4-2-1-3(5)6/h4H,1-2H2",
2-nonanone,2-nonanone,"InChI=1/C9H18O/c1-3-4-5-6-7-8-9(2)10/h3-8H2,1-2H3",
2-octanone,2-octanone,"InChI=1/C8H16O/c1-3-4-5-6-7-8(2)9/h3-7H2,1-2H3",
2-pentylfuran,2-pentylfuran,"InChI=1/C9H14O/c1-2-3-4-6-9-7-5-8-10-9/h5,7-8H,2-4,6H2,1H3",
2-phenethyl alcohol,2-phenethyl alcohol,,Unable to assign all locants. This locant was not assigned: 2
2-phenylethanol,2-phenylethanol,"InChI=1/C8H10O/c9-7-6-8-4-2-1-3-5-8/h1-5,9H,6-7H2",
2-phenylethylacetate,2-phenylethylacetate,"InChI=1/C10H12O2/c1-9(11)12-8-7-10-5-3-2-4-6-10/h2-6H,7-8H2,1H3",
2-phenylethylisovalerate,2-phenylethylisovalerate,"InChI=1/C13H18O2/c1-11(2)10-13(14)15-9-8-12-6-4-3-5-7-12/h3-7,11H,8-10H2,1-2H3",
2-phenylethylpropionate,2-phenylethylpropionate,"InChI=1/C11H14O2/c1-2-11(12)13-9-8-10-6-4-3-5-7-10/h3-7H,2,8-9H2,1H3",
2-tridecanone,2-tridecanone,"InChI=1/C13H26O/c1-3-4-5-6-7-8-9-10-11-12-13(2)14/h3-12H2,1-2H3",
2-tridecanonene,2-tridecanonene,,Unable to assign all locants
2-undecanone,2-undecanone,"InChI=1/C11H22O/c1-3-4-5-6-7-8-9-10-11(2)12/h3-10H2,1-2H3",
"2,3,4-trimethylbenzaldehyde","2,3,4-trimethylbenzaldehyde",,"2,3,4-trimethylbenzaldehyde'' is unparsable due to the following being uninterpretable: ''2,3,4-trimethylbenzaldehyde'' The following was not parseable: ''2,3,4-trimethylbenzaldehyde''"
"2,4-dimethylphenol","2,4-dimethylphenol",,"2,4-dimethylphenol'' is unparsable due to the following being uninterpretable: ''2,4-dimethylphenol'' The following was not parseable: ''2,4-dimethylphenol''"
"2,4,5-trimethylbenzaldehyde","2,4,5-trimethylbenzaldehyde",,"2,4,5-trimethylbenzaldehyde'' is unparsable due to the following being uninterpretable: ''2,4,5-trimethylbenzaldehyde'' The following was not parseable: ''2,4,5-trimethylbenzaldehyde''"
