0,PubChem_lookup_inchis,PubChem_lookup_cid,OPSIN_inchis,OPSIN_comments
2-phenylethylacetate,"InChI=1S/C10H12O2/c1-9(11)12-8-7-10-5-3-2-4-6-10/h2-6H,7-8H2,1H3",7654,"InChI=1/C10H12O2/c1-9(11)12-8-7-10-5-3-2-4-6-10/h2-6H,7-8H2,1H3",
verbenene,"InChI=1S/C10H14/c1-7-4-5-8-6-9(7)10(8,2)3/h4-5,8-9H,1,6H2,2-3H3",6427476,,verbenene is unparsable due to the following being uninterpretable: verbenene The following was not parseable: verbenene
beta-cymene,"InChI=1S/C10H14/c1-8(2)10-6-4-5-9(3)7-10/h4-8H,1-3H3",10812,,Unable to assign all locants. This locant was not assigned: beta
p-cymene,"InChI=1S/C10H14/c1-8(2)10-6-4-9(3)5-7-10/h4-8H,1-3H3",7463,"InChI=1/C10H14/c1-8(2)10-6-4-9(3)5-7-10/h4-8H,1-3H3",
para-cymene,"InChI=1S/C10H14/c1-8(2)10-6-4-9(3)5-7-10/h4-8H,1-3H3",7463,"InChI=1/C10H14/c1-8(2)10-6-4-9(3)5-7-10/h4-8H,1-3H3",
o-cymene,"InChI=1S/C10H14/c1-8(2)10-7-5-4-6-9(10)3/h4-8H,1-3H3",10703,"InChI=1/C10H14/c1-8(2)10-7-5-4-6-9(10)3/h4-8H,1-3H3",
myrtenal,"InChI=1S/C10H14O/c1-10(2)8-4-3-7(6-11)9(10)5-8/h3,6,8-9H,4-5H2,1-2H3",61130,,myrtenal is unparsable due to the following being uninterpretable: myrtenal The following was not parseable: myrtenal
(z)-tagetenone,"InChI=1S/C10H14O/c1-5-9(4)7-10(11)6-8(2)3/h5-7H,1H2,2-4H3/b9-7-",6428432,,(z)-tagetenone is unparsable due to the following being uninterpretable: (z)-tagetenone The following was not parseable: tagetenone
(e)-tagetenone,"InChI=1S/C10H14O/c1-5-9(4)7-10(11)6-8(2)3/h5-7H,1H2,2-4H3/b9-7+",6428431,,(e)-tagetenone is unparsable due to the following being uninterpretable: (e)-tagetenone The following was not parseable: tagetenone
chrysanthenone,"InChI=1S/C10H14O/c1-6-4-5-7-9(11)8(6)10(7,2)3/h4,7-8H,5H2,1-3H3",442463,,chrysanthenone is unparsable due to the following being uninterpretable: chrysanthenone The following was not parseable: anthenone
verbenone,"InChI=1S/C10H14O/c1-6-4-9(11)8-5-7(6)10(8,2)3/h4,7-8H,5H2,1-3H3",29025,,verbenone is unparsable due to the following being uninterpretable: verbenone The following was not parseable: verbenone
pinocarvone,"InChI=1S/C10H14O/c1-6-8-4-7(5-9(6)11)10(8,2)3/h7-8H,1,4-5H2,2-3H3",121719,,pinocarvone is unparsable due to the following being uninterpretable: pinocarvone The following was not parseable: carvone
umbellulone,"InChI=1S/C10H14O/c1-6(2)10-5-8(10)7(3)4-9(10)11/h4,6,8H,5H2,1-3H3",91195,,umbellulone is unparsable due to the following being uninterpretable: umbellulone The following was not parseable: ulone
menthofuran,"InChI=1S/C10H14O/c1-7-3-4-9-8(2)6-11-10(9)5-7/h6-7H,3-5H2,1-2H3",329983,,menthofuran is unparsable due to the following being uninterpretable: menthofuran The following was not parseable: furan
carvacrol,"InChI=1S/C10H14O/c1-7(2)9-5-4-8(3)10(11)6-9/h4-7,11H,1-3H3",10364,"InChI=1/C10H14O/c1-7(2)9-5-4-8(3)10(11)6-9/h4-7,11H,1-3H3",
carvone,"InChI=1S/C10H14O/c1-7(2)9-5-4-8(3)10(11)6-9/h4,9H,1,5-6H2,2-3H3",7439,,carvone is unparsable due to the following being uninterpretable: carvone The following was not parseable: vone
thymol,"InChI=1S/C10H14O/c1-7(2)9-5-4-8(3)6-10(9)11/h4-7,11H,1-3H3",6989,"InChI=1/C10H14O/c1-7(2)9-5-4-8(3)6-10(9)11/h4-7,11H,1-3H3",
isopiperitenone,"InChI=1S/C10H14O/c1-7(2)9-5-4-8(3)6-10(9)11/h6,9H,1,4-5H2,2-3H3",79036,,isopiperitenone is unparsable due to the following being uninterpretable: isopiperitenone The following was not parseable: piperitenone
piperitenone,"InChI=1S/C10H14O/c1-7(2)9-5-4-8(3)6-10(9)11/h6H,4-5H2,1-3H3",381152,,piperitenone is unparsable due to the following being uninterpretable: piperitenone The following was not parseable: piperitenone
p-cymen-8-ol,"InChI=1S/C10H14O/c1-8-4-6-9(7-5-8)10(2,3)11/h4-7,11H,1-3H3",14529,,Could not find the atom with locant 8.
p-cymene-8-ol,"InChI=1S/C10H14O/c1-8-4-6-9(7-5-8)10(2,3)11/h4-7,11H,1-3H3",14529,,Could not find the atom with locant 8.
cumin alcohol,"InChI=1S/C10H14O/c1-8(2)10-5-3-9(7-11)4-6-10/h3-6,8,11H,7H2,1-2H3",325,,cumin alcohol is unparsable due to the following being uninterpretable: cumin alcohol The following was not parseable: cumin alcohol
p-cymen-7-ol,"InChI=1S/C10H14O/c1-8(2)10-5-3-9(7-11)4-6-10/h3-6,8,11H,7H2,1-2H3",325,,Could not find the atom with locant 7.
perillaldehyde,"InChI=1S/C10H14O/c1-8(2)10-5-3-9(7-11)4-6-10/h3,7,10H,1,4-6H2,2H3",16441,,perillaldehyde is unparsable due to the following being uninterpretable: perillaldehyde The following was not parseable: perillaldehyde
perillene,"InChI=1S/C10H14O/c1-9(2)4-3-5-10-6-7-11-8-10/h4,6-8H,3,5H2,1-2H3",68316,,perillene is unparsable due to the following being uninterpretable: perillene The following was not parseable: perillene
6-pentyl-alpha-pyrone,"InChI=1S/C10H14O2/c1-2-3-4-6-9-7-5-8-10(11)12-9/h5,7-8H,2-4,6H2,1H3",33960,,Unable to assign all locants. This locant was not assigned: alpha
thymohydroquinone,"InChI=1S/C10H14O2/c1-6(2)8-5-9(11)7(3)4-10(8)12/h4-6,11-12H,1-3H3",95779,"InChI=1/C10H14O2/c1-6(2)8-5-9(11)7(3)4-10(8)12/h4-6,11-12H,1-3H3",
elsholtzia ketone,"InChI=1S/C10H14O2/c1-7(2)6-9(11)10-8(3)4-5-12-10/h4-5,7H,6H2,1-3H3",521240,,elsholtzia ketone is unparsable due to the following being uninterpretable: elsholtzia ketone The following was not parseable: lsholtzia ketone
neo-allo-ocimene,"InChI=1S/C10H16/c1-5-10(4)8-6-7-9(2)3/h5-8H,1-4H3/b8-6+,10-5-",5371125,,neo-allo-ocimene is unparsable due to the following being uninterpretable: neo-allo-ocimene The following was not parseable: allo-ocimene
allo-ocimene,"InChI=1S/C10H16/c1-5-10(4)8-6-7-9(2)3/h5-8H,1-4H3/b8-6+,10-5+",5368821,,allo-ocimene is unparsable due to the following being uninterpretable: allo-ocimene The following was not parseable: cimene
(z)-beta-ocimene,"InChI=1S/C10H16/c1-5-10(4)8-6-7-9(2)3/h5,7-8H,1,6H2,2-4H3/b10-8-",5320250,"InChI=1/C10H16/c1-5-10(4)8-6-7-9(2)3/h5,7-8H,1,6H2,2-4H3/b10-8-",
cis-beta-ocimene,"InChI=1S/C10H16/c1-5-10(4)8-6-7-9(2)3/h5,7-8H,1,6H2,2-4H3/b10-8-",5320250,,"Could not find bond that: <stereoChemistry type=""cisOrTrans"" value=""cis"" subsequentUnsemanticToken=""-"">cis</stereoChemistry> could refer unambiguously to"
cis-ocimene,"InChI=1S/C10H16/c1-5-10(4)8-6-7-9(2)3/h5,7-8H,1,6H2,2-4H3/b10-8-",5320250,,cis-ocimene is unparsable due to the following being uninterpretable: cis-ocimene The following was not parseable: ocimene
(e)-beta-ocimene,"InChI=1S/C10H16/c1-5-10(4)8-6-7-9(2)3/h5,7-8H,1,6H2,2-4H3/b10-8+",5281553,"InChI=1/C10H16/c1-5-10(4)8-6-7-9(2)3/h5,7-8H,1,6H2,2-4H3/b10-8+",
trans-beta-ocimene,"InChI=1S/C10H16/c1-5-10(4)8-6-7-9(2)3/h5,7-8H,1,6H2,2-4H3/b10-8+",5281553,,"Could not find bond that: <stereoChemistry type=""cisOrTrans"" value=""trans"" subsequentUnsemanticToken=""-"">trans</stereoChemistry> could refer unambiguously to"
beta-myrcene,"InChI=1S/C10H16/c1-5-10(4)8-6-7-9(2)3/h5,7H,1,4,6,8H2,2-3H3",31253,"InChI=1/C10H16/c1-5-10(4)8-6-7-9(2)3/h5,7H,1,4,6,8H2,2-3H3",
myrcene,"InChI=1S/C10H16/c1-5-10(4)8-6-7-9(2)3/h5,7H,1,4,6,8H2,2-3H3",31253,,myrcene is unparsable due to the following being uninterpretable: myrcene The following was not parseable: myrcene
santolina triene,"InChI=1S/C10H16/c1-6-10(9(4)5)7-8(2)3/h6-7,10H,1,4H2,2-3,5H3",519872,,santolina triene is unparsable due to the following being uninterpretable: santolina triene The following was not parseable: santolina triene
alpha-pinene,"InChI=1S/C10H16/c1-7-4-5-8-6-9(7)10(8,2)3/h4,8-9H,5-6H2,1-3H3",6654,,Unable to assign all locants. This locant was not assigned: alpha
beta-pinene,"InChI=1S/C10H16/c1-7-4-5-8-6-9(7)10(8,2)3/h8-9H,1,4-6H2,2-3H3",14896,,Unable to assign all locants. This locant was not assigned: beta
3-carene,"InChI=1S/C10H16/c1-7-4-5-8-9(6-7)10(8,2)3/h4,8-9H,5-6H2,1-3H3",26049,"InChI=1/C10H16/c1-7-4-5-8-9(6-7)10(8,2)3/h4,8-9H,5-6H2,1-3H3",
delta-3-carene,"InChI=1S/C10H16/c1-7-4-5-8-9(6-7)10(8,2)3/h4,8-9H,5-6H2,1-3H3",26049,,Unable to assign all locants. This locant was not assigned: delta
alpha-fenchene,"InChI=1S/C10H16/c1-7-6-8-4-5-9(7)10(8,2)3/h8-9H,1,4-6H2,2-3H3",28930,,alpha-fenchene is unparsable due to the following being uninterpretable: alpha-fenchene The following was not parseable: fenchene
camphene,"InChI=1S/C10H16/c1-7-8-4-5-9(6-8)10(7,2)3/h8-9H,1,4-6H2,2-3H3",6616,"InChI=1/C10H16/c1-7-8-4-5-9(6-8)10(7,2)3/h8-9H,1,4-6H2,2-3H3",
thujene,"InChI=1S/C10H16/c1-7(2)10-5-4-8(3)9(10)6-10/h4-5,7-9H,6H2,1-3H3",520384,"InChI=1/C10H16/c1-7(2)10-5-4-8(3)9(10)6-10/h4-5,7-9H,6H2,1-3H3",
3-thujene,"InChI=1S/C10H16/c1-7(2)10-5-4-8(3)9(10)6-10/h4,7,9H,5-6H2,1-3H3",17868,"InChI=1/C10H16/c1-7(2)10-5-4-8(3)9(10)6-10/h4,7,9H,5-6H2,1-3H3",
alpha-thujene,"InChI=1S/C10H16/c1-7(2)10-5-4-8(3)9(10)6-10/h4,7,9H,5-6H2,1-3H3",17868,,Unable to assign all locants. This locant was not assigned: alpha
sabinene,"InChI=1S/C10H16/c1-7(2)10-5-4-8(3)9(10)6-10/h7,9H,3-6H2,1-2H3",18818,,sabinene is unparsable due to the following being uninterpretable: sabinene The following was not parseable: sabinene
alpha-phellandrene,"InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4-6,8,10H,7H2,1-3H3",7460,,alpha-phellandrene is unparsable due to the following being uninterpretable: alpha-phellandrene The following was not parseable: phellandrene
limonene,"InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4,10H,1,5-7H2,2-3H3",22311,,limonene is unparsable due to the following being uninterpretable: limonene The following was not parseable: imonene
beta-phellandrene,"InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4,6,8,10H,3,5,7H2,1-2H3",11142,,beta-phellandrene is unparsable due to the following being uninterpretable: beta-phellandrene The following was not parseable: phellandrene
alpha-terpinene,"InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4,6,8H,5,7H2,1-3H3",7462,,Disagreement between number of locants(alpha) and ring assembly multiplier: 3
isoterpinolene,"InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4,6,9H,5,7H2,1-3H3",102443,,isoterpinolene is unparsable due to the following being uninterpretable: isoterpinolene The following was not parseable: terpinolene
gamma-terpinene,"InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4,7-8H,5-6H2,1-3H3",7461,,Disagreement between number of locants(gamma) and ring assembly multiplier: 3
terpinolene,"InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4H,5-7H2,1-3H3",11463,,terpinolene is unparsable due to the following being uninterpretable: terpinolene The following was not parseable: olene
beta-terpinene,"InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h6,8H,3-5,7H2,1-2H3",66841,,Disagreement between number of locants(beta) and ring assembly multiplier: 3
tricyclene,"InChI=1S/C10H16/c1-9(2)6-4-7-8(5-6)10(7,9)3/h6-8H,4-5H2,1-3H3",79035,,tricyclene is unparsable due to the following being uninterpretable: tricyclene The following was not parseable: cyclene
myrtenol,"InChI=1S/C10H16O/c1-10(2)8-4-3-7(6-11)9(10)5-8/h3,8-9,11H,4-6H2,1-2H3",10582,,myrtenol is unparsable due to the following being uninterpretable: myrtenol The following was not parseable: myrtenol
(z)-myroxide,"InChI=1S/C10H16O/c1-5-8(2)6-7-9-10(3,4)11-9/h5-6,9H,1,7H2,2-4H3/b8-6-",14701631,,(z)-myroxide is unparsable due to the following being uninterpretable: (z)-myroxide The following was not parseable: myroxide
(z)-tagetone,"InChI=1S/C10H16O/c1-5-9(4)7-10(11)6-8(2)3/h5,7-8H,1,6H2,2-4H3/b9-7-",5368956,,(z)-tagetone is unparsable due to the following being uninterpretable: (z)-tagetone The following was not parseable: tagetone
artemisia ketone,"InChI=1S/C10H16O/c1-6-10(4,5)9(11)7-8(2)3/h6-7H,1H2,2-5H3",68346,,artemisia ketone is unparsable due to the following being uninterpretable: artemisia ketone The following was not parseable: artemisia ketone
cis-chrysanthenol,"InChI=1S/C10H16O/c1-6-4-5-7-9(11)8(6)10(7,2)3/h4,7-9,11H,5H2,1-3H3",527032,,cis-chrysanthenol is unparsable due to the following being uninterpretable: cis-chrysanthenol The following was not parseable: anthenol
trans-verbenol,"InChI=1S/C10H16O/c1-6-4-9(11)8-5-7(6)10(8,2)3/h4,7-9,11H,5H2,1-3H3",61126,,trans-verbenol is unparsable due to the following being uninterpretable: trans-verbenol The following was not parseable: verbenol
verbenol,"InChI=1S/C10H16O/c1-6-4-9(11)8-5-7(6)10(8,2)3/h4,7-9,11H,5H2,1-3H3",61126,,verbenol is unparsable due to the following being uninterpretable: verbenol The following was not parseable: verbenol
cis-verbenol,"InChI=1S/C10H16O/c1-6-4-9(11)8-5-7(6)10(8,2)3/h4,7-9,11H,5H2,1-3H3/t7-,8+,9-/m0/s1",87839,,cis-verbenol is unparsable due to the following being uninterpretable: cis-verbenol The following was not parseable: verbenol
pinocamphone,"InChI=1S/C10H16O/c1-6-8-4-7(5-9(6)11)10(8,2)3/h6-8H,4-5H2,1-3H3",11038,,pinocamphone is unparsable due to the following being uninterpretable: pinocamphone The following was not parseable: camphone
isopinocamphone,"InChI=1S/C10H16O/c1-6-8-4-7(5-9(6)11)10(8,2)3/h6-8H,4-5H2,1-3H3/t6-,7+,8-/m0/s1",84532,,isopinocamphone is unparsable due to the following being uninterpretable: isopinocamphone The following was not parseable: pinocamphone
trans-pinocarveol,"InChI=1S/C10H16O/c1-6-8-4-7(5-9(6)11)10(8,2)3/h7-9,11H,1,4-5H2,2-3H3",102667,,trans-pinocarveol is unparsable due to the following being uninterpretable: trans-pinocarveol The following was not parseable: carveol
alpha-thujone,"InChI=1S/C10H16O/c1-6(2)10-4-8(10)7(3)9(11)5-10/h6-8H,4-5H2,1-3H3/t7-,8-,10+/m1/s1",261491,,alpha-thujone is unparsable due to the following being uninterpretable: alpha-thujone The following was not parseable:
beta-thujone,"InChI=1S/C10H16O/c1-6(2)10-4-8(10)7(3)9(11)5-10/h6-8H,4-5H2,1-3H3/t7-,8+,10-/m0/s1",91456,,beta-thujone is unparsable due to the following being uninterpretable: beta-thujone The following was not parseable:
trans-thujone,"InChI=1S/C10H16O/c1-6(2)10-4-8(10)7(3)9(11)5-10/h6-8H,4-5H2,1-3H3/t7-,8+,10-/m0/s1",91456,,trans-thujone is unparsable due to the following being uninterpretable: trans-thujone The following was not parseable:
sabinol,"InChI=1S/C10H16O/c1-6(2)10-4-8(10)7(3)9(11)5-10/h6,8-9,11H,3-5H2,1-2H3",564260,,sabinol is unparsable due to the following being uninterpretable: sabinol The following was not parseable: sabinol
cis-sabinol,"InChI=1S/C10H16O/c1-6(2)10-4-8(10)7(3)9(11)5-10/h6,8-9,11H,3-5H2,1-2H3/t8-,9+,10+/m1/s1",12315160,,cis-sabinol is unparsable due to the following being uninterpretable: cis-sabinol The following was not parseable: sabinol
trans-sabinol,"InChI=1S/C10H16O/c1-6(2)10-4-8(10)7(3)9(11)5-10/h6,8-9,11H,3-5H2,1-2H3/t8?,9-,10+/m1/s1",6429076,,trans-sabinol is unparsable due to the following being uninterpretable: trans-sabinol The following was not parseable: sabinol
trans-chrysanthemal,"InChI=1S/C10H16O/c1-7(2)5-8-9(6-11)10(8,3)4/h5-6,8-9H,1-4H3",579152,,trans-chrysanthemal is unparsable due to the following being uninterpretable: trans-chrysanthemal The following was not parseable: anthemal
carveol,"InChI=1S/C10H16O/c1-7(2)9-5-4-8(3)10(11)6-9/h4,9-11H,1,5-6H2,2-3H3",7438,,carveol is unparsable due to the following being uninterpretable: carveol The following was not parseable: veol
cis-carveol,"InChI=1S/C10H16O/c1-7(2)9-5-4-8(3)10(11)6-9/h4,9-11H,1,5-6H2,2-3H3/t9-,10-/m1/s1",330573,,cis-carveol is unparsable due to the following being uninterpretable: cis-carveol The following was not parseable: veol
trans-carveol,"InChI=1S/C10H16O/c1-7(2)9-5-4-8(3)10(11)6-9/h4,9-11H,1,5-6H2,2-3H3/t9-,10+/m1/s1",94221,,trans-carveol is unparsable due to the following being uninterpretable: trans-carveol The following was not parseable: veol
cis-dihydrocarvone,"InChI=1S/C10H16O/c1-7(2)9-5-4-8(3)10(11)6-9/h8-9H,1,4-6H2,2-3H3",24473,,cis-dihydrocarvone is unparsable due to the following being uninterpretable: carvone The following was not parseable: vone
dihydrocarvone,"InChI=1S/C10H16O/c1-7(2)9-5-4-8(3)10(11)6-9/h8-9H,1,4-6H2,2-3H3",24473,,dihydrocarvone is unparsable due to the following being uninterpretable: carvone The following was not parseable: vone
trans-dihydrocarvone,"InChI=1S/C10H16O/c1-7(2)9-5-4-8(3)10(11)6-9/h8-9H,1,4-6H2,2-3H3/t8-,9+/m1/s1",443181,,trans-dihydrocarvone is unparsable due to the following being uninterpretable: carvone The following was not parseable: vone
piperitone,"InChI=1S/C10H16O/c1-7(2)9-5-4-8(3)6-10(9)11/h6-7,9H,4-5H2,1-3H3",6987,,piperitone is unparsable due to the following being uninterpretable: piperitone The following was not parseable: piperitone
pulegone,"InChI=1S/C10H16O/c1-7(2)9-5-4-8(3)6-10(9)11/h8H,4-6H2,1-3H3",6988,,pulegone is unparsable due to the following being uninterpretable: pulegone The following was not parseable: pulegone
alpha-campholenal,"InChI=1S/C10H16O/c1-8-4-5-9(6-7-11)10(8,2)3/h4,7,9H,5-6H2,1-3H3/t9-/m1/s1",1252759,,alpha-campholenal is unparsable due to the following being uninterpretable: alpha-campholenal The following was not parseable: nal
beta-cyclocitral,"InChI=1S/C10H16O/c1-8-5-4-6-10(2,3)9(8)7-11/h7H,4-6H2,1-3H3",9895,,beta-cyclocitral is unparsable due to the following being uninterpretable: beta-cyclocitral The following was not parseable: citral
perilla alcohol,"InChI=1S/C10H16O/c1-8(2)10-5-3-9(7-11)4-6-10/h3,10-11H,1,4-7H2,2H3",10819,,perilla alcohol is unparsable due to the following being uninterpretable: perilla alcohol The following was not parseable: perilla alcohol
phellandral,"InChI=1S/C10H16O/c1-8(2)10-5-3-9(7-11)4-6-10/h3,7-8,10H,4-6H2,1-2H3",89488,,phellandral is unparsable due to the following being uninterpretable: phellandral The following was not parseable: phellandral
limonene-4-ol,"InChI=1S/C10H16O/c1-8(2)10(11)6-4-9(3)5-7-10/h4,11H,1,5-7H2,2-3H3",527428,,limonene-4-ol is unparsable due to the following being uninterpretable: limonene-4-ol The following was not parseable: imonene-4-ol
nerol oxide,"InChI=1S/C10H16O/c1-8(2)6-10-7-9(3)4-5-11-10/h4,6,10H,5,7H2,1-3H3",61275,"InChI=1/C10H18O2/c1-8(2)5-4-6-10(3)9(7-11)12-10/h5,9,11H,4,6-7H2,1-3H3",
neral,"InChI=1S/C10H16O/c1-9(2)5-4-6-10(3)7-8-11/h5,7-8H,4,6H2,1-3H3/b10-7-",643779,"InChI=1/C10H16O/c1-9(2)5-4-6-10(3)7-8-11/h5,7-8H,4,6H2,1-3H3/b10-7-",
geranial,"InChI=1S/C10H16O/c1-9(2)5-4-6-10(3)7-8-11/h5,7-8H,4,6H2,1-3H3/b10-7+",638011,"InChI=1/C10H16O/c1-9(2)5-4-6-10(3)7-8-11/h5,7-8H,4,6H2,1-3H3/b10-7+",
fenchone,"InChI=1S/C10H16O/c1-9(2)7-4-5-10(3,6-7)8(9)11/h7H,4-6H2,1-3H3",14525,,fenchone is unparsable due to the following being uninterpretable: fenchone The following was not parseable: fenchone
camphor,"InChI=1S/C10H16O/c1-9(2)7-4-5-10(9,3)8(11)6-7/h7H,4-6H2,1-3H3",2537,"InChI=1/C10H16O/c1-9(2)7-4-5-10(9,3)8(11)6-7/h7H,4-6H2,1-3H3",
trans-piperitone oxide,"InChI=1S/C10H16O2/c1-6(2)7-4-5-10(3)9(12-10)8(7)11/h6-7,9H,4-5H2,1-3H3/t7-,9-,10+/m1/s1",6430800,,trans-piperitone oxide is unparsable due to the following being uninterpretable: trans-piperitone oxide The following was not parseable: piperitone oxide
6-hydroxycarvotanacetone,"InChI=1S/C10H16O2/c1-6(2)8-5-4-7(3)9(11)10(8)12/h4,6,8,10,12H,5H2,1-3H3",72993385,,6-hydroxycarvotanacetone is unparsable due to the following being uninterpretable: carvotanacetone The following was not parseable: votanacetone
p-menth-1-ene,"InChI=1S/C10H18/c1-8(2)10-6-4-9(3)5-7-10/h4,8,10H,5-7H2,1-3H3",21671,"InChI=1/C10H18/c1-8(2)10-6-4-9(3)5-7-10/h4,8,10H,5-7H2,1-3H3",
p-menth-3-ene,"InChI=1S/C10H18/c1-8(2)10-6-4-9(3)5-7-10/h6,8-9H,4-5,7H2,1-3H3",10369,"InChI=1/C10H18/c1-8(2)10-6-4-9(3)5-7-10/h6,8-9H,4-5,7H2,1-3H3",
o-menth-8-ene,"InChI=1S/C10H18/c1-8(2)10-7-5-4-6-9(10)3/h9-10H,1,4-7H2,2-3H3",519074,"InChI=1/C10H18/c1-8(2)10-7-5-4-6-9(10)3/h9-10H,1,4-7H2,2-3H3",
myrtanol,"InChI=1S/C10H18O/c1-10(2)8-4-3-7(6-11)9(10)5-8/h7-9,11H,3-6H2,1-2H3",521314,,myrtanol is unparsable due to the following being uninterpretable: myrtanol The following was not parseable: myrtanol
(e)-2-decenal,"InChI=1S/C10H18O/c1-2-3-4-5-6-7-8-9-10-11/h8-10H,2-7H2,1H3/b9-8+",5283345,"InChI=1/C10H18O/c1-2-3-4-5-6-7-8-9-10-11/h8-10H,2-7H2,1H3/b9-8+",
decenal,"InChI=1S/C10H18O/c1-2-3-4-5-6-7-8-9-10-11/h8-10H,2-7H2,1H3/b9-8+",5283345,"InChI=1/C10H18O/c1-2-3-4-5-6-7-8-9-10-11/h8-10H,2-7H2,1H3",
linalool,"InChI=1S/C10H18O/c1-5-10(4,11)8-6-7-9(2)3/h5,7,11H,1,6,8H2,2-4H3",6549,"InChI=1/C10H18O/c1-5-10(4,11)8-6-7-9(2)3/h5,7,11H,1,6,8H2,2-4H3",
l-linalool,"InChI=1S/C10H18O/c1-5-10(4,11)8-6-7-9(2)3/h5,7,11H,1,6,8H2,2-4H3/t10-/m0/s1",443158,,l-linalool is unparsable due to the following being uninterpretable: l-linalool The following was not parseable: linalool
myrcenol,"InChI=1S/C10H18O/c1-5-9(2)7-6-8-10(3,4)11/h5,11H,1-2,6-8H2,3-4H3",10975,,myrcenol is unparsable due to the following being uninterpretable: myrcenol The following was not parseable: myrcenol
dihydro tagetone,"InChI=1S/C10H18O/c1-5-9(4)7-10(11)6-8(2)3/h5,8-9H,1,6-7H2,2-4H3",102706,,dihydro tagetone is unparsable due to the following being uninterpretable: tagetone The following was not parseable: tagetone
artemisia alcohol,"InChI=1S/C10H18O/c1-6-10(4,5)9(11)7-8(2)3/h6-7,9,11H,1H2,2-5H3",100197,,artemisia alcohol is unparsable due to the following being uninterpretable: artemisia alcohol The following was not parseable: artemisia alcohol
yomogi alcohol,"InChI=1S/C10H18O/c1-6-9(2,3)7-8-10(4,5)11/h6-8,11H,1H2,2-5H3/b8-7+",5315406,,yomogi alcohol is unparsable due to the following being uninterpretable: yomogi alcohol The following was not parseable: yomogi alcohol
