id,original_names,clean_name,PubChem_lookup,CID
C842,"(e)-1-(3',4'-dimethoxyphenyl)butadiene","(E)-1-(3',4'-dimethoxyphenyl)butadiene","(E)-1-(3',4'-Dimethoxyphenyl)Butadiene",11528492
C843,(e)-1-butenylcyclopentane,(E)-1-butenylcyclopentane,(1E)-1-Butenylcyclopentane ,5365707
C844,(e)-1-eicosene,(E)-1-eicosene,1-EICOSENE,18936
C845,(e)-1-phenyl propyl tetrasulfide,(E)-1-phenyl propyl tetrasulfide,,
C3,(e)-1-propenyl methyl trisulfide,(E)-1-propenyl methyl trisulfide,Methyl 1-Propenyl Trisulfide,5352690
C847,(e)-1-propenyl propyl pentasulfide,(E)-1-propenyl propyl pentasulfide,Propyl Cis-1-Propenyl Pentasulfide,6429314
C848,(e)-1-propenyl propyl tetrasulfide,(E)-1-propenyl propyl tetrasulfide, Propyl (E)-1-Propenyl Tetrasulfide,5352692
C851,(e)-1-propenyl trisulfide,(E)-1-propenyl trisulfide,,
C852,(e)-1-propenylsec-butyl disulfide,(E)-1-propenylsec-butyl disulfide,,
C853,"(e)-1,1-diethoxyhex-2-ene","(E)-1,1-diethoxyhex-2-ene","(E)-1,1-Diethoxyhex-2-Ene",5365137
C854,"(e)-1,2-hexenylbutyrate","(E)-1,2-hexenylbutyrate",,
C855,(e)-12-norcaryophyll-5-en-2-one,(E)-12-norcaryophyll-5-en-2-one,( E)-12-Norcaryophyll-5-En-2-One,6857764
C856,(e)-14-hydroxy-9-epi-caryophyllene,(E)-14-hydroxy-9-epi-caryophyllene,14-Hydroxy-9-Epi-Caryophyllene,12300118
C6,(E)-2-caren-4-ol,(E)-2-caren-4-ol,E-2-Caren-4-Ol,520984
C7,(e)-2-decanal,(E)-2-decanal,,
C858,(e)-2-decanol,(E)-2-decanol,2-DECANOL,14254
C860,(e)-2-dodecanal,(E)-2-dodecanal,,
C863,(e)-2-dodecenyl acetate,(E)-2-dodecenyl acetate, 2-Dodecenyl acetate,6441593
C864,(e)-2-ethylhexyl-methoxycinnamate,(E)-2-ethylhexyl-methoxycinnamate,,
C865,(e)-2-heptanal,(E)-2-heptanal,,
C867,(e)-2-hexanal,(E)-2-hexanal,E-2-hexanal,6184
C868,(e)-2-hexanol,(E)-2-hexanol,2-Hexanol,12297
C873,(e)-2-hexyl-cinnamaldehyde,(E)-2-hexyl-cinnamaldehyde,,
C13,(e)-2-hexyl butyrate,(E)-2-hexyl butyrate,,
C874,(e)-2-lachnophyllumester,(E)-2-lachnophyllumester,cis-Lachnophyllum ester,642290
C878,(e)-2-methyl-3-octen-5-yne,(E)-2-methyl-3-octen-5-yne,,
C887,(e)-2-pentenylfuran,(E)-2-pentenylfuran,,
C888,(e)-2-tetradecanal,(E)-2-tetradecanal,,
C890,(e)-2-tetradecenol,(E)-2-tetradecenol,Trans-2-Tetradecenol,
C891,(e)-2-undecanal,(E)-2-undecanal,,
C893,(e)-2-undecenol,(E)-2-undecenol,,
C4,"(e)-2,(z)-6-decadienal","(E)-2,(Z)-6-decadienal",,
C5,"(e)-2,2-decenal","(E)-2,2-decenal",,
C894,(e)-3-butylidene phthalide,(E)-3-butylidene phthalide,3-Butylidenephthalide,5352899 
C895,(e)-3-butylidenephthalide-ms,(E)-3-butylidenephthalide-ms, (E)-3-Butylidenephthalide,5352899
C896,"(e)-3-ethyl-1,5-octadiene","(E)-3-ethyl-1,5-octadiene","3-Ethyl-1,5-Octadiene",5353002
C898,(e)-3-hexanoic acid,(E)-3-hexanoic acid,,
C899,(e)-3-hexanol,(E)-3-hexanol,3-HEXANOL,12178  
C900,(e)-3-hexenal,(E)-3-hexenal,(E)-Hex-3-Enal,643139
C902,(e)-3-hexenyl isovalerate,(E)-3-hexenyl isovalerate,Cis-3-Hexenyl Isovalerate,5367681  
C905,(e)-3-octenol,(E)-3-octenol,(E)-3-Octen-1-Ol, 5364475 
C908,(e)-3(10)-caren-2-ol,(E)-3(10)-caren-2-ol,Trans-3(10)-Caren-2-Ol,572861  
C909,"(e)-3,5-nonadiyne-7-ene","(E)-3,5-nonadiyne-7-ene",,
C910,"(e)-3,7-dimethyl-2,7-octadien-1,6-diol","(E)-3,7-dimethyl-2,7-octadien-1,6-diol","(E)-3,7-Dimethylocta-1,6-Diene-3,8-Diol",5280678
C913,"(e)-4,8-dimethyl-1,3,7-nonatriene","(E)-4,8-dimethyl-1,3,7-nonatriene","(E)-4,8-Dimethyl-1,3,7-Nonatriene",6427110 
C915,(e)-9-eicosene,(E)-9-eicosene,9-Eicosene,5365037
C916,(e)-9-epi-caryophyllene,(E)-9-epi-caryophyllene,,
C929,(e)-apritone,(E)-apritone,Apritone,6437428
C931,(e)-b-ocimene,(E)-b-ocimene,,
C948,(e)-beta ocimene,(E)-beta ocimene,(E)-Beta-Ocimene, 5281553  
C949,(e)-bisabol-11-ol,(E)-bisabol-11-ol,(Z)-Bisabol-11-Ol,91750291 
C950,(e)-butylidenephthalide,(E)-butylidenephthalide,E-Butylidenephthalide,642376
C951,"(e)-cadina-1(2),4-diene","(E)-cadina-1(2),4-diene","Cadina-1(2),4-Diene",6427091
C952,"(e)-cadina-1(6),4-diene","(E)-cadina-1(6),4-diene","Trans-Cadina-1(6),4-Diene",10798255
C953,(e)-cadinene,(E)-cadinene,,
C954,(e)-camphenone,(E)-camphenone,6-Camphenone,14088350
C955,(e)-cariophylene,(E)-cariophylene,,
