"","clean_name","original_name","Compound_identifier","cid"
"49","(+)-beta-fenebrene","(+)-beta-fenebrene","C788",NA
"50","(+)-beta-pinene","(+)-beta-pinene","C789",10290825
"51","(+)-isoiridemyrmecin","(+)-isoiridemyrmecin","C790",NA
"52","(+)-ledene","(+)-ledene","C791",10910653
"53","(+)-limonene","(+)-limonene","C792",440917
"54","(+)-linalool","(+)-linalool","C793",67179
"55","(+)-sabinene","(+)sabinene","C794",10887971
"56","(+)-terpinen-4-ol","(+)terpinen-4-ol","C795",2724161
"57","(11,13)labdadien-8-ol","(11,13)labdadien-8-ol","C796",NA
"58","(1r,3s)-cembra-4,7,11,15-tetraen-3-ol","(1r,3s)-cembra-4,7,11,15-tetraen-3-ol","C797",NA
"59","(1s)(-)-camphor","(1s)(-)-camphor","C798",NA
"60","(2)-3-hexenylacetate","(2)-3-hexenylacetate","C799",NA
"61","(2)-3-hexenylbenzoate","(2)-3-hexenylbenzoate","C800",NA
"62","(2)-4-octenyloctanoate","(2)-4-octenyloctanoate","C801",NA
"63","(2,4)-nonadienal","(2,4)-nonadienal","C1",NA
"64","(22)-(6e)-farnesol","(22)-(6e)-farnesol","C802",NA
"65","(2E-)-methyl-3-octen-5-yne","(2e-)-methyl-3-octen-5-yne","C803",NA
"66","(2E)-decen-1-ol","(2E)-decen-1-ol","C804",NA
"67","(2E)-octen-1-ol","(2E)-octen-1-ol","C2",NA
"68","(2E)-undecenol","(2E)-undecenol","C805",NA
"69","(2E,6E)-farnesal","(2E,6E)-farnesal","C806",NA
"70","(2E,6E)-farnesyl acetate","(2E,6E)-farnesyl acetate","C807",NA
"71","(2E,6Z)-farnesal","(2E,6Z)-farnesal","C809",NA
"72","(2E,6Z)-farnesol","(2E,6Z)- farnesol","C808",NA
"73","(2E,6Z)-farnesol","(2E,6Z)-farnesol","C810",NA
"74","(2r,5e)-caryophyll-5-en-12-al","(2r,5e)-caryophyll-5-en-12-al","C811",NA
"75","(2r,5s)-caryophyll-5-en-12-al","(2r,5s)-caryophyll-5-en-12-al","C812",NA
"76","(2s,5e)-caryophyll-5-en-12-al","(2s,5e)-caryophyll-5-en-12-al","C813",NA
"77","(2s,5r,9r)-1(12),8(15)-caryophyladiene-9alpha-ol","(2s,5r,9r)-1(12),8(15)-caryophyladiene-9alpha-ol","C814",NA
"78","(2Z)-nonenol","(2Z)-nonenol","C815",NA
"79","(2Z,6E)-farnensal","(2Z,6E)-farnensal","C816",NA
"80","(2Z,6E)-farnesol","(2Z,6E)-farnesol","C817",NA
"81","(2Z,6E)-farnesyl acetate","(2Z,6E)-farnesyl acetate","C818",NA
"82","(2Z,6Z)-farnesol","(2Z,6Z)-farnesol","C819",NA
"83","(3E)-hexenyl acetate","(3E)-hexenyl acetate","C820",5352557
"84","(3epsilon)-cembrene a","(3epsilon)-cembrene a","C821",NA
"85","(3Z)-butylidene phthalide","(3Z)-butylidene phthalide","C822",NA
"86","(3Z)-cembrene a","(3Z)-cembrene a","C823",NA
"87","(3Z)-hexenol","(3Z)-hexenol","C824",10057450
"88","(3Z)-hexenyl-2-methylbutanoate","(3Z)-hexenyl-2-methylbutanoate","C825",NA
"89","(3Z)-hexenyl-3-methylbutanoate","(3Z)-hexenyl-3-methylbutanoate","C826",NA
"90","(4s,5s)-germacrone-4,5-epoxide","(4s,5s)-germacrone-4,5-epoxide","C827",NA
"91","(4Z)-decenal","(4Z)-decenal","C828",NA
"92","(4Z)-heptenal","(4Z)-heptenal","C829",NA
"93","(4Z)-hexenol","(4Z)-hexenol","C830",NA
"94","(5.9-10)-kaur-15-ene","(5.9-10)-kaur-15-ene","C831",NA
"95","(E)-1-(3',4'-dimethoxy phenyl)but-1-ene","(e)-1-(3',4'-dimethoxy phenyl)but-1-ene","C841",NA
"96","(E)-1-(3',4'-dimethoxyphenyl)butadiene","(e)-1-(3',4'-dimethoxyphenyl)butadiene","C842",NA
"97","(E)-1-butenylcyclopentane","(e)-1-butenylcyclopentane","C843",NA
"98","(E)-1-eicosene","(e)-1-eicosene","C844",NA
"99","(E)-1-phenyl propyl tetrasulfide","(e)-1-phenyl propyl tetrasulfide","C845",NA
"100","(E)-1-propenyl methyl trisulfide","(e)-1-propenyl methyl trisulfide","C3",NA
"101","(E)-1-propenyl propyl disulfide","(e)-1-propenyl propyl disulfide","C846",5320722
"102","(E)-1-propenyl propyl pentasulfide","(e)-1-propenyl propyl pentasulfide","C847",NA
"103","(E)-1-propenyl propyl tetrasulfide","(e)-1-propenyl propyl tetrasulfide","C848",NA
"104","(E)-1-propenyl propyl trisulfide","(e)-1-propenyl propyl trisulfide","C849",5352693
"105","(E)-1-propenyl sec-butyl disulfide","(e)-1-propenyl sec-butyl disulfide","C850",91704044
"106","(E)-1-propenyl trisulfide","(e)-1-propenyl trisulfide","C851",NA
"107","(E)-1-propenylsec-butyl disulfide","(e)-1-propenylsec-butyl disulfide","C852",NA
"108","(E)-1,1-diethoxyhex-2-ene","(e)-1,1-diethoxyhex-2-ene","C853",NA
"109","(E)-1,2-hexenylbutyrate","(e)-1,2-hexenylbutyrate","C854",NA
"110","(E)-12-norcaryophyll-5-en-2-one","(e)-12-norcaryophyll-5-en-2-one","C855",NA
"111","(E)-14-hydroxy-9-epi-caryophyllene","(e)-14-hydroxy-9-epi-caryophyllene","C856",NA
"112","(E)-2-butenal","(e)-2-butenal","C857",447466
"113","(E)-2-caren-4-ol","(e)-2-caren-4-ol","C6",NA
"114","(E)-2-decanal","(e)-2-decanal","C7",NA
"115","(E)-2-decanol","(e)-2-decanol","C858",NA
"116","(E)-2-decenal","(e)-2-decenal","C8",5283345
"117","(E)-2-decenol","(e)-2-decenol","C9",5364942
"118","(E)-2-decenyl acetate","(e)-2-decenyl acetate","C859",5363207
"119","(E)-2-dodecanal","(e)-2-dodecanal","C860",NA
"120","(E)-2-dodecenal","(e)-2-dodecenal","C861",5283361
"121","(E)-2-dodecenol","(e)-2-dodecenol","C862",5352845
"122","(E)-2-dodecenyl acetate","(e)-2-dodecenyl acetate","C863",NA
"123","(E)-2-ethylhexyl-methoxycinnamate","(e)-2-ethylhexyl-methoxycinnamate","C864",NA
"124","(E)-2-heptanal","(e)-2-heptanal","C865",NA
"125","(E)-2-heptenal","(e)-2-heptenal","C10",5283316
"126","(E)-2-hexadecenal","(e)-2-hexadecenal","C866",5280541
"127","(E)-2-hexanal","(e)-2-hexanal","C867",NA
"128","(E)-2-hexanol","(e)-2-hexanol","C868",NA
"129","(E)-2-hexen-1-ol","(e)-2-hexen-1-ol","C869",5318042
"130","(E)-2-hexenal","(e)-2-hexenal","C11",5281168
"131","(E)-2-hexenoic acid","(e)-2-hexenoic acid","C870",5282707
"132","(E)-2-hexenol","(e)-2-hexenol","C12",5318042
"133","(E)-2-hexenyl benzoate","(e)-2-hexenyl benzoate","C871",5352456
"134","(E)-2-hexenyl isobutyrate","(e)-2-hexenyl isobutyrate","C872",5352462
"135","(E)-2-hexyl-cinnamaldehyde","(e)-2-hexyl-cinnamaldehyde","C873",NA
"136","(E)-2-hexyl butyrate","(e)-2-hexyl butyrate","C13",NA
"137","(E)-2-lachnophyllumester","(e)-2-lachnophyllumester","C874",NA
"138","(E)-2-methyl-2-butenyl angelate","(e)-2-methyl-2-butenyl angelate","C875",14446957
"139","(E)-2-methyl-2-butenyl isobutyrate","(e)-2-methyl-2-butenyl isobutyrate","C876",91691590
"140","(E)-2-methyl-2-butenyl methacrylate","(e)-2-methyl-2-butenyl methacrylate","C877",88242027
"141","(E)-2-methyl-3-octen-5-yne","(e)-2-methyl-3-octen-5-yne","C878",NA
"142","(E)-2-nonen-1-ol","(e)-2-nonen-1-ol","C879",5364941
"143","(E)-2-nonenal","(e)-2-nonenal","C14",5283335
"144","(E)-2-nonenoic acid","(e)-2-nonenoic acid","C880",5312586
"145","(E)-2-octenal","(e)-2-octenal","C881",5283324
"146","(E)-2-octenoic acid","(e)-2-octenoic acid","C882",5282714
"147","(E)-2-octenyl acetate","(e)-2-octenyl acetate","C883",5463875
"148","(E)-2-pentadecenal","(e)-2-pentadecenal","C884",6428898
"149","(E)-2-pentenal","(e)-2-pentenal","C885",5364752
"150","(E)-2-pentenol","(e)-2-pentenol","C886",5364920
"151","(E)-2-pentenylfuran","(e)-2-pentenylfuran","C887",NA
"152","(E)-2-tetradecanal","(e)-2-tetradecanal","C888",NA
"153","(E)-2-tetradecenal","(e)-2-tetradecenal","C889",5283366
"154","(E)-2-tetradecenol","(e)-2-tetradecenol","C890",NA
"155","(E)-2-tridecenal","(e)-2-tridecenal","C15",5283363
"156","(E)-2-undecanal","(e)-2-undecanal","C891",NA
"157","(E)-2-undecenal","(e)-2-undecenal","C892",5283356
"158","(E)-2-undecenol","(e)-2-undecenol","C893",NA
"159","(E)-2,(Z)-6-decadienal","(e)-2,(z)-6-decadienal","C4",NA
"160","(E)-2,2-decenal","(e)-2,2-decenal","C5",NA
"161","(E)-3-butylidene phthalide","(e)-3-butylidene phthalide","C894",NA
"162","(E)-3-butylidenephthalide-ms","(e)-3-butylidenephthalide-ms","C895",NA
"163","(E)-3-ethyl-1,5-octadiene","(e)-3-ethyl-1,5-octadiene","C896",NA
"164","(E)-3-hepten-2-one","(e)-3-hepten-2-one","C897",5364578
"165","(E)-3-hexanoic acid","(e)-3-hexanoic acid","C898",NA
"166","(E)-3-hexanol","(e)-3-hexanol","C899",NA
"167","(E)-3-hexenal","(e)-3-hexenal","C900",NA
"168","(E)-3-hexenol","(e)-3-hexenol","C16",5281167
"169","(E)-3-hexenyl acetate","(e)-3-hexenyl acetate","C901",5352557
"170","(E)-3-hexenyl isovalerate","(e)-3-hexenyl isovalerate","C902",NA
"171","(E)-3-nonene","(e)-3-nonene","C903",5364453
"172","(E)-3-octen-2-one","(e)-3-octen-2-one","C904",5363229
"173","(E)-3-octenol","(e)-3-octenol","C905",NA
"174","(E)-3-octenyl acetate","(e)-3-octenyl acetate","C906",5363205
"175","(E)-3-penten-2-one","(e)-3-penten-2-one","C907",637920
"176","(E)-3(10)-caren-2-ol","(e)-3(10)-caren-2-ol","C908",NA
"177","(E)-3,5-nonadiyne-7-ene","(e)-3,5-nonadiyne-7-ene","C909",NA
"178","(E)-3,7-dimethyl-2,7-octadien-1,6-diol","(e)-3,7-dimethyl-2,7-octadien-1,6-diol","C910",NA
"179","(E)-4-decenal","(e)-4-decenal","C911",5702654
"180","(E)-4-hepten-2-ol","(e)-4-hepten-2-ol","C912",5352825
"181","(E)-4,8-dimethyl-1,3,7-nonatriene","(e)-4,8-dimethyl-1,3,7-nonatriene","C913",NA
"182","(E)-6-nonenol","(e)-6-nonenol","C914",5362811
"183","(E)-9-eicosene","(e)-9-eicosene","C915",NA
"184","(E)-9-epi-caryophyllene","(e)-9-epi-caryophyllene","C916",NA
"185","(E)-9-hexadecenoic acid","(e)-9-hexadecenoic acid","C917",5282745
"186","(E)-alpha-atlantone","(e)-alpha-atlantone","C918",NA
"187","(E)-alpha-bergamotene","(e)-alpha-bergamotene","C919",6429302
"188","(E)-alpha-bisabolene","(e)-alpha-bisabolene","C17",5315468
"189","(E)-alpha-cadinol","(e)-alpha-cadinol","C920",NA
"190","(E)-alpha-damascenone","(e)-alpha-damascenone","C921",NA
"191","(E)-alpha-decenal","(e)-alpha-decenal","C922",NA
"192","(E)-alpha-farnesene","(e)-alpha-farnesene","C923",5281516
"193","(E)-alpha-ionone","(e)-alpha-ionone","C18",5282108
"194","(E)-alpha-isomethyl-ionol acetate","(e)-alpha-isomethyl-ionol acetate","C924",NA
"195","(E)-alpha-ocimene","(e)-alpha-ocimene","C925",5320249
"196","(E)-alpha-trans-bergamotol","(e)-alpha-trans-bergamotol","C926",NA
"197","(E)-anethol","(e)-anethol","C927",637563
"198","(E)-anethole","(e)-anethole","C19",637563
"199","(E)-anethole + bornyl acetate","(E)-anethole + bornyl acetate","C928",NA
"200","(E)-anethole+bornyl acetate","(e)-anethole+bornyl acetate","C20",NA
"201","(E)-apritone","(e)-apritone","C929",NA
"202","(E)-asarone","(e)-asarone","C930",636822
"203","(E)-b-ocimene","(e)-b-ocimene","C931",NA
"204","(E)-beta-amascenone","(e)-beta-amascenone","C934",NA
"205","(E)-beta-begamotene","(e)-beta-begamotene","C935",NA
"206","(E)-beta-bisabolene","(e)-beta-bisabolene","C936",NA
"207","(E)-beta-caryophyllene","(e)-beta-caryophyllene","C937",5281515
"208","(E)-beta-damascenone","(e)-beta-damascenone","C938",5366074
"209","(E)-beta-damascone","(e)-beta-damascone","C939",5374527
"210","(E)-beta-elemenone","(e)-beta-elemenone","C940",NA
"211","(E)-beta-famesene","(e)-beta-famesene","C941",NA
"212","(E)-beta-farnesene","(e)-beta-farnesene","C22",5281517
"213","(E)-beta-farnesene epoxide((E)-(5,9-dimethyl-1-methylene-4,8-decadienyl)-oxirane)","(e)-beta-farnesene epoxide((e)-(5,9-dimethyl-1-methylene-4,8-decadienyl)-oxirane)","C942",NA
"214","(E)-beta-guaiene","(e)-beta-guaiene","C943",NA
"215","(E)-beta-ionone","(e)-beta-ionone","C23",638014
"216","(E)-beta-ionone+6-methyl-gamma-(E)-ionone","(e)-beta-ionone+6-methyl-gamma-(e)-ionone","C944",NA
"217","(E)-beta-ionone+beta-selinene","(e)-beta-ionone+beta-selinene","C945",NA
"218","(E)-beta-ocimene","(E)-beta--ocimene","C932",5281553
"219","(E)-beta-ocimene","(E)-beta--ocimene","C932",5281553
"220","(E)-beta-ocimene","(E)-beta--ocimene","C932",5281553
"221","(E)-beta-ocimene","(e)-beta- ocimene","C21",5281553
"222","(E)-beta-ocimene","(e)-beta- ocimene","C21",5281553
"223","(E)-beta-ocimene","(e)-beta- ocimene","C21",5281553
"224","(E)-beta-ocimene","(e)-beta-ocimene","C24",5281553
"225","(E)-beta-ocimene","(e)-beta-ocimene","C24",5281553
"226","(E)-beta-ocimene","(e)-beta-ocimene","C24",5281553
"227","(E)-beta-ocimene epoxide","(e)-beta-ocimene epoxide","C946",6538431
"228","(E)-beta-santalol","(e)-beta-santalol","C947",6450269
"229","(E)-beta-terpineol","(e)-beta- terpineol","C933",8748
"230","(E)-beta-terpineol","(e)-beta- terpineol","C933",8748
"231","(E)-beta-terpineol","(e)-beta-terpineol","C25",8748
"232","(E)-beta-terpineol","(e)-beta-terpineol","C25",8748
"233","(E)-beta ocimene","(e)-beta ocimene","C948",NA
"234","(E)-bisabol-11-ol","(e)-bisabol-11-ol","C949",NA
"235","(E)-butylidenephthalide","(e)-butylidenephthalide","C950",NA
"236","(E)-cadina-1(2),4-diene","(e)-cadina-1(2),4-diene","C951",NA
"237","(E)-cadina-1(6),4-diene","(e)-cadina-1(6),4-diene","C952",NA
"238","(E)-cadinene","(e)-cadinene","C953",NA
"239","(E)-camphenone","(e)-camphenone","C954",NA
"240","(E)-cariophylene","(e)-cariophylene","C955",NA
"241","(E)-carveol","(e)-carveol","C956",94221
"242","(E)-caryophyllene","(e)-caryophyllene","C26",5281515
"243","(E)-caryophyllene oxide","(e)-caryophyllene oxide","C957",NA
"244","(E)-chrysanthenol","(e)-chrysanthenol","C958",NA
"245","(E)-cinnamaldehyde","(e)-cinnamaldehyde","C27",637511
"246","(E)-cinnamic acid","(e)-cinnamic acid","C959",444539
"247","(E)-cinnamic alcohol","(e)-cinnamic alcohol","C960",NA
"248","(E)-cinnamic aldehyde","(e)-cinnamic aldehyde","C961",637511
"249","(E)-cinnamyl acetate","(e)-cinnamyl acetate","C28",5282110
"250","(E)-cinnamyl alcohol","(e)-cinnamyl alcohol","C962",5315892
"251","(E)-cinnamyl butyrate","(e)-cinnamyl butyrate","C963",NA
"252","(E)-cinnamyl hexanoate","(e)-cinnamyl hexanoate","C964",NA
"253","(E)-cinnamyl isovalerate","(e)-cinnamyl isovalerate","C965",NA
"254","(E)-cinnamyl valerate","(e)-cinnamyl valerate","C29",NA
"255","(E)-citral","(e)-citral","C966",638011
"256","(E)-citronellyl tiglate","(e)-citronellyl tiglate","C30",6386037
"257","(E)-delta-farnesene","(e)-delta-farnesene","C967",NA
"258","(E)-delta-ocimene","(e)-delta-ocimene","C968",NA
"259","(E)-diidro-apofarnesol","(e)-diidro-apofarnesol","C969",NA
"260","(E)-ectocarpene c","(e)-ectocarpene c","C970",NA
"261","(E)-ethyl cinnamate","(e)-ethyl cinnamate","C971",637758
"262","(E)-farnesene","(e)-farnesene","C972",NA
"263","(E)-farnesol","(e)-farnesol","C973",445070
"264","(E)-foeniculin","(e)-foeniculin","C31",NA
"265","(E)-gamma-atlantone","(e)-gamma-atlantone","C974",NA
"266","(E)-gamma-bisabolene","(e)-gamma-bisabolene","C32",5352437
"267","(E)-gamma-curcumen-12-ol+n.i.","(e)-gamma-curcumen-12-ol+n.i.","C975",NA
"268","(E)-geranic acid","(E)-geranic acid","C976",NA
"269","(E)-geraniol","(e)-geraniol","C977",637566
"270","(E)-geranyl acetate","(e)-geranyl acetate","C978",NA
"271","(E)-geranyl acetone","(e)-geranyl acetone","C33",1713001
"272","(E)-geranylacetone","(e)-geranylacetone","C979",1713001
"273","(E)-hept-2-enal","(e)-hept-2-enal","C980",5283316
"274","(E)-hex-2-enal","(e)-hex-2-enal","C981",5281168
"275","(E)-hexenal","(e)-hexenal","C982",NA
"276","(E)-hexenol","(e)-hexenol","C983",NA
"277","(E)-ionone","(e)--ionone","C838",NA
"278","(E)-ionone","(e)-ionone","C984",NA
"279","(E)-isoamyl cinnamate","(e)-isoamyl cinnamate","C985",NA
"280","(E)-isocitral","(e)-isocitral","C986",NA
"281","(E)-isodillapiole","(e)-isodillapiole","C987",NA
"282","(E)-isoelemicin","(e)-isoelemicin","C988",5318557
"283","(E)-isoeugenol","(e)-isoeugenol","C989",853433
"284","(E)-isoeugenol acetate","(e)-isoeugenol acetate","C990",NA
"285","(E)-isoeugenyl acetate","(e)-isoeugenyl acetate","C991",876160
"286","(E)-isolimonene","(e)-isolimonene","C992",NA
"287","(E)-isomyristicin","(e)-isomyristicin","C993",6436484
"288","(E)-isosafrol","(e)-isosafrol","C994",NA
"289","(E)-jasmolactone","(e)-jasmolactone","C995",NA
"290","(E)-jasmone","(e)-jasmone","C996",1549019
"291","(E)-jasmonyl acetate","(e)-jasmonyl acetate","C997",NA
"292","(E)-labda-8(17),12-diene-15-ol-16-al","(e)-labda-8(17),12-diene-15-ol-16-al","C998",NA
"293","(E)-labda-8(17),12-diene-15,16-dial","(e)-labda-8(17),12-diene-15,16-dial","C999",NA
"294","(E)-lachnophyllol acetate","(e)-lachnophyllol acetate","C1000",NA
"295","(E)-lanceol","(e)-lanceol","C1001",NA
"296","(E)-lanceol acetate","(e)-lanceol acetate","C1002",NA
"297","(E)-ligustilide","(e)-ligustilide","C34",5877292
"298","(E)-ligustilide-ms","(e)-ligustilide-ms","C1003",NA
"299","(E)-linalool oxide","(e)-linalool oxide","C1004",6432254
"300","(E)-linalool oxide","(e)-linalool oxide","C1004",6432254
"301","(E)-linalool oxide","(e)-linaloolÂ oxide","C1007",6432254
"302","(E)-linalool oxide","(e)-linaloolÂ oxide","C1007",6432254
"303","(E)-linalool oxide (furanoid)","(e)-linalool oxide (furanoid)","C1005",NA
"304","(E)-linalool oxide (pyranoid)","(e)-linalool oxide (pyranoid)","C1006",6427788
"305","(E)-methyl cinnamate","(e)-methyl cinnamate","C35",637520
"306","(E)-methyl isoeugenol","(e)-methyl isoeugenol","C36",637776
"307","(E)-myroxide","(e)-myroxide","C1008",6538431
"308","(E)-myroxyde","(e)-myroxyde","C1009",NA
"309","(E)-nerolidiol","(e)-nerolidiol","C1010",NA
"310","(E)-nerolido","(e)-nerolido","C1011",NA
"311","(E)-nerolidol","(e)-nerolidol","C37",5284507
"312","(E)-nerolidol","(e)-nerolidol","C37",5284507
"313","(E)-nerolidol","(e)- nerolidol","C840",5284507
"314","(E)-nerolidol","(e)- nerolidol","C840",5284507
"315","(E)-nerolidol acetate","(e)-nerolidol acetate","C38",NA
"316","(E)-nerolidol+ledol","(e)-nerolidol+ledol","C1012",NA
"317","(E)-nerolidyl acetate","(e)-nerolidyl acetate","C1013",5363426
"318","(E)-nonadecene","(e)-nonadecene","C1014",NA
"319","(E)-nuciferal","(e)-nuciferal","C1015",6429176
"320","(E)-nuciferol","(e)-nuciferol","C39",6429177
"321","(E)-nuciferyl acetate","(e)-nuciferyl acetate","C1016",6428427
"322","(E)-nuciferyl formate","(e)-nuciferyl formate","C1017",6429178
"323","(E)-ocimene","(e)-ocimene","C1018",5281553
"324","(E)-ocimene","(e)-ocimene","C1018",5281553
"325","(E)-ocimene","(e)--ocimene","C839",5281553
"326","(E)-ocimene","(e)--ocimene","C839",5281553
"327","(E)-oct-3-enal","(e)-oct-3-enal","C1019",5283325
"328","(E)-oleic acid","(e)-oleic acid","C1020",637517
"329","(E)-p-farnesene","(e)-p-farnesene","C1021",NA
"330","(E)-p-hexenal diethyl acetal","(e)-p-hexenal diethyl acetal","C1022",NA
"331","(E)-p-menth-2-en-1-ol","(e)-p-menth-2-en-1-ol","C40",122484
"332","(E)-p-menth-2-en-7-ol","(e)-p-menth-2-en-7-ol","C1023",NA
"333","(E)-p-ocimene","(e)-p-ocimene","C1024",NA
"334","(E)-palmitoleic acid","(e)-palmitoleic acid","C1025",5282745
"335","(E)-phytol","(e)-phytol","C1026",5280435
"336","(E)-pinane","(e)-pinane","C1027",NA
"337","(E)-pinene","(e)-pinene","C1028",NA
"338","(E)-pinocamphone","(e)-pinocamphone","C1029",11038
"339","(E)-psclmene","(e)-psclmene","C1030",NA
"340","(E)-q-tetradecenal","(e)-q-tetradecenal","C1031",NA
"341","(E)-rose oxide","(e)-roseÂ oxide","C1032",7093102
"342","(E)-sabinene hydrate","(e)-sabinene hydrate","C1033",NA
"343","(E)-sabinene hydrate","(e)-sabineneÂ hydrate","C1034",NA
"344","(E)-salvene","(e)-salvene","C1035",6429324
"345","(E)-sesquilavandulol","(e)-sesquilavandulol","C41",5352145
"346","(E)-sesquilavandulylacetate","(e)-sesquilavandulylacetate","C42",NA
"347","(E)-sesquisabinene hydrate","(E)-sesquisabinene hydrate","C1036",20055539
"348","(E)-sesquithujen-12-al","(e)-sesquithujen-12-al","C1037",91747475
"349","(E)-sesquithujen-12-ol","(e)-sesquithujen-12-ol","C1038",NA
"350","(E)-sesquithujene-12-ol","(e)-sesquithujene-12-ol","C1039",91747204
"351","(E)-tagetenone","(e)-tagetenone","C43",6428431
"352","(E)-theaspirane","(e)-theaspirane","C44",NA
"353","(E)-thujone","(e)-thujone","C1040",6432452
"354","(E)-thujopsene","(e)-thujopsene","C1041",91749973
"355","(E)-trans-alpha-bergamota-2,10-dien-12-al","(e)-trans-alpha-bergamota-2,10-dien-12-al","C1042",NA
"356","(E)-trans-alpha-bergamota-2,10-dien-12-ol","(e)-trans-alpha-bergamota-2,10-dien-12-ol","C1043",NA
"357","(E)-trans-bergamota-2,12-dien-14-ol","(e)-trans-bergamota-2,12-dien-14-ol","C1044",NA
"358","(E)-veltonal","(e)-veltonal","C1045",NA
"359","(E)-verbenol","(e)-verbenol","C1046",61126
"360","(E)-verbenyl acetate","(e)-verbenylÂ acetate","C1047",NA
"361","(E,E)-1,3,11-tri dec alpha-triene-5,7,9-triyne","(e,e)-1,3,11-tri dec alpha-triene-5,7,9-triyne","C1052",NA
"362","(E,E)-2-4-decadienal","(e,e)-2-4-decadienal","C1053",NA
"363","(E,E)-2-4-heptadienal","(e,e)-2-4-heptadienal","C1054",NA
"364","(E,E)-2-hexadienal","(e,e)-2-hexadienal","C1055",NA
"365","(E,E)-2,4-decadienai","(e,e)-2,4-decadienai","C1056",NA
"366","(E,E)-2,4-decadienal","(e,e)-2,4-decadienal","C45",NA
"367","(E,E)-2,4-heptadienal","(e,e)-2,4-heptadienal","C1057",NA
"368","(E,E)-2,4-hexadienal","(e,e)-2,4-hexadienal","C46",NA
"369","(E,E)-2,4-nonadienal","(e,e)-2,4-nonadienal","C1058",NA
"370","(E,E)-2,4-octadienal","(e,e)-2,4-octadienal","C1059",NA
"371","(E,E)-2,6-farnesol","(e,e)-2,6-farnesol","C1060",NA
"372","(E,E)-2,6-farnesyl acetate","(e,e)-2,6-farnesyl acetate","C1061",NA
"373","(E,E)-3,5-octadien-2-one","(e,e)-3,5-octadien-2-one","C1062",NA
"374","(E,E)-3,6-nonadienol","(e,e)-3,6-nonadienol","C1063",NA
