compound_identifier	original_name	cleaned_name	name_comments
313C	(z)-9-hexadecenoic acid		
314C	(z)-oleic acid		
315C	14-hydroxy-delta-cadinene		
316C	1-epi-cubenol		
317C	1-nonene		
318C	1-octene		
319C	3-alpha-acetoxyamorpha-4,7(11)-diene		
320C	3-octanol		
321C	6,10,14-trimethylpentadecan-2-one		
322C	alpha-muurolol		
323C	amorpha-4-en-10-alpha-ol		
324C	beta-gurjunene		
325C	beta-longipinene		
326C	bicyclosesquiphellandrene		
327C	cis-beta-elemene		
328C	cis-beta-elemenone		
329C	cis-muurola-4(15) 5-diene		
330C	curzerene		
331C	cymen-8-ol		
332C	daucene		
333C	decanal		
334C	delta-2-carene		
335C	delta-3-carene		
336C	dihydroedulan		
337C	(e,e)-2,4-hexadienal		
338C	(e)-ocimene		
339C	epi-alpha-muurolol		
340C	ethyl isovalerate		
341C	eudesma-4(15),7-dien-1-beta-ol		
342C	(e,z)-allo-ocimene		
343C	gamma-curcumene		
344C	hexyl acetate		
345C	liguloxide		
346C	linalyl isobutyrate		
347C	mint sulfide		
348C	neo-phytadiene		
349C	neo-thujol		
350C	neryl formate		
351C	nonanal		
352C	octanehexanal		
353C	pyranoid		
354C	santene		
355C	scapanol		
356C	selina-4(15),6-diene		
357C	trans-beta-elemenone		
358C	trans-verbenol		
359C	undecanal		
360C	(z)-2-hexenal		
361C	(z)-2-hexenol		
362C	(z)-2-pentenol		
363C	(z)-beta-santalol		
364C	(z)-gamma-bisabolene		
365C	(z,z)-bisabola-2,7,10-trien-13-ol		
366C	1-eicosene		
367C	abietatriene		
368C	alpha-cubebene		
369C	alpha-turmerone		
370C	beta-bisabolene		
371C	beta-turmerone		
372C	bisabolene		
373C	cadalene		
374C	curcumol		
375C	curdione		
376C	dehydro-p-cymene		
377C	(e,e)-farnesol		
378C	(e,e)-farnesyl acetate		
379C	(e,z)-farnesol		
380C	isoborneol		
381C	isocaryophyllene		
382C	methyl hexadecanoate		
383C	oplopanone		
384C	trans-alpha-bergamotene		
385C	trans-calamenene		
386C	(z)-beta-santalol acetate		
387C	(z,e)-farnesyl acetate		
388C	calamenenol		
389C	citronellyl acetate		
390C	isophytol		
391C	occidolacetate		
392C	2-methylbutanal		
393C	2-methyoxy-4-vinylphenol		
394C	2-phenylethanol		
395C	3-methy-2-butenol		
396C	3-methylbutanal		
397C	3-penten-2-ol		
398C	3-phenylpropanol		
399C	6-methyl-5-hepten-2-ol		
400C	acids		
401C	alcohol		
402C	aldehydes		
403C	apiole		
404C	benzyl alcohol		
405C	benzyl benzoate		
406C	cis-linalooloxide (furanoid)		
407C	cis-linalooloxide (pyranoid)		
408C	coumarin		
409C	dillapiole		
410C	esters		
411C	furfural		
412C	heptanol		
413C	linolenic acid		
414C	methyl salicylate		
415C	pentanal		
416C	p-menth-1-en-9-al		
417C	remove		
418C	trans-linalool oxide (furanoid)		
419C	vanillin		
420C	(z)-3-hexenyl acetate		
421C	(5.9-10)-kaur-15-ene		
422C	alpha-fenchol		
423C	alpha-fenchyl acetate		
424C	alpha-ionone		
425C	aristolene		
426C	gamma-gurjunene		
427C	ocimene		
428C	2-pentylfuran		
429C	alpha-campholene aldehyde		
430C	alpha-phellandrene epoxide		
431C	benzyl isovalerate		
432C	benzyl valerate		
433C	(e)-3-nonene		
434C	isopinocamphone		
435C	ipsdienol		
436C	khusinol		
437C	1-(methyl)-naphthalene		
438C	2-methylnaphthalene		
439C	vulgarone b		
440C	alpha-cedrene		
441C	camphore		
442C	4-epi-alpha-terpineol		
443C	9-decen-1-ol		
444C	9-epi-caryophylla-1(12),8(15)-diene-14-ol		
445C	benzyl isovalorate		
446C	beta-guaiene		
447C	caryophylla-1(12),8(15)-diene-14-ol		
448C	caryophylladienol-ii		
449C	caryophylladienol-i		
450C	caryophyllene oxide-ii		
451C	caryophyllene oxide-i		
452C	cedrol		
453C	cis-arteannuic alcohol		
454C	cis-calamenene		
455C	cis-para-mentha-2,8-dien-1-ol		
456C	cis-sabinene hydrate+linalool		
457C	dehydro-1,8-cineole		
458C	dihydroartemisinic acid		
459C	(e)-anethol		
460C	eicosane		
461C	elemene		
462C	ethyl-2-methyl butyrate		
463C	gammaÃ¢Â€Â“cadinone		
464C	hexadecane		
465C	hexyl-3-methyl butyrate		
466C	hexyl tiglate		
467C	linylacetate		
468C	n-hexanol		
469C	nonadecane		
470C	para-cymen-8-ol		
471C	sanderacopamira-8(14),15-diene		
472C	trans-arteannuic alcohol		
473C	(z)-2-methylbutyrate		
474C	(z)-3-hexenyl isovalerate		
475C	(z)-alpha-trans-bergamatol		
476C	(z)-alpha-trans-bergamotal acetate		
477C	cis-sabinol		
478C	para-mentha-1,4(8)-dien-3-ol		
479C	14-hydroxy-alpha-humulene		
480C	2-phenylbenzaldehyde		
481C	4-phenylbenzaldehyde		
482C	4-phenylphenyl-2-propenalyl ketone		
483C	beta-isocomene		
484C	beta-malliene		
485C	cedr-8(15)-en-9-alpha-ol acetate		
486C	cedr-8(15)-en-9-ol		
487C	cedr-8-en-13-alpha-ol acetate		
488C	cedr-8-en-13 aÃ¢Â€Â“o1		
489C	cedrylacetate		
490C	(e,e)-alpha-farnesol		
491C	(e)-nerolidol acetate		
492C	farnesal		
493C	isocaryophyllene oxide		
494C	isocomene		
495C	methyl octadecanoate		
496C	occidentalol		
497C	occidentalolacetate		
498C	occidol		
499C	selin-11-en-4aÃ¢Â€Â“o1		
500C	silphinene		
501C	(z)-alpha-trans-bergamotol acetate		
502C	(z)-alpha-trans-bergamotol		
503C	13-epi-manool		
504C	2-methyl-6-methylene-1,7-octadien-2-ol		
505C	2-methyl 6-methylene 2,7- octadien-5-one		
506C	4-epi-beta-terpineol		
507C	4-pentenylpropionate		
508C	9-decenol		
509C	amyl-2-methyl butyrate		
510C	artemisylacetate		
511C	beta-copaen-4-ol		
512C	carvone-8,9-oxide		
513C	caryophylladienol		
514C	cedr-8(15)-en-9-ol acetate		
515C	cubenol		
516C	dihydroartemisinic lactone		
517C	(e)-anethole		
518C	isocedrol		
519C	nootkatone		
520C	perillene		
521C	p-mentha-(7),5-dien-2-ol		
522C	trans-chrysanthenol		
523C	(z)-3-hexenyl tiglate		
524C	(z)-nerolidol		
525C	beta-copaen-4-ol e		
526C	cedr-8(15)-en-9-ol e		
527C	2-heptanone		
528C	beta-phellandrene		
529C	bornyl isobutyrate		
530C	cyclocolorenone		
531C	dihydro,1,8-cineole		
532C	(e)-2-hexenol		
533C	isomenthone		
534C	6-methyl-5-hepten-2-one		
535C	beta-ocimene		
536C	citronellol		
537C	davanone		
538C	9-epi-beta-caryophyllene		
539C	beta-cubebene		
540C	cis-alpha-bergamotene		
541C	gamma-epi-eudesmol		
542C	isopathulenol		
543C	lavandulyl-2-methyl butyrate		
544C	lavandulyl acetate		
545C	longipinanol		
546C	muurol-5-en-4alpha-ol		
547C	12-methyltridecanolide		
548C	13-tridecanolide		
549C	15-pentadecanolide		
550C	16-hexadecanolide		
551C	17-heptadecanolide		
552C	7-epi-gamma-eudesmol		
553C	alpha-copaen-11-ol		
554C	alpha-copaen-8-ol		
555C	beta-cedrene		
556C	bisabolone		
557C	cadina-1,4-diene		
558C	cis-p-mentha-2-en-1-ol		
559C	cis-verbenol		
560C	cuparene		
561C	isoamyl benzoate		
562C	menthol		
563C	myrtenyl acetate		
564C	osthol		
565C	p-cymene-7-ol		
566C	p-mentha-1,5-dien-8-ol		
567C	trans-chrysanthenyl acetate		
568C	trans-m-mentha-2,8-diene		
569C	trans-p-mentha-2-en-1-ol		
570C	zingiberene		
571C	2-phenylethyl-2-methylbutyrate		
572C	6r,7r-bisabolone		
573C	bergapten		
574C	beta-bisabolol		
575C	beta-humulene		
576C	beta-muurolene		
577C	beta-muurolol		
578C	epi-beta-bisabolol		
579C	(e)-sesquilavandulol		
580C	isobergaptene		
581C	osthole		
582C	pentadecandelta-15-lactone		
583C	selina-3,7(11)-diene		
584C	tridecandelta-13-lactone		
585C	alpha-farnesene		
586C	calacorene isomer		
587C	cis-salvene		
588C	dehydro-sesquicineole		
589C	geranyl isovalerate		
590C	methyl butyl-2-methyl butyrate		
591C	neryl isovalerate		
592C	cyclopentadecanone		
593C	eicosanol		
594C	muscone		
595C	oxacyclotetradecan-2-one		
596C	2-methylbutylbutyrate		
597C	2-methylbutylisovalerate		
598C	alpha-elemol		
599C	alpha-sinensal		
600C	biphenyl		
601C	camphenehydrate		
602C	epoxymyrcene		
603C	fenchone		
604C	isoamyl valerate		
605C	isobutylbutyrate		
606C	limonen-10-ol		
607C	methyl salicyclate		
608C	myrcenol		
609C	perillaaldehyde		
610C	phytone		
611C	trcyclene		
612C	(z)-3-hexenyl-2-methylbutyrate		
613C	beta-sesquiphellandrene		
614C	(e)-alpha-farnesene		
615C	(e,e)-beta-farnesene		
616C	(e)-isosafrol		
617C	epi-alpha-bisabolol		
618C	nonanol		
619C	piperonal		
620C	satrol		
621C	(z)-alpha-santalol		
622C	(z)-isosafrole		
623C	alpha-amorphene		
624C	methyl carvacrol		
625C	oleic acid		
626C	15-hexadecanolide		
627C	8-cedren-13-ol		
628C	beta-bourbenene		
629C	beta-santalene		
630C	hexahydrofarnesylacetone		
631C	2-tridecanone		
632C	6,10,14-trimethyl-2-pentadecanone		
633C	alpha-guaiene		
634C	beta-caryophyllene oxide		
635C	caryolan-8-ol		
636C	drimenene		
637C	(e)-beta-ionone		
638C	isopiperitenone		
639C	umbellulone		
640C	5-epi-neointermedeol		
641C	beta-pinene+myrcene		
642C	camphene+verbenene		
643C	cis-myrtanol		
644C	cis-p-menth-2-en-1,8-diol		
645C	filifolide a		
646C	filifolide b		
647C	filifolone		
648C	isobornyl acetate		
649C	isophorone		
650C	mesitylene isomer		
651C	mesitylene		
652C	piperitenone		
653C	trans-p-menth-2-en-1,8-diol		
654C	ascaridole		
655C	piperitone oxide		
656C	alpha-terpinolene		
657C	beta-terpineol		
658C	bornyl formate		
659C	sabinyl acetate		
660C	4a-alpha,7-alpha,7a-alpha-nepetalactone		
661C	4a-alpha,7-alpha,7a-beta-nepetalactone		
662C	4a-alpha,7-beta,7a-alpha-nepetalactone		
663C	(11,13)labdadien-8-ol		
664C	bicyclo[2.2.1]hept-2-ene,dimethyl		
665C	1-nonadecene		
666C	docosane		
667C	(e,e)-alpha-ionone		
668C	(e,e)-beta-ionone		
669C	guaiol		
670C	heptacosane		
671C	hexacosane		
672C	kaurene		
673C	methyl-4-methoxy salicylate		
674C	nonacosane		
675C	pimaradiene		
676C	p-menth-1-ene		
677C	2-hydroxy-4,6-dimethyoxyacetophenone		
678C	carvyl acetate		
679C	chrysanthenyl acetate		
680C	devanone		
681C	ethyl-3-phenylpropionate		
682C	viridofloral		
683C	benzyl isothiocynate		
684C	cumin alcohol		
685C	dendrolasin		
686C	phenyl acetonitrite		
687C	7-di-epi-beta-cedrene		
688C	acorenone		
689C	acorone		
690C	alpha-asarone		
691C	alpha-humulene+(z)-methyl isoeugenol		
692C	beta-asarone		
693C	calamusenone		
694C	caryophyllene		
695C	cis-beta-guaiene		
696C	cyclogermacrene		
697C	methyl citronellate		
698C	shyobunone isomer		
699C	trans-beta-guaiene		
700C	(z)-isoelemicin		
701C	calacorene hydrate 1		
702C	calacorene hydrate 2		
703C	prezizaene		
704C	shyobunone+alpha-selinene		
705C	1,1-diethoxyethane		
706C	1,1-dithoxynonanone		
707C	2-ethoxybenzoic acid		
708C	5-methylhexanal		
709C	benzothiazole		
710C	butyl acetate		
711C	diethyl butanedioate		
712C	(e)-3-hexenol		
713C	(e)-9-eicosene		
714C	edulan i		
715C	ethylacetate		
716C	ethylbenzoate		
717C	ethylbutanoate		
718C	ethyl decanoate		
719C	ethyl (e)-2-butenoate		
720C	ethyl hexanoate		
721C	ethyl octanoate		
722C	ethyl tridecanoate		
723C	ethyl undecanoate		
724C	guaiazulene		
725C	megastigma-4,6(e),8(z)-triene		
726C	methyl benzoate		
727C	methyl decanoate		
728C	methyl dodecanoate		
729C	methyl furoate		
730C	methyl hexanoate		
731C	methyl octanoate		
732C	octanol		
733C	propylbenzene		
734C	(z)-2-decanal		
735C	(z)-9-octadecenoic acid		
736C	1-nonadecanol		
737C	elemicin		
738C	humulene epoxide		
739C	n-heptadecane		
740C	n-nonane		
741C	n-octane		
742C	terpinene-4-ol		
743C	undecanol		
744C	(z)-alpha-bisabolene		
745C	(z)-methyl isoeugenol		
746C	linalyl propionate		
747C	n-decane		
748C	n-octadecane		
749C	(z)-ocimene		
750C	citronellyl formate		
751C	thuja-2,4(10)-diene		
752C	1,4-(cis)-1,7-(trans)-acorenone		
753C	1,4-(trans)-1,7-(trans)-acorenone		
754C	2,6-diepishyobunone		
755C	acarone		
756C	alpha-acoradiene		
757C	beta-acoradiene		
758C	cadrol		
759C	gamma-asarone		
760C	humulene oxide ii		
761C	isocarone		
762C	isocomenene		
763C	isoshyobunone		
764C	muurol-5-en-4-alpha-ol		
765C	preisocalamendiol		
766C	shyobunone		
767C	valencene		
768C	calamenene		
769C	2,3-dimethoxytoluene		
770C	2-epi-alpha-funebrene		
771C	4,5-di-epi-aristolochene		
772C	4-epi-acorenone		
773C	5-epi-aristolochene		
774C	6-alpha-hydroxygermacra-1(10),4-diene		
775C	6-epi-shyobunone		
776C	7-epi-alpha-cedrene		
777C	acora-3(10),14-diene		
778C	acora-7(11),9-dien-2-one		
779C	acoradiene		
780C	acorone, isomer 1		
781C	acorone, isomer 2		
782C	alpha-cedrene isomer		
783C	alpha-neocallitropscene		
784C	beta-funebrene		
785C	calamenediol		
786C	cryptoacorone		
787C	(e)-isoelemicin		
788C	(e)-isoeugenol		
789C	epiacorone [4]		
790C	eudesma-3,11-dien-2-one		
791C	hinesene		
792C	isocalamenediol		
793C	isogermacrene a		
794C	khusiol		
795C	nony lacetate		
796C	octyl acetate		
797C	prezizaene isomer		
798C	sesquithuriferol		
799C	vulgarone a		
800C	(z)-isoeugenol		
801C	zizaene		
802C	1,2,3,4,4a,7-hexahydro-1,6-dimethyl-4-(1 -methylethyl)-naphthalene		
803C	1-(methylethyl)-naphthalene		
804C	2-isopropyl-5-methyl bicyclo (4,4,0) dec-1-ene		
805C	3,7,1l,15-tetramethyl-hexadecene r		
806C	6,10,14-trimethylpentadecanone		
807C	7-ethyl-l,4-dimethyl-azulene		
808C	9-methylnonadecane		
809C	artemisyl acetate		
810C	cepibicyclosesquiphellandrene		
811C	delta-guaiene		
812C	manool		
813C	m-menth-4,8-diene		
814C	torreyol		
815C	1,5-epoxy-salvial-4(14)-ene		
816C	2-nonanone		
817C	4-hydroxy-9-epi-beta-caryophyllene		
818C	dehydrocineole		
819C	pseudolimonene		
820C	salvial-4(14)-en-1-one		
821C	trans-carveol+cis-calamenene		
822C	alpha-acorenol		
823C	beta-calacarene		
824C	isoamyl-2-methyl butyrate		
825C	beta-calacorene		
826C	tepinolene		
827C	1-allyl-2,4-dimethoxybenzene		
828C	m-cymen-8-ol		
829C	o-cymene		
830C	thuj-3-en-10-al		
831C	2-undecanone		
832C	dodecanole		
833C	flourensiadiol		
834C	linalool oxide		
835C	pentane		
836C	1,10-diepicubenol		
837C	abieta-7,13-diene-3-one		
838C	cubebol		
839C	cyclosativene		
840C	ethyl tetradecanoate		
841C	isokaurene		
842C	kaurene-16-ol		
843C	2-pentadecanol		
844C	beta-cyclocitral		
845C	viridiflorol		
846C	alpha-bergamotene		
847C	1,4-cineole		
848C	14-hydroxy-9-epi-beta-caryophyllene		
849C	5-oxosiliphiperfol-6-ene		
850C	7-epi-silphiperfol-5-ene		
851C	allo-aromadendreneepoxide		
852C	bornyl angelate		
853C	cis-threo-davanafuran		
854C	dihydrocarveol		
855C	(e)-nuciferol		
856C	epi-longipinanol		
857C	isoitalicene epoxide		
858C	italicene epoxide		
859C	oxo-alpha-ylangene		
860C	presilphiperfolan-8-ol		
861C	santolinylacetate		
862C	silphiperfol-4,7(14)-diene		
863C	trans-4,10-epoxy-amorphane		
864C	trans-linalyl oxide acetate		
865C	vitispirane		
866C	vulgarol b		
867C	beta-myrcene		
868C	delta guaiene		
869C	germacrone		
870C	trans-caryophyllene		
871C	cis-muurola-4(14),5-diene		
872C	epi-cubebol		
873C	isopentyl butyrate		
874C	pentadecane		
875C	trans-2,3-pinanediol		
876C	1-endo-bourbonanol		
877C	6-methyl-3-heptanol		
878C	9-hexacosene		
879C	alpha-cedrol		
880C	amyl furan		
881C	beta-barbatene		
882C	beta-elemene + terpinen-4-ol		
883C	beta-guaiene+alpha-humulene		
884C	beta-ionone		
885C	(e,e)-2,4-decadienal		
886C	(e)-geranyl acetone		
887C	gamma-bisabolene		
888C	gamma-bisabolene+delta-cadinene		
889C	geranyl linalool		
890C	myrtenol+beta-cuprenene		
891C	nonacosene		
892C	octadecanal		
893C	thujopsene		
894C	thujopsene + myrtenal		
895C	trans-verbenol+beta-guaiene		
896C	widdrol		
897C	(e)-caryophyllene oxide		
898C	geranioal		
899C	alpha-phellandrene-8-ol		
900C	citronellal		
901C	lavandulol		
902C	p-mentha-2,4(8)-diene		
903C	thymyl acetate		
904C	piperitol		
905C	farnesol		
906C	6-(10-hydroxylethyl)-7-methoxy-2,2-dimethychromene		
907C	7-hydroxyl-2,2-dimethylchromene		
908C	benzene		
909C	caryophyllene epoxide		
910C	(e)-beta-begamotene		
911C	(e)-sabinene hydrate		
912C	terpineol		
913C	precocene-ii		
914C	precocene-i		
915C	3,6-dihydrochamazulene		
916C	5,6-dihydrochamazulene		
917C	7,12-dehydro-5,6,7,8-tetrahydrochamazulene		
918C	9-(15,16-dihydro-15-methylene-geranyl)-alpha-terpinene		
919C	9-(15,16-dihydro-15-methylene-geranyl)-p-cymene		
920C	dihydropofarnesal		
921C	isothujanol		
922C	neo-thujylacetate		
923C	phenyl ethyl ester		
924C	alpha-elemene		
925C	beta-farnesene		
926C	bicyclo[3.2.1]oct-2-ene,3-methyl-4-methylene		
927C	farnesene (unknown isomer)		
928C	germacrene (unknown isomer)		
929C	terpinen-4-yl acetate		
930C	2-butanone		
931C	2-hexenal		
932C	acetone		
933C	octane		
934C	para-cymene		
935C	demethylencecalin		
936C	dihydroencecaline		
937C	phenyl ethylalcohol		
938C	4-terpineol		
939C	alpha-caryophyllene		
940C	alpha-curcumene		
941C	delta-selinene		
942C	(e)-pinocamphone		
943C	eudesm-7(11)-en-4-ol		
944C	methyl geranate		
945C	yperene		
946C	(z)-sabinene hydrate		
947C	14-hydroxy-alpha-muurolene		
948C	beta-dihydroagarofuran		
949C	beyerene		
950C	bifloratriene		
951C	caryophyllene alcohol		
952C	epi-alpha-cadinol		
953C	labda-7,14-dien-13-ol		
954C	labda-8,14-dien-13-ol		
955C	seychellene		
956C	totarene		
957C	6-(1'-hydroxyethyl)-2,2,dimethylchromene		
958C	6-(1'-hydroxyethyl)-7-methoxy-2,2-dimethylchromene		
959C	6-vinyl-7-methoxy-2,2-dimethylchromene		
960C	7-hydroxy-2,2-dimethylchromene		
961C	demethoxyencecalin		
962C	encecalin		
963C	himachalene		
964C	trans-beta-bergamotene		
965C	brevifolin		
966C	carnphene		
967C	citronella1		
