Compound_identifier,original_name,clean_name,cid
C814,"(2s,5r,9r)-1(12),8(15)-caryophyladiene-9alpha-ol","(2s,5r,9r)-1(12),8(15)-caryophyladiene-9alpha-ol",NA
C815,(2Z)-nonenol,(2Z)-nonenol,NA
C816,"(2Z,6E)-farnensal","(2Z,6E)-farnensal",NA
C817,"(2Z,6E)-farnesol","(2Z,6E)-farnesol",NA
C818,"(2Z,6E)-farnesyl acetate","(2Z,6E)-farnesyl acetate",NA
C819,"(2Z,6Z)-farnesol","(2Z,6Z)-farnesol",NA
C821,(3epsilon)-cembrene a,(3epsilon)-cembrene a,NA
C822,(3Z)-butylidene phthalide,(3Z)-butylidene phthalide,NA
C823,(3Z)-cembrene a,(3Z)-cembrene a,NA
C825,(3Z)-hexenyl-2-methylbutanoate,(3Z)-hexenyl-2-methylbutanoate,NA
C826,(3Z)-hexenyl-3-methylbutanoate,(3Z)-hexenyl-3-methylbutanoate,NA
C827,"(4s,5s)-germacrone-4,5-epoxide","(4s,5s)-germacrone-4,5-epoxide",NA
C828,(4Z)-decenal,(4Z)-decenal,NA
C829,(4Z)-heptenal,(4Z)-heptenal,NA
C830,(4Z)-hexenol,(4Z)-hexenol,NA
C831,(5.9-10)-kaur-15-ene,(5.9-10)-kaur-15-ene,NA
C841,"(e)-1-(3',4'-dimethoxy phenyl)but-1-ene","(E)-1-(3',4'-dimethoxy phenyl)but-1-ene",NA
C842,"(e)-1-(3',4'-dimethoxyphenyl)butadiene","(E)-1-(3',4'-dimethoxyphenyl)butadiene",NA
C843,(e)-1-butenylcyclopentane,(E)-1-butenylcyclopentane,NA
C844,(e)-1-eicosene,(E)-1-eicosene,NA
C845,(e)-1-phenyl propyl tetrasulfide,(E)-1-phenyl propyl tetrasulfide,NA
C3,(e)-1-propenyl methyl trisulfide,(E)-1-propenyl methyl trisulfide,NA
C847,(e)-1-propenyl propyl pentasulfide,(E)-1-propenyl propyl pentasulfide,NA
C848,(e)-1-propenyl propyl tetrasulfide,(E)-1-propenyl propyl tetrasulfide,NA
C851,(e)-1-propenyl trisulfide,(E)-1-propenyl trisulfide,NA
C852,(e)-1-propenylsec-butyl disulfide,(E)-1-propenylsec-butyl disulfide,NA
C853,"(e)-1,1-diethoxyhex-2-ene","(E)-1,1-diethoxyhex-2-ene",NA
C854,"(e)-1,2-hexenylbutyrate","(E)-1,2-hexenylbutyrate",NA
C855,(e)-12-norcaryophyll-5-en-2-one,(E)-12-norcaryophyll-5-en-2-one,NA
C856,(e)-14-hydroxy-9-epi-caryophyllene,(E)-14-hydroxy-9-epi-caryophyllene,NA
C6,(e)-2-caren-4-ol,(E)-2-caren-4-ol,NA
C7,(e)-2-decanal,(E)-2-decanal,NA
C858,(e)-2-decanol,(E)-2-decanol,NA
C860,(e)-2-dodecanal,(E)-2-dodecanal,NA
C863,(e)-2-dodecenyl acetate,(E)-2-dodecenyl acetate,NA
C864,(e)-2-ethylhexyl-methoxycinnamate,(E)-2-ethylhexyl-methoxycinnamate,NA
C865,(e)-2-heptanal,(E)-2-heptanal,NA
C867,(e)-2-hexanal,(E)-2-hexanal,NA
C868,(e)-2-hexanol,(E)-2-hexanol,NA
C873,(e)-2-hexyl-cinnamaldehyde,(E)-2-hexyl-cinnamaldehyde,NA
C13,(e)-2-hexyl butyrate,(E)-2-hexyl butyrate,NA
C874,(e)-2-lachnophyllumester,(E)-2-lachnophyllumester,NA
C878,(e)-2-methyl-3-octen-5-yne,(E)-2-methyl-3-octen-5-yne,NA
C887,(e)-2-pentenylfuran,(E)-2-pentenylfuran,NA
C888,(e)-2-tetradecanal,(E)-2-tetradecanal,NA
C890,(e)-2-tetradecenol,(E)-2-tetradecenol,NA
C891,(e)-2-undecanal,(E)-2-undecanal,NA
C893,(e)-2-undecenol,(E)-2-undecenol,NA
C4,"(e)-2,(z)-6-decadienal","(E)-2,(Z)-6-decadienal",NA
C5,"(e)-2,2-decenal","(E)-2,2-decenal",NA
C894,(e)-3-butylidene phthalide,(E)-3-butylidene phthalide,NA
C895,(e)-3-butylidenephthalide-ms,(E)-3-butylidenephthalide-ms,NA
C896,"(e)-3-ethyl-1,5-octadiene","(E)-3-ethyl-1,5-octadiene",NA
C898,(e)-3-hexanoic acid,(E)-3-hexanoic acid,NA
C899,(e)-3-hexanol,(E)-3-hexanol,NA
C900,(e)-3-hexenal,(E)-3-hexenal,NA
C902,(e)-3-hexenyl isovalerate,(E)-3-hexenyl isovalerate,NA
C905,(e)-3-octenol,(E)-3-octenol,NA
C908,(e)-3(10)-caren-2-ol,(E)-3(10)-caren-2-ol,NA
C909,"(e)-3,5-nonadiyne-7-ene","(E)-3,5-nonadiyne-7-ene",NA
C910,"(e)-3,7-dimethyl-2,7-octadien-1,6-diol","(E)-3,7-dimethyl-2,7-octadien-1,6-diol",NA
C913,"(e)-4,8-dimethyl-1,3,7-nonatriene","(E)-4,8-dimethyl-1,3,7-nonatriene",NA
C915,(e)-9-eicosene,(E)-9-eicosene,NA
C916,(e)-9-epi-caryophyllene,(E)-9-epi-caryophyllene,NA
C918,(e)-alpha-atlantone,(E)-alpha-atlantone,NA
C920,(e)-alpha-cadinol,(E)-alpha-cadinol,NA
C921,(e)-alpha-damascenone,(E)-alpha-damascenone,NA
C922,(e)-alpha-decenal,(E)-alpha-decenal,NA
C924,(e)-alpha-isomethyl-ionol acetate,(E)-alpha-isomethyl-ionol acetate,NA
C926,(e)-alpha-trans-bergamotol,(E)-alpha-trans-bergamotol,NA
C928,(E)-anethole + bornyl acetate,(E)-anethole + bornyl acetate,NA
C20,(e)-anethole+bornyl acetate,(E)-anethole+bornyl acetate,NA
C929,(e)-apritone,(E)-apritone,NA
C931,(e)-b-ocimene,(E)-b-ocimene,NA
C934,(e)-beta-amascenone,(E)-beta-amascenone,NA
C935,(e)-beta-begamotene,(E)-beta-begamotene,NA
C936,(e)-beta-bisabolene,(E)-beta-bisabolene,NA
C940,(e)-beta-elemenone,(E)-beta-elemenone,NA
C941,(e)-beta-famesene,(E)-beta-famesene,NA
C942,"(e)-beta-farnesene epoxide((e)-(5,9-dimethyl-1-methylene-4,8-decadienyl)-oxirane)","(E)-beta-farnesene epoxide((E)-(5,9-dimethyl-1-methylene-4,8-decadienyl)-oxirane)",NA
C943,(e)-beta-guaiene,(E)-beta-guaiene,NA
C944,(e)-beta-ionone+6-methyl-gamma-(e)-ionone,(E)-beta-ionone+6-methyl-gamma-(E)-ionone,NA
C945,(e)-beta-ionone+beta-selinene,(E)-beta-ionone+beta-selinene,NA
C948,(e)-beta ocimene,(E)-beta ocimene,NA
C949,(e)-bisabol-11-ol,(E)-bisabol-11-ol,NA
C950,(e)-butylidenephthalide,(E)-butylidenephthalide,NA
C951,"(e)-cadina-1(2),4-diene","(E)-cadina-1(2),4-diene",NA
C952,"(e)-cadina-1(6),4-diene","(E)-cadina-1(6),4-diene",NA
C953,(e)-cadinene,(E)-cadinene,NA
C954,(e)-camphenone,(E)-camphenone,NA
C955,(e)-cariophylene,(E)-cariophylene,NA
C957,(e)-caryophyllene oxide,(E)-caryophyllene oxide,NA
C958,(e)-chrysanthenol,(E)-chrysanthenol,NA
C960,(e)-cinnamic alcohol,(E)-cinnamic alcohol,NA
C963,(e)-cinnamyl butyrate,(E)-cinnamyl butyrate,NA
C964,(e)-cinnamyl hexanoate,(E)-cinnamyl hexanoate,NA
C965,(e)-cinnamyl isovalerate,(E)-cinnamyl isovalerate,NA
C29,(e)-cinnamyl valerate,(E)-cinnamyl valerate,NA
C967,(e)-delta-farnesene,(E)-delta-farnesene,NA
C968,(e)-delta-ocimene,(E)-delta-ocimene,NA
C969,(e)-diidro-apofarnesol,(E)-diidro-apofarnesol,NA
C970,(e)-ectocarpene c,(E)-ectocarpene c,NA
C972,(e)-farnesene,(E)-farnesene,NA
C31,(e)-foeniculin,(E)-foeniculin,NA
C974,(e)-gamma-atlantone,(E)-gamma-atlantone,NA
C975,(e)-gamma-curcumen-12-ol+n.i.,(E)-gamma-curcumen-12-ol+n.i.,NA
C976,(E)-geranic acid,(E)-geranic acid,NA
C978,(e)-geranyl acetate,(E)-geranyl acetate,NA
C982,(e)-hexenal,(E)-hexenal,NA
C983,(e)-hexenol,(E)-hexenol,NA
C838,(e)--ionone,(E)-ionone,NA
C984,(e)-ionone,(E)-ionone,NA
C985,(e)-isoamyl cinnamate,(E)-isoamyl cinnamate,NA
C986,(e)-isocitral,(E)-isocitral,NA
C987,(e)-isodillapiole,(E)-isodillapiole,NA
C990,(e)-isoeugenol acetate,(E)-isoeugenol acetate,NA
C992,(e)-isolimonene,(E)-isolimonene,NA
C994,(e)-isosafrol,(E)-isosafrol,NA
C995,(e)-jasmolactone,(E)-jasmolactone,NA
C997,(e)-jasmonyl acetate,(E)-jasmonyl acetate,NA
C998,"(e)-labda-8(17),12-diene-15-ol-16-al","(E)-labda-8(17),12-diene-15-ol-16-al",NA
C999,"(e)-labda-8(17),12-diene-15,16-dial","(E)-labda-8(17),12-diene-15,16-dial",NA
C1000,(e)-lachnophyllol acetate,(E)-lachnophyllol acetate,NA
C1001,(e)-lanceol,(E)-lanceol,NA
C1002,(e)-lanceol acetate,(E)-lanceol acetate,NA
C1003,(e)-ligustilide-ms,(E)-ligustilide-ms,NA
C1005,(e)-linalool oxide (furanoid),(E)-linalool oxide (furanoid),NA
C1009,(e)-myroxyde,(E)-myroxyde,NA
C1010,(e)-nerolidiol,(E)-nerolidiol,NA
C1011,(e)-nerolido,(E)-nerolido,NA
C38,(e)-nerolidol acetate,(E)-nerolidol acetate,NA
C1012,(e)-nerolidol+ledol,(E)-nerolidol+ledol,NA
C1014,(e)-nonadecene,(E)-nonadecene,NA
C1021,(e)-p-farnesene,(E)-p-farnesene,NA
C1022,(e)-p-hexenal diethyl acetal,(E)-p-hexenal diethyl acetal,NA
C1023,(e)-p-menth-2-en-7-ol,(E)-p-menth-2-en-7-ol,NA
C1024,(e)-p-ocimene,(E)-p-ocimene,NA
C1027,(e)-pinane,(E)-pinane,NA
C1028,(e)-pinene,(E)-pinene,NA
C1030,(e)-psclmene,(E)-psclmene,NA
C1031,(e)-q-tetradecenal,(E)-q-tetradecenal,NA
C1033,(e)-sabinene hydrate,(E)-sabinene hydrate,NA
C1034,(e)-sabinene? hydrate,(E)-sabinene hydrate,NA
C42,(e)-sesquilavandulylacetate,(E)-sesquilavandulylacetate,NA
C1038,(e)-sesquithujen-12-ol,(E)-sesquithujen-12-ol,NA
C44,(e)-theaspirane,(E)-theaspirane,NA
C1042,"(e)-trans-alpha-bergamota-2,10-dien-12-al","(E)-trans-alpha-bergamota-2,10-dien-12-al",NA
C1043,"(e)-trans-alpha-bergamota-2,10-dien-12-ol","(E)-trans-alpha-bergamota-2,10-dien-12-ol",NA
C1044,"(e)-trans-bergamota-2,12-dien-14-ol","(E)-trans-bergamota-2,12-dien-14-ol",NA
C1045,(e)-veltonal,(E)-veltonal,NA
C1047,(e)-verbenyl? acetate,(E)-verbenyl acetate,NA
C1052,"(e,e)-1,3,11-tri dec alpha-triene-5,7,9-triyne","(E,E)-1,3,11-tri dec alpha-triene-5,7,9-triyne",NA
C1053,"(e,e)-2-4-decadienal","(E,E)-2-4-decadienal",NA
C1054,"(e,e)-2-4-heptadienal","(E,E)-2-4-heptadienal",NA
C1055,"(e,e)-2-hexadienal","(E,E)-2-hexadienal",NA
C1056,"(e,e)-2,4-decadienai","(E,E)-2,4-decadienai",NA
C45,"(e,e)-2,4-decadienal","(E,E)-2,4-decadienal",NA
C1057,"(e,e)-2,4-heptadienal","(E,E)-2,4-heptadienal",NA
C46,"(e,e)-2,4-hexadienal","(E,E)-2,4-hexadienal",NA
C1058,"(e,e)-2,4-nonadienal","(E,E)-2,4-nonadienal",NA
C1059,"(e,e)-2,4-octadienal","(E,E)-2,4-octadienal",NA
C1060,"(e,e)-2,6-farnesol","(E,E)-2,6-farnesol",NA
C1061,"(e,e)-2,6-farnesyl acetate","(E,E)-2,6-farnesyl acetate",NA
C1062,"(e,e)-3,5-octadien-2-one","(E,E)-3,5-octadien-2-one",NA
C1063,"(e,e)-3,6-nonadienol","(E,E)-3,6-nonadienol",NA
C1064,"(e,e)-4-octadienal","(E,E)-4-octadienal",NA
C1065,"(e,e)-aalpha-farnesene","(E,E)-aalpha-farnesene",NA
C1066,"(e,e)-alloocimene","(E,E)-alloocimene",NA
C1048,"(e, e)-alpha-farnesene","(E,E)-alpha-farnesene",NA
C1049,"(e,""e)-alpha-farnesene","(E,E)-alpha-farnesene",NA
C47,"(e,e)-alpha-farnesene","(E,E)-alpha-farnesene",NA
C1067,"(e,e)-alpha-farnesene + beta-bisabolene","(E,E)-alpha-farnesene + beta-bisabolene",NA
C1068,"(e,e)-alpha-farnesene f","(E,E)-alpha-farnesene f",NA
C1069,"(e,e)-alpha-farnesol","(E,E)-alpha-farnesol",NA
C1070,"(e,e)-alpha-ionone","(E,E)-alpha-ionone",NA
C1071,"(e,e)-beta-farnesene","(E,E)-beta-farnesene",NA
C1072,"(e,e)-beta-ionone","(E,E)-beta-ionone",NA
C1073,"(e,e)-decadienal","(E,E)-decadienal",NA
C1074,"(e,e)-delta-ocimene","(E,E)-delta-ocimene",NA
C1075,"(e,e)-dodecadienal","(E,E)-dodecadienal",NA
C1076,"(e,e)-e-farnesol","(E,E)-e-farnesol",NA
C1077,"(e,e)-farnesal","(E,E)-farnesal",NA
C48,"(e,e)-farnesene","(E,E)-farnesene",NA
C1051,"(e,? e)-farnesol","(E,E)-farnesol",NA
C49,"(e,e)-farnesol","(E,E)-farnesol",NA
C1078,"(e,e)-farnesol dimethyl for acetophenone","(E,E)-farnesol dimethyl for acetophenone",NA
C1079,"(e,e)-farnesyl acetate","(E,E)-farnesyl acetate",NA
C1080,"(e,e)-farnesyl acetone","(E,E)-farnesyl acetone",NA
C1081,"(e,e)-farnesyl acetone f","(E,E)-farnesyl acetone f",NA
C1082,"(e,e)-geranyl linalool","(E,E)-geranyl linalool",NA
C1083,"(e,e)-germacrone","(E,E)-germacrone",NA
C1084,"(e,e)-methyl-10,11-epoxyfarnesoate","(E,E)-methyl-10,11-epoxyfarnesoate",NA
C1085,"(e,e)-methyl-farnesoate","(E,E)-methyl-farnesoate",NA
C1086,"(e,e)-ocimene","(E,E)-ocimene",NA
C1050,"(e, e) ? pseudoionone","(E,E)-pseudoionone",NA
C1087,"(e,e)-pseudoionone","(E,E)-pseudoionone",NA
C1088,"(e,z)-2-4-decadienal","(E,Z)-2-4-decadienal",NA
C1089,"(e,z)-2,3-nonadienal","(E,Z)-2,3-nonadienal",NA
C50,"(e,z)-2,4-decadienal","(E,Z)-2,4-decadienal",NA
C1090,"(e,z)-2,4-decadienal +2-nonenyl acetate","(E,Z)-2,4-decadienal +2-nonenyl acetate",NA
C1091,"(e,z)-2,4-heptadienai","(E,Z)-2,4-heptadienai",NA
C1092,"(e,z)-2,4-heptadienal","(E,Z)-2,4-heptadienal",NA
C51,"(e,z)-2,4-hexadienal","(E,Z)-2,4-hexadienal",NA
C1093,"(e,z)-2,6-decadienal","(E,Z)-2,6-decadienal",NA
C1094,"(e,z)-2,6-nonadienal","(E,Z)-2,6-nonadienal",NA
C1095,"(e,z)-2,6-nonadienol","(E,Z)-2,6-nonadienol",NA
C1096,"(e,z)-2,8nonadienal","(E,Z)-2,8nonadienal",NA
C1097,"(e,z)-3-5-octadien-2-one","(E,Z)-3-5-octadien-2-one",NA
C1098,"(e,z)-3,6-nonadienol","(E,Z)-3,6-nonadienol",NA
C1099,"(e,z)-allo-ocimene","(E,Z)-allo-ocimene",NA
C1100,"(e,z)-alpha-farnesene","(E,Z)-alpha-farnesene",NA
C1101,"(e,z)-decadienal","(E,Z)-decadienal",NA
C1102,"(e,z)-farnesal","(E,Z)-farnesal",NA
C1103,"(e,z)-farnesol","(E,Z)-farnesol",NA
C1104,"(e,z)-hecadecenal","(E,Z)-hecadecenal",NA
C1105,"(e,z)-hexenal","(E,Z)-hexenal",NA
C1106,"(e,z)-matricaria ester+alpha-muurolene","(E,Z)-matricaria ester+alpha-muurolene",NA
C1107,"(e,z)-nonadienal","(E,Z)-nonadienal",NA
C1108,"(e,z)-undeca-1,3,5-triene","(E,Z)-undeca-1,3,5-triene",NA
C1109,(o+p)-cymene,(o+p)-cymene,NA
C1110,(z-)-gamma-bisabolene,(z-)-gamma-bisabolene,NA
C1111,(z)-(2-hydroxy-2-isopropyl-5-methyl)-cyclohexanol,(Z)-(2-hydroxy-2-isopropyl-5-methyl)-cyclohexanol,NA
C1112,"(z)-1-(2',4',5'-trimethoxy phenyl)-butadiene","(Z)-1-(2',4',5'-trimethoxy phenyl)-butadiene",NA
C1113,"(z)-1-(3',4'-dimethoxyphenyl)-butadiene","(Z)-1-(3',4'-dimethoxyphenyl)-butadiene",NA
C1114,"(z)-1-propenyl-2,3,4,5-tetramethoxybenzene","(Z)-1-propenyl-2,3,4,5-tetramethoxybenzene",NA
C1115,(z)-1-propenyl methyl trisulfide,(Z)-1-propenyl methyl trisulfide,NA
C1116,(z)-1-propenyl propyl pentasulfide,(Z)-1-propenyl propyl pentasulfide,NA
C1117,(z)-1-propenyl propyl tetrasulfide,(Z)-1-propenyl propyl tetrasulfide,NA
C1120,(z)-1-prpenyl propyl tetrasulfide,(Z)-1-prpenyl propyl tetrasulfide,NA
C1121,"(z)-1,1-diethoxyhex-2-ene","(Z)-1,1-diethoxyhex-2-ene",NA
C1122,(Z)-14-Hydroxy-caryophyllene,(Z)-14-Hydroxy-caryophyllene,NA
C1123,(z)-2-decanal,(Z)-2-decanal,NA
C1125,(z)-2-decenol,(Z)-2-decenol,NA
C1127,(z)-2-eicosene,(Z)-2-eicosene,NA
C1128,(z)-2-ethylhexyl-methoxycinnamate,(Z)-2-ethylhexyl-methoxycinnamate,NA
C1129,(z)-2-hepten-4-one,(Z)-2-hepten-4-one,NA
C52,(z)-2-heptenylacetate,(Z)-2-heptenylacetate,NA
C1133,(z)-2-hexenylbenzoate,(Z)-2-hexenylbenzoate,NA
C1134,(z)-2-hexenylisovalerate,(Z)-2-hexenylisovalerate,NA
C1135,(z)-2-methyl-3-octen-5-yne,(Z)-2-methyl-3-octen-5-yne,NA
C1136,(z)-2-methylbutyrate,(Z)-2-methylbutyrate,NA
C1137,(z)-2-nonan-4-one,(Z)-2-nonan-4-one,NA
C1140,(z)-2-p-menthen-1-ol,(Z)-2-p-menthen-1-ol,NA
C1142,(z)-2-pentenylacetate,(Z)-2-pentenylacetate,NA
C1143,(z)-2-propenal,(Z)-2-propenal,NA
C1146,(z)-3-cambrene a,(Z)-3-cambrene a,NA
C1148,"(z)-3-ethyl-1,5-octadiene","(Z)-3-ethyl-1,5-octadiene",NA
C1149,(z)-3-heptenoic acid,(Z)-3-heptenoic acid,NA
C1150,(z)-3-hexadecane,(Z)-3-hexadecane,NA
C1152,(z)-3-hexanol,(Z)-3-hexanol,NA
C1153,(z)-3-hexanyl acetate,(Z)-3-hexanyl acetate,NA
C1154,(z)-3-hexanyl benzoate,(Z)-3-hexanyl benzoate,NA
C1156,(z)-3-hexene-1-ol,(Z)-3-hexene-1-ol,NA
C1158,(z)-3-hexenyl-2-methylbutyrate,(Z)-3-hexenyl-2-methylbutyrate,NA
C1159,(z)-3-hexenyl-3-methylbutyrate,(Z)-3-hexenyl-3-methylbutyrate,NA
C1160,(z)-3-hexenyl 2-butenoate,(Z)-3-hexenyl 2-butenoate,NA
C1161,(z)-3-hexenyl 2-methylbutanoate,(Z)-3-hexenyl 2-methylbutanoate,NA
C1164,(z)-3-hexenyl angelate+methyl naphthalene,(Z)-3-hexenyl angelate+methyl naphthalene,NA
C1167,(z)-3-hexenyl isobutanoate,(Z)-3-hexenyl isobutanoate,NA
C1169,(z)-3-hexenyl isocalerate,(Z)-3-hexenyl isocalerate,NA
C1171,(z)-3-hexenyl isovalreate,(Z)-3-hexenyl isovalreate,NA
C57,(z)-3-hexenyl tiglate,(Z)-3-hexenyl tiglate,NA
C1177,(z)-3-hexyl butyrate,(Z)-3-hexyl butyrate,NA
C1180,(z)-3-octenol,(Z)-3-octenol,NA
C1181,(z)-3-tridecane,(Z)-3-tridecane,NA
C1182,"(z)-3,5-nonadiyne-7-ene","(Z)-3,5-nonadiyne-7-ene",NA
C1183,"(z)-3,7-dimethyl-2,7-octadien-1,6-diol","(Z)-3,7-dimethyl-2,7-octadien-1,6-diol",NA
C1184,(z)-4-decanal,(Z)-4-decanal,NA
C1189,(z)-4-heptenol,(Z)-4-heptenol,NA
C1190,(z)-4-octenol,(Z)-4-octenol,NA
C1191,(z)-4-octenyl-2-methylbutyrate,(Z)-4-octenyl-2-methylbutyrate,NA
C1192,(z)-4-octenyl 2-methyl butyrate,(Z)-4-octenyl 2-methyl butyrate,NA
C1193,(z)-4-octenyl 3-methyl butyrate + phenyl ethyl butyrate,(Z)-4-octenyl 3-methyl butyrate + phenyl ethyl butyrate,NA
C1196,(z)-4-octenyl hexanoate,(Z)-4-octenyl hexanoate,NA
C1197,(z)-4-octenyl isobutyrate,(Z)-4-octenyl isobutyrate,NA
C1198,(z)-4-octenyl pentanoate,(Z)-4-octenyl pentanoate,NA
C1200,(z)-5-heptenoic acid,(Z)-5-heptenoic acid,NA
C1201,(z)-5-nonadecene,(Z)-5-nonadecene,NA
C1203,(z)-6-decenylacetate,(Z)-6-decenylacetate,NA
C1204,(z)-6-dodecen-g-lactone,(Z)-6-dodecen-g-lactone,NA
C1205,"(z)-6-methyl-3,5-heptadien-2-one","(Z)-6-methyl-3,5-heptadien-2-one",NA
C1208,"(z)-6,10-dimethyl-5-9-undecadien-2-one","(Z)-6,10-dimethyl-5-9-undecadien-2-one",NA
C1211,(z)-9-methyloctadecanoate,(Z)-9-methyloctadecanoate,NA
C1213,(z)-9-octadecenoic acid,(Z)-9-octadecenoic acid,NA
C1215,(z)-9-tricosane,(Z)-9-tricosane,NA
C1217,(z)-alpha-atlantone,(Z)-alpha-atlantone,NA
C1218,(z)-alpha-bergamotene,(Z)-alpha-bergamotene,NA
C1219,(z)-alpha-bisabolene oxide,(Z)-alpha-bisabolene oxide,NA
C1220,(z)-alpha-cadinol,(Z)-alpha-cadinol,NA
C1221,(z)-alpha-ionone,(Z)-alpha-ionone,NA
C1223,(z)-alpha-trans-bergamatol,(Z)-alpha-trans-bergamatol,NA
C1224,(z)-alpha-trans-bergamotal acetate,(Z)-alpha-trans-bergamotal acetate,NA
C1225,(z)-alpha-trans-bergamotene,(Z)-alpha-trans-bergamotene,NA
C61,(z)-alpha-trans-bergamotol,(Z)-alpha-trans-bergamotol,NA
C1226,(z)-alpha-trans-bergamotol acetate,(Z)-alpha-trans-bergamotol acetate,NA
C1228,(z)-b-ocimene,(Z)-b-ocimene,NA
C1231,(z)-beta-bisabolene,(Z)-beta-bisabolene,NA
C1232,(z)-beta-caryophyllene,(Z)-beta-caryophyllene,NA
C1233,(z)-beta-curcumen-12-ol,(Z)-beta-curcumen-12-ol,NA
C1235,(z)-beta-damascone,(Z)-beta-damascone,NA
C1236,(z)-beta-famesene,(Z)-beta-famesene,NA
C63,(z)-beta-farnesene,(Z)-beta-farnesene,NA
C1237,(z)-beta-guaiene,(Z)-beta-guaiene,NA
C1239,(z)-beta-ocimene (m),(Z)-beta-ocimene (m),NA
C1240,(z)-beta-ocimene epoxide,(Z)-beta-ocimene epoxide,NA
C1241,(z)-beta-ocimene+gamma-terpinene,(Z)-beta-ocimene+gamma-terpinene,NA
C1242,(z)-beta-santalene,(Z)-beta-santalene,NA
C1244,(z)-beta-santalol acetate,(Z)-beta-santalol acetate,NA
C1245,(z)-beta-santalyl acetate,(Z)-beta-santalyl acetate,NA
C1248,(z)-butylidene phthalide,(Z)-butylidene phthalide,NA
C1249,"(z)-cadina-1,4-diene","(Z)-cadina-1,4-diene",NA
C1252,(z)-cariophylene,(Z)-cariophylene,NA
C1254,(z)-carvyl? acetate,(Z)-carvyl acetate,NA
C1256,(z)-caryophyllene oxide,(Z)-caryophyllene oxide,NA
C65,(z)-chrysanthenyl acetate,(Z)-chrysanthenyl acetate,NA
C1259,(z)-cinnamyl tiglate,(Z)-cinnamyl tiglate,NA
C1261,(z)-dehydro-apofarnesol,(Z)-dehydro-apofarnesol,NA
C1263,(z)-dimethoxy citral,(Z)-dimethoxy citral,NA
C67,(z)-epoxy-ocimene,(Z)-epoxy-ocimene,NA
C1264,(z)-epoxy ocimene,(Z)-epoxy ocimene,NA
C1265,(z)-ethyl-3-hexenoate,(Z)-ethyl-3-hexenoate,NA
C1267,(z)-falcarinol,(Z)-falcarinol,NA
C1269,(z)-gamma-atlantone,(Z)-gamma-atlantone,NA
C1270,(z)-gamma-curcumen-12-ol,(Z)-gamma-curcumen-12-ol,NA
C1273,(z)-hexenol,(Z)-hexenol,NA
C1274,(z)-hexenyl benzoate,(Z)-hexenyl benzoate,NA
C1275,(z)-hydroxy-sesquicineole,(Z)-hydroxy-sesquicineole,NA
C1276,(z)-isoapiole+dillapiole,(Z)-isoapiole+dillapiole,NA
C1277,(z)-isocitral,(Z)-isocitral,NA
C1278,(z)-isoelemicin,(Z)-isoelemicin,NA
C1280,(z)-isoeugenyl acetate,(Z)-isoeugenyl acetate,NA
C1281,(z)-isogeranic acid,(Z)-isogeranic acid,NA
C69,(z)-isosafrole,(Z)-isosafrole,NA
C1286,(z)-lanceol acetate,(Z)-lanceol acetate,NA
C1287,(z)-ligustillide + mint sulfide,(Z)-ligustillide + mint sulfide,NA
