Compound_name,PubChem_lookup_name,PubChem_lookup_inchis,PubChem_lookup_cid,OPSIN_lookup_name,OPSIN_inchis,OPSIN_comments
(e)-2-decanal,(e)-2-decanal,,NA,(e)-2-decanal,,"Could not find bond that: <stereoChemistry type=""EorZ"" value=""E"">e</stereoChemistry> was referring to"
(e)-2-decanal,(e)-2-decanal,,NA,(e)-2-decanal,,"Could not find bond that: <stereoChemistry type=""EorZ"" value=""E"">e</stereoChemistry> was referring to"
(e)-2-decenal,(e)-2-decenal,"InChI=1S/C10H18O/c1-2-3-4-5-6-7-8-9-10-11/h8-10H,2-7H2,1H3/b9-8+",5283345,(e)-2-decenal,"InChI=1/C10H18O/c1-2-3-4-5-6-7-8-9-10-11/h8-10H,2-7H2,1H3/b9-8+",
(e)-2-decenol,(e)-2-decenol,"InChI=1S/C10H20O/c1-2-3-4-5-6-7-8-9-10-11/h8-9,11H,2-7,10H2,1H3/b9-8+",5364942,(e)-2-decenol,"InChI=1/C10H20O/c1-2-3-4-5-6-7-8-9-10-11/h8-9,11H,2-7,10H2,1H3/b9-8+",
(e)-2-heptenal,(e)-2-heptenal,"InChI=1S/C7H12O/c1-2-3-4-5-6-7-8/h5-7H,2-4H2,1H3/b6-5+",5283316,(e)-2-heptenal,"InChI=1/C7H12O/c1-2-3-4-5-6-7-8/h5-7H,2-4H2,1H3/b6-5+",
(e)-2-hexenal,(e)-2-hexenal,"InChI=1S/C6H10O/c1-2-3-4-5-6-7/h4-6H,2-3H2,1H3/b5-4+",5281168,(e)-2-hexenal,"InChI=1/C6H10O/c1-2-3-4-5-6-7/h4-6H,2-3H2,1H3/b5-4+",
(e)-2-hexenol,(e)-2-hexenol,"InChI=1S/C6H12O/c1-2-3-4-5-6-7/h4-5,7H,2-3,6H2,1H3/b5-4+",5318042,(e)-2-hexenol,"InChI=1/C6H12O/c1-2-3-4-5-6-7/h4-5,7H,2-3,6H2,1H3/b5-4+",
(e)-2-hexyl butyrate,(e)-2-hexyl butyrate,,NA,(e)-2-hexyl butyrate,,"Could not find bond that: <stereoChemistry type=""EorZ"" value=""E"">e</stereoChemistry> was referring to"
(e)-2-nonenal,(e)-2-nonenal,"InChI=1S/C9H16O/c1-2-3-4-5-6-7-8-9-10/h7-9H,2-6H2,1H3/b8-7+",5283335,(e)-2-nonenal,"InChI=1/C9H16O/c1-2-3-4-5-6-7-8-9-10/h7-9H,2-6H2,1H3/b8-7+",
(e)-2-tridecenal,(e)-2-tridecenal,"InChI=1S/C13H24O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14/h11-13H,2-10H2,1H3/b12-11+",5283363,(e)-2-tridecenal,"InChI=1/C13H24O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14/h11-13H,2-10H2,1H3/b12-11+",
"(e)-2,(z)-6-decadienal","(e)-2,(z)-6-decadienal",,NA,"(e)-2,(z)-6-decadienal",,"(e)-2,(z)-6-decadienal'' is unparsable due to the following being uninterpretable: ''(e)-2,(z)-6-decadienal'' The following was not parseable: ''(e)-2,(z)-6-decadienal''"
"(e)-2,2-decenal","(e)-2,2-decenal",,NA,"(e)-2,2-decenal",,"(e)-2,2-decenal'' is unparsable due to the following being uninterpretable: ''(e)-2,2-decenal'' The following was not parseable: ''(e)-2,2-decenal''"
(e)-3-hexenol,(e)-3-hexenol,"InChI=1S/C6H12O/c1-2-3-4-5-6-7/h3-4,7H,2,5-6H2,1H3/b4-3-",5281167,(e)-3-hexenol,"InChI=1/C6H12O/c1-2-3-4-5-6-7/h3-4,7H,2,5-6H2,1H3/b4-3+",
(e)-alpha-bisabolene,(e)-alpha-bisabolene,"InChI=1S/C15H24/c1-12(2)6-5-7-14(4)15-10-8-13(3)9-11-15/h6-8,15H,5,9-11H2,1-4H3/b14-7+",5315468,(e)-alpha-bisabolene,,(e)-alpha-bisabolene is unparsable due to the following being uninterpretable: (e)-alpha-bisabolene The following was not parseable: abolene
(e)-alpha-ionone,(e)-alpha-ionone,"InChI=1S/C13H20O/c1-10-6-5-9-13(3,4)12(10)8-7-11(2)14/h6-8,12H,5,9H2,1-4H3/b8-7+",5282108,(e)-alpha-ionone,,(e)-alpha-ionone is unparsable due to the following being uninterpretable: (e)-alpha-ionone The following was not parseable: ionone
(e)-anethole,(e)-anethole,"InChI=1S/C10H12O/c1-3-4-9-5-7-10(11-2)8-6-9/h3-8H,1-2H3/b4-3+",637563,(e)-anethole,"InChI=1/C10H12O/c1-3-4-9-5-7-10(11-2)8-6-9/h3-8H,1-2H3/b4-3+",
(e)-anethole+bornyl acetate,(e)-anethole+bornyl acetate,,NA,(e)-anethole+bornyl acetate,,(e)-anethole+bornyl acetate is unparsable due to the following being uninterpretable: +bornyl acetate The following was not parseable: +bornyl acetate
(e)-beta- ocimene,(e)-beta- ocimene,,NA,(e)-beta- ocimene,"InChI=1/C10H16/c1-5-10(4)8-6-7-9(2)3/h5,7-8H,1,6H2,2-4H3/b10-8+",
(e)-beta-farnesene,(e)-beta-farnesene,"InChI=1S/C15H24/c1-6-14(4)10-8-12-15(5)11-7-9-13(2)3/h6,9,12H,1,4,7-8,10-11H2,2-3,5H3",10407,(e)-beta-farnesene,"InChI=1/C15H26/c1-6-14(4)10-8-12-15(5)11-7-9-13(2)3/h9,12H,4,6-8,10-11H2,1-3,5H3/b15-12+",
(e)-beta-ionone,(e)-beta-ionone,"InChI=1S/C13H20O/c1-10-6-5-9-13(3,4)12(10)8-7-11(2)14/h7-8H,5-6,9H2,1-4H3/b8-7+",638014,(e)-beta-ionone,,(e)-beta-ionone is unparsable due to the following being uninterpretable: (e)-beta-ionone The following was not parseable: ionone
(e)-beta-ocimene,(e)-beta-ocimene,"InChI=1S/C10H16/c1-5-10(4)8-6-7-9(2)3/h5,7-8H,1,6H2,2-4H3/b10-8+",5281553,(e)-beta-ocimene,"InChI=1/C10H16/c1-5-10(4)8-6-7-9(2)3/h5,7-8H,1,6H2,2-4H3/b10-8+",
(e)-beta-terpineol,(e)-beta-terpineol,"InChI=1S/C10H18O/c1-8(2)9-4-6-10(3,11)7-5-9/h9,11H,1,4-7H2,2-3H3",8748,(e)-beta-terpineol,,(e)-beta-terpineol is unparsable due to the following being uninterpretable: (e)-beta-terpineol The following was not parseable: eol
(e)-caryophyllene,(e)-caryophyllene,"InChI=1S/C15H24/c1-11-6-5-7-12(2)13-10-15(3,4)14(13)9-8-11/h6,13-14H,2,5,7-10H2,1,3-4H3/b11-6+/t13-,14-/m1/s1",5281515,(e)-caryophyllene,,(e)-caryophyllene is unparsable due to the following being uninterpretable: (e)-caryophyllene The following was not parseable: yophyllene
(e)-cinnamaldehyde,(e)-cinnamaldehyde,InChI=1S/C9H8O/c10-8-4-7-9-5-2-1-3-6-9/h1-8H/b7-4+,637511,(e)-cinnamaldehyde,InChI=1/C9H8O/c10-8-4-7-9-5-2-1-3-6-9/h1-8H/b7-4+,
(e)-cinnamyl acetate,(e)-cinnamyl acetate,"InChI=1S/C11H12O2/c1-10(12)13-9-5-8-11-6-3-2-4-7-11/h2-8H,9H2,1H3/b8-5+",5282110,(e)-cinnamyl acetate,"InChI=1/C11H12O2/c1-10(12)13-9-5-8-11-6-3-2-4-7-11/h2-8H,9H2,1H3/b8-5+",
(e)-cinnamyl valerate,(e)-cinnamyl valerate,,NA,(e)-cinnamyl valerate,"InChI=1/C14H18O2/c1-2-3-11-14(15)16-12-7-10-13-8-5-4-6-9-13/h4-10H,2-3,11-12H2,1H3/b10-7+",
(e)-citronellyl tiglate,(e)-citronellyl tiglate,"InChI=1S/C15H26O2/c1-6-14(5)15(16)17-11-10-13(4)9-7-8-12(2)3/h6,8,13H,7,9-11H2,1-5H3/b14-6+",6386037,(e)-citronellyl tiglate,"InChI=1/C15H26O2/c1-6-14(5)15(16)17-11-10-13(4)9-7-8-12(2)3/h6,8,13H,7,9-11H2,1-5H3/b14-6+",
(e)-foeniculin,(e)-foeniculin,,NA,(e)-foeniculin,,(e)-foeniculin is unparsable due to the following being uninterpretable: (e)-foeniculin The following was not parseable: foeniculin
(e)-gamma-bisabolene,(e)-gamma-bisabolene,"InChI=1S/C15H24/c1-12(2)6-5-7-14(4)15-10-8-13(3)9-11-15/h6,8H,5,7,9-11H2,1-4H3/b15-14-",5352437,(e)-gamma-bisabolene,,(e)-gamma-bisabolene is unparsable due to the following being uninterpretable: (e)-gamma-bisabolene The following was not parseable: abolene
(e)-geranyl acetone,(e)-geranyl acetone,"InChI=1S/C13H22O/c1-11(2)7-5-8-12(3)9-6-10-13(4)14/h7,9H,5-6,8,10H2,1-4H3/b12-9-",1713001,(e)-geranyl acetone,"InChI=1/C13H22O/c1-11(2)7-5-8-12(3)9-6-10-13(4)14/h7,9H,5-6,8,10H2,1-4H3/b12-9+",
(e)-ligustilide,(e)-ligustilide,"InChI=1S/C12H14O2/c1-2-3-8-11-9-6-4-5-7-10(9)12(13)14-11/h5,7-8H,2-4,6H2,1H3/b11-8+",5877292,(e)-ligustilide,,(e)-ligustilide is unparsable due to the following being uninterpretable: (e)-ligustilide The following was not parseable: igustilide
(e)-methyl cinnamate,(e)-methyl cinnamate,"InChI=1S/C10H10O2/c1-12-10(11)8-7-9-5-3-2-4-6-9/h2-8H,1H3/b8-7+",637520,(e)-methyl cinnamate,"InChI=1/C10H10O2/c1-12-10(11)8-7-9-5-3-2-4-6-9/h2-8H,1H3/b8-7+",
(e)-methyl isoeugenol,(e)-methyl isoeugenol,"InChI=1S/C11H14O2/c1-4-5-9-6-7-10(12-2)11(8-9)13-3/h4-8H,1-3H3/b5-4+",637776,(e)-methyl isoeugenol,"InChI=1/C11H14O2/c1-4-5-9-6-8(2)11(12)10(7-9)13-3/h4-7,12H,1-3H3/b5-4+",
(e)-nerolidol,(e)-nerolidol,"InChI=1S/C15H26O/c1-6-15(5,16)12-8-11-14(4)10-7-9-13(2)3/h6,9,11,16H,1,7-8,10,12H2,2-5H3/b14-11+",5284507,(e)-nerolidol,"InChI=1/C15H26O/c1-6-15(5,16)12-8-11-14(4)10-7-9-13(2)3/h6,9,11,16H,1,7-8,10,12H2,2-5H3/b14-11+",
(e)-nerolidol acetate,(e)-nerolidol acetate,,NA,(e)-nerolidol acetate,"InChI=1/C17H28O2/c1-7-17(6,19-16(5)18)13-9-12-15(4)11-8-10-14(2)3/h7,10,12H,1,8-9,11,13H2,2-6H3/b15-12+",
(e)-nuciferol,(e)-nuciferol,"InChI=1S/C15H22O/c1-13-8-10-15(11-9-13)7-5-3-4-6-14(2)12-16/h6,8-11,16H,3-5,7,12H2,1-2H3/b14-6+",6429177,(e)-nuciferol,,(e)-nuciferol is unparsable due to the following being uninterpretable: (e)-nuciferol The following was not parseable: nuciferol
(e)-p-menth-2-en-1-ol,(e)-p-menth-2-en-1-ol,"InChI=1S/C10H18O/c1-8(2)9-4-6-10(3,11)7-5-9/h4,6,8-9,11H,5,7H2,1-3H3/t9-,10-/m0/s1",122484,(e)-p-menth-2-en-1-ol,,"Could not find bond that: <stereoChemistry type=""EorZ"" value=""E"">e</stereoChemistry> was referring to"
(e)-sesquilavandulol,(e)-sesquilavandulol,"InChI=1S/C15H26O/c1-12(2)7-6-8-14(5)9-10-15(11-16)13(3)4/h7,9,15-16H,3,6,8,10-11H2,1-2,4-5H3/b14-9+",5352145,(e)-sesquilavandulol,,(e)-sesquilavandulol is unparsable due to the following being uninterpretable: (e)-sesquilavandulol The following was not parseable: sesquilavandulol
(e)-sesquilavandulylacetate,(e)-sesquilavandulylacetate,,NA,(e)-sesquilavandulylacetate,,(e)-sesquilavandulylacetate is unparsable due to the following being uninterpretable: (e)-sesquilavandulylacetate The following was not parseable: sesquilavandulylacetate
(e)-tagetenone,(e)-tagetenone,"InChI=1S/C10H14O/c1-5-9(4)7-10(11)6-8(2)3/h5-7H,1H2,2-4H3/b9-7+",6428431,(e)-tagetenone,,(e)-tagetenone is unparsable due to the following being uninterpretable: (e)-tagetenone The following was not parseable: tagetenone
(e)-theaspirane,(e)-theaspirane,,NA,(e)-theaspirane,,(e)-theaspirane is unparsable due to the following being uninterpretable: (e)-theaspirane The following was not parseable: theaspirane
"(z,e)-alpha-farnesene","(z,e)-alpha-farnesene",,NA,"(z,e)-alpha-farnesene",,"(z,e)-alpha-farnesene'' is unparsable due to the following being uninterpretable: ''(z,e)-alpha-farnesene'' The following was not parseable: ''(z,e)-alpha-farnesene''"
"(z,z)-alpha-farnesene","(z,z)-alpha-farnesene",,NA,"(z,z)-alpha-farnesene",,"(z,z)-alpha-farnesene'' is unparsable due to the following being uninterpretable: ''(z,z)-alpha-farnesene'' The following was not parseable: ''(z,z)-alpha-farnesene''"
"(z,z)-octadeca-9,12-dienoic acid","(z,z)-octadeca-9,12-dienoic acid",,NA,"(z,z)-octadeca-9,12-dienoic acid",,"(z,z)-octadeca-9,12-dienoic acid'' is unparsable due to the following being uninterpretable: ''(z,z)-octadeca-9,12-dienoic acid'' The following was not parseable: ''(z,z)-octadeca-9,12-dienoic acid''"
(z)-2-heptenylacetate,(z)-2-heptenylacetate,,NA,(z)-2-heptenylacetate,"InChI=1/C9H16O2/c1-2-3-4-5-6-7-8-9(10)11/h6-7H,2-5,8H2,1H3,(H,10,11)/p-1/b7-6-/fC9H15O2/q-1",
(z)-3-hexenal,(z)-3-hexenal,"InChI=1S/C6H10O/c1-2-3-4-5-6-7/h3-4,6H,2,5H2,1H3/b4-3-",643941,(z)-3-hexenal,"InChI=1/C6H10O/c1-2-3-4-5-6-7/h3-4,6H,2,5H2,1H3/b4-3-",
(z)-3-hexenol,(z)-3-hexenol,"InChI=1S/C6H12O/c1-2-3-4-5-6-7/h3-4,7H,2,5-6H2,1H3/b4-3-",5281167,(z)-3-hexenol,"InChI=1/C6H12O/c1-2-3-4-5-6-7/h3-4,7H,2,5-6H2,1H3/b4-3-",
(z)-3-hexenyl benzoate,(z)-3-hexenyl benzoate,"InChI=1S/C13H16O2/c1-2-3-4-8-11-15-13(14)12-9-6-5-7-10-12/h3-7,9-10H,2,8,11H2,1H3/b4-3-",5367706,(z)-3-hexenyl benzoate,"InChI=1/C13H16O2/c1-2-3-4-8-11-15-13(14)12-9-6-5-7-10-12/h3-7,9-10H,2,8,11H2,1H3/b4-3-",
(z)-3-hexenyl hexanoate,(z)-3-hexenyl hexanoate,"InChI=1S/C12H22O2/c1-3-5-7-9-11-14-12(13)10-8-6-4-2/h5,7H,3-4,6,8-11H2,1-2H3/b7-5-",5352543,(z)-3-hexenyl hexanoate,"InChI=1/C12H22O2/c1-3-5-7-9-11-14-12(13)10-8-6-4-2/h5,7H,3-4,6,8-11H2,1-2H3/b7-5-",
(z)-3-hexenyl tiglate,(z)-3-hexenyl tiglate,,NA,(z)-3-hexenyl tiglate,"InChI=1/C11H18O2/c1-4-6-7-8-9-13-11(12)10(3)5-2/h5-7H,4,8-9H2,1-3H3/b7-6-,10-5+",
(z)-9-hexadecenoic acid,(z)-9-hexadecenoic acid,"InChI=1S/C16H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h7-8H,2-6,9-15H2,1H3,(H,17,18)/b8-7-",445638,(z)-9-hexadecenoic acid,"InChI=1/C16H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h7-8H,2-6,9-15H2,1H3,(H,17,18)/b8-7-/f/h17H",
(z)-alpha-bisabolene,(z)-alpha-bisabolene,"InChI=1S/C15H24/c1-12(2)6-5-7-14(4)15-10-8-13(3)9-11-15/h6-8,15H,5,9-11H2,1-4H3/b14-7-",5352653,(z)-alpha-bisabolene,,(z)-alpha-bisabolene is unparsable due to the following being uninterpretable: (z)-alpha-bisabolene The following was not parseable: abolene
(z)-alpha-santalol,(z)-alpha-santalol,"InChI=1S/C15H24O/c1-10(9-16)5-4-6-14(2)11-7-12-13(8-11)15(12,14)3/h5,11-13,16H,4,6-9H2,1-3H3/b10-5-",5281531,(z)-alpha-santalol,,(z)-alpha-santalol is unparsable due to the following being uninterpretable: (z)-alpha-santalol The following was not parseable: santalol
(z)-alpha-trans-bergamotol,(z)-alpha-trans-bergamotol,,NA,(z)-alpha-trans-bergamotol,,(z)-alpha-trans-bergamotol is unparsable due to the following being uninterpretable: (z)-alpha-trans-bergamotol The following was not parseable: bergamotol
(z)-anethole,(z)-anethole,"InChI=1S/C10H12O/c1-3-4-9-5-7-10(11-2)8-6-9/h3-8H,1-2H3/b4-3-",1549040,(z)-anethole,"InChI=1/C10H12O/c1-3-4-9-5-7-10(11-2)8-6-9/h3-8H,1-2H3/b4-3-",
(z)-beta-farnesene,(z)-beta-farnesene,,NA,(z)-beta-farnesene,"InChI=1/C15H26/c1-6-14(4)10-8-12-15(5)11-7-9-13(2)3/h9,12H,4,6-8,10-11H2,1-3,5H3/b15-12-",
(z)-beta-ocimene,(z)-beta-ocimene,"InChI=1S/C10H16/c1-5-10(4)8-6-7-9(2)3/h5,7-8H,1,6H2,2-4H3/b10-8-",5320250,(z)-beta-ocimene,"InChI=1/C10H16/c1-5-10(4)8-6-7-9(2)3/h5,7-8H,1,6H2,2-4H3/b10-8-",
(z)-chrysanthenyl acetate,(z)-chrysanthenyl acetate,,NA,(z)-chrysanthenyl acetate,,(z)-chrysanthenyl acetate is unparsable due to the following being uninterpretable: (z)-chrysanthenyl acetate The following was not parseable: anthenyl acetate
(z)-cinnamyl acetate,(z)-cinnamyl acetate,"InChI=1S/C11H12O2/c1-10(12)13-9-5-8-11-6-3-2-4-7-11/h2-8H,9H2,1H3/b8-5-",5315912,(z)-cinnamyl acetate,"InChI=1/C11H12O2/c1-10(12)13-9-5-8-11-6-3-2-4-7-11/h2-8H,9H2,1H3/b8-5-",
(z)-epoxy-ocimene,(z)-epoxy-ocimene,,NA,(z)-epoxy-ocimene,,(z)-epoxy-ocimene is unparsable due to the following being uninterpretable: ocimene The following was not parseable: ocimene
(z)-gamma-bisabolene,(z)-gamma-bisabolene,"InChI=1S/C15H24/c1-12(2)6-5-7-14(4)15-10-8-13(3)9-11-15/h6,8H,5,7,9-11H2,1-4H3/b15-14+",3033866,(z)-gamma-bisabolene,,(z)-gamma-bisabolene is unparsable due to the following being uninterpretable: (z)-gamma-bisabolene The following was not parseable: abolene
(z)-isosafrole,(z)-isosafrole,,NA,(z)-isosafrole,"InChI=1/C10H10O2/c1-2-3-8-4-5-9-10(6-8)12-7-11-9/h2-6H,7H2,1H3/b3-2-",
(z)-ligustilide,(z)-ligustilide,"InChI=1S/C12H14O2/c1-2-3-8-11-9-6-4-5-7-10(9)12(13)14-11/h5,7-8H,2-4,6H2,1H3/b11-8-",5319022,(z)-ligustilide,,(z)-ligustilide is unparsable due to the following being uninterpretable: (z)-ligustilide The following was not parseable: igustilide
(z)-methyl isoeugenol,(z)-methyl isoeugenol,"InChI=1S/C11H14O2/c1-4-5-9-6-7-10(12-2)11(8-9)13-3/h4-8H,1-3H3/b5-4-",1549045,(z)-methyl isoeugenol,"InChI=1/C11H14O2/c1-4-5-9-6-8(2)11(12)10(7-9)13-3/h4-7,12H,1-3H3/b5-4-",
(z)-myroxide,(z)-myroxide,"InChI=1S/C10H16O/c1-5-8(2)6-7-9-10(3,4)11-9/h5-6,9H,1,7H2,2-4H3/b8-6-",14701631,(z)-myroxide,,(z)-myroxide is unparsable due to the following being uninterpretable: (z)-myroxide The following was not parseable: myroxide
(z)-nerolidol,(z)-nerolidol,"InChI=1S/C15H26O/c1-6-15(5,16)12-8-11-14(4)10-7-9-13(2)3/h6,9,11,16H,1,7-8,10,12H2,2-5H3",8888,(z)-nerolidol,"InChI=1/C15H26O/c1-6-15(5,16)12-8-11-14(4)10-7-9-13(2)3/h6,9,11,16H,1,7-8,10,12H2,2-5H3/b14-11-",
(z)-nuciferal,(z)-nuciferal,"InChI=1S/C15H20O/c1-13-8-10-15(11-9-13)7-5-3-4-6-14(2)12-16/h6,8-12H,3-5,7H2,1-2H3/b14-6-",6429179,(z)-nuciferal,,(z)-nuciferal is unparsable due to the following being uninterpretable: (z)-nuciferal The following was not parseable: nuciferal
(z)-nuciferol,(z)-nuciferol,,NA,(z)-nuciferol,,(z)-nuciferol is unparsable due to the following being uninterpretable: (z)-nuciferol The following was not parseable: nuciferol
(z)-p-menth-2-en-1-ol,(z)-p-menth-2-en-1-ol,"InChI=1S/C10H18O/c1-8(2)9-4-6-10(3,11)7-5-9/h4,6,8-9,11H,5,7H2,1-3H3/t9-,10+/m0/s1",13918681,(z)-p-menth-2-en-1-ol,,"Could not find bond that: <stereoChemistry type=""EorZ"" value=""Z"">z</stereoChemistry> was referring to"
(z)-p-ocimene,(z)-p-ocimene,,NA,(z)-p-ocimene,,(z)-p-ocimene is unparsable due to the following being uninterpretable: (z)-p-ocimene The following was not parseable: ocimene
(z)-tagetenone,(z)-tagetenone,"InChI=1S/C10H14O/c1-5-9(4)7-10(11)6-8(2)3/h5-7H,1H2,2-4H3/b9-7-",6428432,(z)-tagetenone,,(z)-tagetenone is unparsable due to the following being uninterpretable: (z)-tagetenone The following was not parseable: tagetenone
(z)-tagetone,(z)-tagetone,"InChI=1S/C10H16O/c1-5-9(4)7-10(11)6-8(2)3/h5,7-8H,1,6H2,2-4H3/b9-7-",5368956,(z)-tagetone,,(z)-tagetone is unparsable due to the following being uninterpretable: (z)-tagetone The following was not parseable: tagetone
(z)-trans-alpha-bergamotol,(z)-trans-alpha-bergamotol,,NA,(z)-trans-alpha-bergamotol,,(z)-trans-alpha-bergamotol is unparsable due to the following being uninterpretable: (z)-trans-alpha-bergamotol The following was not parseable: bergamotol
(Z)-Verbenol,(Z)-Verbenol,,NA,(Z)-Verbenol,,(Z)-Verbenol is unparsable due to the following being uninterpretable: (Z)-Verbenol The following was not parseable: Verbenol
"1-(e,z)-3,5-undecatriene","1-(e,z)-3,5-undecatriene",,NA,"1-(e,z)-3,5-undecatriene",,"1-(e,z)-3,5-undecatriene'' is unparsable due to the following being uninterpretable: ''1-(e,z)-3,5-undecatriene'' The following was not parseable: ''1-(e,z)-3,5-undecatriene''"
1-(methyl)-naphthalene,1-(methyl)-naphthalene,,NA,1-(methyl)-naphthalene,"InChI=1/C11H10/c1-9-5-4-7-10-6-2-3-8-11(9)10/h2-8H,1H3",
1-amyloxy-1-ethoxy ethane,1-amyloxy-1-ethoxy ethane,,NA,1-amyloxy-1-ethoxy ethane,"InChI=1/C9H20O2/c1-4-6-7-8-11-9(3)10-5-2/h9H,4-8H2,1-3H3",
1-epi-cubenol,1-epi-cubenol,"InChI=1S/C15H26O/c1-10(2)13-6-5-12(4)15(16)8-7-11(3)9-14(13)15/h9-10,12-14,16H,5-8H2,1-4H3",519857,1-epi-cubenol,,1-epi-cubenol is unparsable due to the following being uninterpretable: 1-epi-cubenol The following was not parseable: pi-cubenol
1-ethyl-2-phenylcycropropane,1-ethyl-2-phenylcycropropane,,NA,1-ethyl-2-phenylcycropropane,,1-ethyl-2-phenylcycropropane is unparsable due to the following being uninterpretable: cycropropane The following was not parseable: cycropropane
1-h-indole,1-h-indole,"InChI=1S/C8H7N/c1-2-4-8-7(3-1)5-6-9-8/h1-6,9H",798,1-h-indole,,1-h-indole is unparsable due to the following being uninterpretable: 1-h-indole The following was not parseable: h-indole
1-hexadecanol,1-hexadecanol,"InChI=1S/C16H34O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17/h17H,2-16H2,1H3",2682,1-hexadecanol,"InChI=1/C16H34O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17/h17H,2-16H2,1H3",
1-hexadecene,1-hexadecene,"InChI=1S/C16H32/c1-3-5-7-9-11-13-15-16-14-12-10-8-6-4-2/h3H,1,4-16H2,2H3",12395,1-hexadecene,"InChI=1/C16H32/c1-3-5-7-9-11-13-15-16-14-12-10-8-6-4-2/h3H,1,4-16H2,2H3",
1-methyl-4-heptenol,1-methyl-4-heptenol,,NA,1-methyl-4-heptenol,"InChI=1/C8H16O/c1-3-4-5-6-7-8(2)9/h4-5,8-9H,3,6-7H2,1-2H3",
1-nonen-3-ol,1-nonen-3-ol,"InChI=1S/C9H18O/c1-3-5-6-7-8-9(10)4-2/h4,9-10H,2-3,5-8H2,1H3",89560,1-nonen-3-ol,"InChI=1/C9H18O/c1-3-5-6-7-8-9(10)4-2/h4,9-10H,2-3,5-8H2,1H3",
1-octadecene,1-octadecene,"InChI=1S/C18H36/c1-3-5-7-9-11-13-15-17-18-16-14-12-10-8-6-4-2/h3H,1,4-18H2,2H3",8217,1-octadecene,"InChI=1/C18H36/c1-3-5-7-9-11-13-15-17-18-16-14-12-10-8-6-4-2/h3H,1,4-18H2,2H3",
1-octanol,1-octanol,"InChI=1S/C8H18O/c1-2-3-4-5-6-7-8-9/h9H,2-8H2,1H3",957,1-octanol,"InChI=1/C8H18O/c1-2-3-4-5-6-7-8-9/h9H,2-8H2,1H3",
